Model,mean_abs_error,max_abs_error,weighted_mae
M0,0.177518099588464,0.399787583017397,0.171109779629748
MP,0.179308146142295,0.389762510804158,0.171522364999926
MP_cal,0.18339028201749,0.387146920465258,0.175918007113103
ME,0.183387751676801,0.470533378417605,0.178487024596002
ME2,0.186265065546876,0.485476252433843,0.186075904247028
ME_P,0.187865528050212,0.444849052724325,0.181290215208368
ME2P,0.193418916552554,0.485767296219211,0.19057200626878
XEN,0.195673142954722,0.606265194257882,0.195401357341212
