"GSE","GSM","Title","Characteristics","Treatment","Growth","Extraction","Strategy","Processing","Supplement","Relation"
"GSE203551","GSM6176174","stimulated DMSO treated donor 32","stimulation: Tm sup stimulated | treatment: 2.5 uM DMSO | huvec donor number: 32","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590945 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408759"
"GSE203551","GSM6176175","unstimulated DMSO treated donor 32","stimulation: unstimulated | treatment: 2.5 uM DMSO | huvec donor number: 32","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590944 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408760"
"GSE203551","GSM6176176","stimulated iIKKb treated donor 32","stimulation: Tm sup stimulated | treatment: 1.0 uM IKKβ inhibitor | huvec donor number: 32","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590943 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408761"
"GSE203551","GSM6176177","stimulated iNIK treated donor 32","stimulation: Tm sup stimulated | treatment: 2.5 uM NIK inhibitor | huvec donor number: 32","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590942 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408762"
"GSE203551","GSM6176178","unstimulated untreated donor 32","stimulation: unstimulated | treatment: untreated | huvec donor number: 32","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590941 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408763"
"GSE203551","GSM6176179","stimulated DMSO treated donor 36","stimulation: Tm sup stimulated | treatment: 2.5 uM DMSO | huvec donor number: 36","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590940 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408764"
"GSE203551","GSM6176180","unstimulated DMSO treated donor 36","stimulation: unstimulated | treatment: 2.5 uM DMSO | huvec donor number: 36","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590939 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408765"
"GSE203551","GSM6176181","stimulated iIKKb treated donor 36","stimulation: Tm sup stimulated | treatment: 1.0 uM IKKβ inhibitor | huvec donor number: 36","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590938 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408766"
"GSE203551","GSM6176182","stimulated iNIK treated donor 36","stimulation: Tm sup stimulated | treatment: 2.5 uM NIK inhibitor | huvec donor number: 36","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590937 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408767"
"GSE203551","GSM6176183","unstimulated untreated donor 36","stimulation: unstimulated | treatment: untreated | huvec donor number: 36","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590936 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408768"
