"GSE","GSM","Title","Characteristics","Treatment","Growth","Extraction","Strategy","Processing","Supplement","Relation"
"GSE157383","GSM4763911","MCF7 LY500_2","cell line: MCF7 breast carcinoma cell line | treamtent: abemaciclib | treatment length: 7 days","Abemaciclib (500 nM) or DMSO for 7 days for all cell lines.","Cells were cultured in sterile dishes in media as described. Cells were plated at densities such that final density at time of RNA-seq was between 60-70%.","Total RNA was isolated from cell lines using a Nucleospin RNA Plus kit (Macherey-Nagel). | NEBNext® Ultra™ RNA Library Prep Kit for Illumina","RNA-Seq","Illumina Casava1.7 software used for basecalling. | Reads were aligned to hg19 using STAR. | Genome_build: hg19 | Supplementary_files_format_and_content: bw files were generated using the VIPER pipeline; tab delimited text files of gene counts from STAR alignment","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4763nnn/GSM4763911/suppl/GSM4763911_MCF7-2-LY-2.bw","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15970519 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9063281"
"GSE157383","GSM4763912","MCF7 LY500_3","cell line: MCF7 breast carcinoma cell line | treamtent: abemaciclib | treatment length: 7 days","Abemaciclib (500 nM) or DMSO for 7 days for all cell lines.","Cells were cultured in sterile dishes in media as described. Cells were plated at densities such that final density at time of RNA-seq was between 60-70%.","Total RNA was isolated from cell lines using a Nucleospin RNA Plus kit (Macherey-Nagel). | NEBNext® Ultra™ RNA Library Prep Kit for Illumina","RNA-Seq","Illumina Casava1.7 software used for basecalling. | Reads were aligned to hg19 using STAR. | Genome_build: hg19 | Supplementary_files_format_and_content: bw files were generated using the VIPER pipeline; tab delimited text files of gene counts from STAR alignment","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4763nnn/GSM4763912/suppl/GSM4763912_MCF7-2-LY-3.bw","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15970518 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9063282"
"GSE157383","GSM4763913","MCF7_shRB1-3_DMSO_1","cell line: MCF7 breast carcinoma cell line | treamtent: DMSO | treatment length: 7 days","Abemaciclib (500 nM) or DMSO for 7 days for all cell lines.","Cells were cultured in sterile dishes in media as described. Cells were plated at densities such that final density at time of RNA-seq was between 60-70%.","Total RNA was isolated from cell lines using a Nucleospin RNA Plus kit (Macherey-Nagel). | NEBNext® Ultra™ RNA Library Prep Kit for Illumina","RNA-Seq","Illumina Casava1.7 software used for basecalling. | Reads were aligned to hg19 using STAR. | Genome_build: hg19 | Supplementary_files_format_and_content: bw files were generated using the VIPER pipeline; tab delimited text files of gene counts from STAR alignment","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4763nnn/GSM4763913/suppl/GSM4763913_MCF7-2_shRB1-3_DMSO_1.bw","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15970517 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9063283"
"GSE157383","GSM4763914","MCF7_shRB1-3_DMSO_2","cell line: MCF7 breast carcinoma cell line | treamtent: DMSO | treatment length: 7 days","Abemaciclib (500 nM) or DMSO for 7 days for all cell lines.","Cells were cultured in sterile dishes in media as described. Cells were plated at densities such that final density at time of RNA-seq was between 60-70%.","Total RNA was isolated from cell lines using a Nucleospin RNA Plus kit (Macherey-Nagel). | NEBNext® Ultra™ RNA Library Prep Kit for Illumina","RNA-Seq","Illumina Casava1.7 software used for basecalling. | Reads were aligned to hg19 using STAR. | Genome_build: hg19 | Supplementary_files_format_and_content: bw files were generated using the VIPER pipeline; tab delimited text files of gene counts from STAR alignment","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4763nnn/GSM4763914/suppl/GSM4763914_MCF7-2_shRB1-3_DMSO_2.bw","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15970516 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9063284"
"GSE157383","GSM4763915","MCF7_shRB1-3_LY500nM_1","cell line: MCF7 breast carcinoma cell line | treamtent: abemaciclib | treatment length: 7 days","Abemaciclib (500 nM) or DMSO for 7 days for all cell lines.","Cells were cultured in sterile dishes in media as described. Cells were plated at densities such that final density at time of RNA-seq was between 60-70%.","Total RNA was isolated from cell lines using a Nucleospin RNA Plus kit (Macherey-Nagel). | NEBNext® Ultra™ RNA Library Prep Kit for Illumina","RNA-Seq","Illumina Casava1.7 software used for basecalling. | Reads were aligned to hg19 using STAR. | Genome_build: hg19 | Supplementary_files_format_and_content: bw files were generated using the VIPER pipeline; tab delimited text files of gene counts from STAR alignment","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4763nnn/GSM4763915/suppl/GSM4763915_MCF7-2_shRB1-3_LY500nM_1.bw","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15970515 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9063285"
"GSE157383","GSM4763916","MCF7_shRB1-3_LY500nM_2","cell line: MCF7 breast carcinoma cell line | treamtent: abemaciclib | treatment length: 7 days","Abemaciclib (500 nM) or DMSO for 7 days for all cell lines.","Cells were cultured in sterile dishes in media as described. Cells were plated at densities such that final density at time of RNA-seq was between 60-70%.","Total RNA was isolated from cell lines using a Nucleospin RNA Plus kit (Macherey-Nagel). | NEBNext® Ultra™ RNA Library Prep Kit for Illumina","RNA-Seq","Illumina Casava1.7 software used for basecalling. | Reads were aligned to hg19 using STAR. | Genome_build: hg19 | Supplementary_files_format_and_content: bw files were generated using the VIPER pipeline; tab delimited text files of gene counts from STAR alignment","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4763nnn/GSM4763916/suppl/GSM4763916_MCF7-2_shRB1-3_LY500nM_2.bw","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15970514 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9063286"
"GSE157383","GSM4763917","MDA-MB-468 DMSO 7 days (replicate 1)","cell line: MDA-MB-468 breast carcinoma cell line | treamtent: DMSO | treatment length: 7 days","Abemaciclib (500 nM) or DMSO for 7 days for all cell lines.","Cells were cultured in sterile dishes in media as described. Cells were plated at densities such that final density at time of RNA-seq was between 60-70%.","Total RNA was isolated from cell lines using a Nucleospin RNA Plus kit (Macherey-Nagel). | NEBNext® Ultra™ RNA Library Prep Kit for Illumina","RNA-Seq","Illumina Casava1.7 software used for basecalling. | Reads were aligned to hg19 using STAR. | Genome_build: hg19 | Supplementary_files_format_and_content: bw files were generated using the VIPER pipeline; tab delimited text files of gene counts from STAR alignment","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15970513 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9063287"
"GSE157383","GSM4763918","MDA-MB-468 DMSO 7 days (replicate 2)","cell line: MDA-MB-468 breast carcinoma cell line | treamtent: DMSO | treatment length: 7 days","Abemaciclib (500 nM) or DMSO for 7 days for all cell lines.","Cells were cultured in sterile dishes in media as described. Cells were plated at densities such that final density at time of RNA-seq was between 60-70%.","Total RNA was isolated from cell lines using a Nucleospin RNA Plus kit (Macherey-Nagel). | NEBNext® Ultra™ RNA Library Prep Kit for Illumina","RNA-Seq","Illumina Casava1.7 software used for basecalling. | Reads were aligned to hg19 using STAR. | Genome_build: hg19 | Supplementary_files_format_and_content: bw files were generated using the VIPER pipeline; tab delimited text files of gene counts from STAR alignment","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4763nnn/GSM4763918/suppl/GSM4763918_MDA-MB468-DMSO-2.bw","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15970512 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9063288"
"GSE157383","GSM4763919","MDA-MB-468 DMSO 7 days (replicate 3)","cell line: MDA-MB-468 breast carcinoma cell line | treamtent: DMSO | treatment length: 7 days","Abemaciclib (500 nM) or DMSO for 7 days for all cell lines.","Cells were cultured in sterile dishes in media as described. Cells were plated at densities such that final density at time of RNA-seq was between 60-70%.","Total RNA was isolated from cell lines using a Nucleospin RNA Plus kit (Macherey-Nagel). | NEBNext® Ultra™ RNA Library Prep Kit for Illumina","RNA-Seq","Illumina Casava1.7 software used for basecalling. | Reads were aligned to hg19 using STAR. | Genome_build: hg19 | Supplementary_files_format_and_content: bw files were generated using the VIPER pipeline; tab delimited text files of gene counts from STAR alignment","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4763nnn/GSM4763919/suppl/GSM4763919_MDA-MB468-DMSO-3.bw","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15970511 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9063289"
"GSE157383","GSM4763920","MDA-MB-468 Abemaciclib 7 days (replicate 1)","cell line: MDA-MB-468 breast carcinoma cell line | treamtent: abemaciclib | treatment length: 7 days","Abemaciclib (500 nM) or DMSO for 7 days for all cell lines.","Cells were cultured in sterile dishes in media as described. Cells were plated at densities such that final density at time of RNA-seq was between 60-70%.","Total RNA was isolated from cell lines using a Nucleospin RNA Plus kit (Macherey-Nagel). | NEBNext® Ultra™ RNA Library Prep Kit for Illumina","RNA-Seq","Illumina Casava1.7 software used for basecalling. | Reads were aligned to hg19 using STAR. | Genome_build: hg19 | Supplementary_files_format_and_content: bw files were generated using the VIPER pipeline; tab delimited text files of gene counts from STAR alignment","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4763nnn/GSM4763920/suppl/GSM4763920_MDA-MB468-LY-1.bw","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15970510 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9063290"
"GSE157383","GSM4763921","MDA-MB-468 Abemaciclib 7 days (replicate 2)","cell line: MDA-MB-468 breast carcinoma cell line | treamtent: abemaciclib | treatment length: 7 days","Abemaciclib (500 nM) or DMSO for 7 days for all cell lines.","Cells were cultured in sterile dishes in media as described. Cells were plated at densities such that final density at time of RNA-seq was between 60-70%.","Total RNA was isolated from cell lines using a Nucleospin RNA Plus kit (Macherey-Nagel). | NEBNext® Ultra™ RNA Library Prep Kit for Illumina","RNA-Seq","Illumina Casava1.7 software used for basecalling. | Reads were aligned to hg19 using STAR. | Genome_build: hg19 | Supplementary_files_format_and_content: bw files were generated using the VIPER pipeline; tab delimited text files of gene counts from STAR alignment","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4763nnn/GSM4763921/suppl/GSM4763921_MDA-MB468-LY-2.bw","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15970509 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9063291"
"GSE157383","GSM4763922","MDA-MB-468 Abemaciclib 7 days (replicate 3)","cell line: MDA-MB-468 breast carcinoma cell line | treamtent: abemaciclib | treatment length: 7 days","Abemaciclib (500 nM) or DMSO for 7 days for all cell lines.","Cells were cultured in sterile dishes in media as described. Cells were plated at densities such that final density at time of RNA-seq was between 60-70%.","Total RNA was isolated from cell lines using a Nucleospin RNA Plus kit (Macherey-Nagel). | NEBNext® Ultra™ RNA Library Prep Kit for Illumina","RNA-Seq","Illumina Casava1.7 software used for basecalling. | Reads were aligned to hg19 using STAR. | Genome_build: hg19 | Supplementary_files_format_and_content: bw files were generated using the VIPER pipeline; tab delimited text files of gene counts from STAR alignment","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4763nnn/GSM4763922/suppl/GSM4763922_MDA-MB468-LY-3.bw","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15970508 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9063292"
