"GSE","GSM","Title","Characteristics","Treatment","Growth","Extraction","Strategy","Processing","Supplement","Relation"
"GSE81194","GSM2144412","HCT116","cell line: HCT116 | cell type: Colorectal carcinoma-derived cells","No treatments.","Standard growth protocol in McCoy (HCT116, RKO) or DMEM media (HKE3), supplemented with 10 % FBS. Cells were split 1:5 every third or fourth day.","Rneasy Plus Mini Kit (Qiagen), as per manufacturer's instructions. All samples had a RIN value of 10, according to analysis on the Agilent 2100 BioAnalyzer. | TruSeq mRNA kit (Illumina), 200 ng per sample","RNA-Seq","Alignment of reads using STAR (v2.5.1b) | Variant calling as per GATK's Best Practice workflow (v3.5.0, https://www.broadinstitute.org/gatk/guide/article?id=3891, December 2015) | Annotation using SnpEff/SnpSift (v4.2) | In-house Python and R scripts, as described in the corresponding article and R Markdown document. | Genome_build: GRCh37 | Supplementary_files_format_and_content: .txt","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04958456 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1745243"
"GSE81194","GSM2144413","RKO","cell line: RKO | cell type: Colorectal carcinoma-derived cells","No treatments.","Standard growth protocol in McCoy (HCT116, RKO) or DMEM media (HKE3), supplemented with 10 % FBS. Cells were split 1:5 every third or fourth day.","Rneasy Plus Mini Kit (Qiagen), as per manufacturer's instructions. All samples had a RIN value of 10, according to analysis on the Agilent 2100 BioAnalyzer. | TruSeq mRNA kit (Illumina), 200 ng per sample","RNA-Seq","Alignment of reads using STAR (v2.5.1b) | Variant calling as per GATK's Best Practice workflow (v3.5.0, https://www.broadinstitute.org/gatk/guide/article?id=3891, December 2015) | Annotation using SnpEff/SnpSift (v4.2) | In-house Python and R scripts, as described in the corresponding article and R Markdown document. | Genome_build: GRCh37 | Supplementary_files_format_and_content: .txt","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04958457 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1745244"
"GSE81194","GSM2144414","HKE3","cell line: HKE3 | cell type: Colorectal carcinoma-derived cells","No treatments.","Standard growth protocol in McCoy (HCT116, RKO) or DMEM media (HKE3), supplemented with 10 % FBS. Cells were split 1:5 every third or fourth day.","Rneasy Plus Mini Kit (Qiagen), as per manufacturer's instructions. All samples had a RIN value of 10, according to analysis on the Agilent 2100 BioAnalyzer. | TruSeq mRNA kit (Illumina), 200 ng per sample","RNA-Seq","Alignment of reads using STAR (v2.5.1b) | Variant calling as per GATK's Best Practice workflow (v3.5.0, https://www.broadinstitute.org/gatk/guide/article?id=3891, December 2015) | Annotation using SnpEff/SnpSift (v4.2) | In-house Python and R scripts, as described in the corresponding article and R Markdown document. | Genome_build: GRCh37 | Supplementary_files_format_and_content: .txt","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04958458 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1745245"
