"GSE","GSM","Title","Characteristics","Treatment","Growth","Extraction","Strategy","Processing","Supplement","Relation"
"GSE253699","GSM8026675","HCT116 cell control rep1","tissue: Colon cancer | cell line: HCT116 | cell type: Colon cancer cell | genotype: WT | treatment: Control","","HCT116 cells were maintained in IMEM supplemented with 10% fetal bovine serum (FBS) and antibiofics in humidfed atmosphere with 5% CO2 at 37℃","The study involved the exogenous addition of humanized FSTL3 protein (MCE) to the culture medium of HCT116 cells. We then performed gene expression profiling analysis using data obtained from RNA-seq after 24 hours. | A total amount of 1 ug RNA per sample was used as input material for the RNA sample preparations. Sequencing libraries were generated using NEBNext® UltraTMRNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer's recommendations and index codes were added to attribute sequences to each sample.","RNA-Seq","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq PE Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer's instructions. After cluster generation, the library preparations weresequenced on an Illumina Novaseq platform and 150 bp paired-end reads were generated. | Quality control-Raw data (raw reads) of fastq format were firstly processed through in-house perl scripts. In this step, clean data (clean reads) were obtained by removing reads containing adapter, reads containing ploy-N and low quality reads from raw data. At the same time, Q20, 030 and GC content the clean data were calculated. All the downstream analyses were based on the clean data with high quality. | Reads mapping to the reference genome-Reference genome and gene model annotation files were downloaded from genome website directly. Index of the reference genome was built using Hisat2 v2.0.5 and paired-end clean reads were aligned to the reference genome using Hisat2 v2.0.5. We selected Hisat2 as the mapping tool for that Hisat2 can generate a database of splice junctions based on the gene model annotation file and thus a better mapping result than other non-splice mapping tools. | Quantification of gene expression level- FeatureCounts v1.5.0-p3 was used to count the reads numbers mapped to each gene. And then FPKM of each gene was calculated based on the length of the geneand reads count mapped to this gene. FPKM, expected number of Fragments PerKilobase of transcript sequence per Millions base pairs sequenced, considers theeffect of sequencing depth and gene length for the reads count at the same time, and iscurrently the most commonly used method for estimating gene expression levels. | Assembly: Reads mapping to the reference genome-Reference genome and gene model annotation files were downloaded from genome website directly. Index of the reference genome was built using Hisat2 v2.0.5 and paired-end clean reads were aligned to the reference genome using Hisat2 v2.0.5. We selected Hisat2 as the mapping tool for that Hisat2 can generate a database of splice junctions based on the gene model annotation file and thus a better mapping result than other non-splice mapping tools. | Supplementary files format and content: Raw counts for each sample | Supplementary files format and content: FPKM values for each sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39510866 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23331680"
"GSE253699","GSM8026676","HCT116 cell control rep2","tissue: Colon cancer | cell line: HCT116 | cell type: Colon cancer cell | genotype: WT | treatment: Control","","HCT116 cells were maintained in IMEM supplemented with 10% fetal bovine serum (FBS) and antibiofics in humidfed atmosphere with 5% CO2 at 37℃","The study involved the exogenous addition of humanized FSTL3 protein (MCE) to the culture medium of HCT116 cells. We then performed gene expression profiling analysis using data obtained from RNA-seq after 24 hours. | A total amount of 1 ug RNA per sample was used as input material for the RNA sample preparations. Sequencing libraries were generated using NEBNext® UltraTMRNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer's recommendations and index codes were added to attribute sequences to each sample.","RNA-Seq","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq PE Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer's instructions. After cluster generation, the library preparations weresequenced on an Illumina Novaseq platform and 150 bp paired-end reads were generated. | Quality control-Raw data (raw reads) of fastq format were firstly processed through in-house perl scripts. In this step, clean data (clean reads) were obtained by removing reads containing adapter, reads containing ploy-N and low quality reads from raw data. At the same time, Q20, 030 and GC content the clean data were calculated. All the downstream analyses were based on the clean data with high quality. | Reads mapping to the reference genome-Reference genome and gene model annotation files were downloaded from genome website directly. Index of the reference genome was built using Hisat2 v2.0.5 and paired-end clean reads were aligned to the reference genome using Hisat2 v2.0.5. We selected Hisat2 as the mapping tool for that Hisat2 can generate a database of splice junctions based on the gene model annotation file and thus a better mapping result than other non-splice mapping tools. | Quantification of gene expression level- FeatureCounts v1.5.0-p3 was used to count the reads numbers mapped to each gene. And then FPKM of each gene was calculated based on the length of the geneand reads count mapped to this gene. FPKM, expected number of Fragments PerKilobase of transcript sequence per Millions base pairs sequenced, considers theeffect of sequencing depth and gene length for the reads count at the same time, and iscurrently the most commonly used method for estimating gene expression levels. | Assembly: Reads mapping to the reference genome-Reference genome and gene model annotation files were downloaded from genome website directly. Index of the reference genome was built using Hisat2 v2.0.5 and paired-end clean reads were aligned to the reference genome using Hisat2 v2.0.5. We selected Hisat2 as the mapping tool for that Hisat2 can generate a database of splice junctions based on the gene model annotation file and thus a better mapping result than other non-splice mapping tools. | Supplementary files format and content: Raw counts for each sample | Supplementary files format and content: FPKM values for each sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39510865 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23331681"
"GSE253699","GSM8026677","HCT116 cell control rep3","tissue: Colon cancer | cell line: HCT116 | cell type: Colon cancer cell | genotype: WT | treatment: Control","","HCT116 cells were maintained in IMEM supplemented with 10% fetal bovine serum (FBS) and antibiofics in humidfed atmosphere with 5% CO2 at 37℃","The study involved the exogenous addition of humanized FSTL3 protein (MCE) to the culture medium of HCT116 cells. We then performed gene expression profiling analysis using data obtained from RNA-seq after 24 hours. | A total amount of 1 ug RNA per sample was used as input material for the RNA sample preparations. Sequencing libraries were generated using NEBNext® UltraTMRNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer's recommendations and index codes were added to attribute sequences to each sample.","RNA-Seq","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq PE Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer's instructions. After cluster generation, the library preparations weresequenced on an Illumina Novaseq platform and 150 bp paired-end reads were generated. | Quality control-Raw data (raw reads) of fastq format were firstly processed through in-house perl scripts. In this step, clean data (clean reads) were obtained by removing reads containing adapter, reads containing ploy-N and low quality reads from raw data. At the same time, Q20, 030 and GC content the clean data were calculated. All the downstream analyses were based on the clean data with high quality. | Reads mapping to the reference genome-Reference genome and gene model annotation files were downloaded from genome website directly. Index of the reference genome was built using Hisat2 v2.0.5 and paired-end clean reads were aligned to the reference genome using Hisat2 v2.0.5. We selected Hisat2 as the mapping tool for that Hisat2 can generate a database of splice junctions based on the gene model annotation file and thus a better mapping result than other non-splice mapping tools. | Quantification of gene expression level- FeatureCounts v1.5.0-p3 was used to count the reads numbers mapped to each gene. And then FPKM of each gene was calculated based on the length of the geneand reads count mapped to this gene. FPKM, expected number of Fragments PerKilobase of transcript sequence per Millions base pairs sequenced, considers theeffect of sequencing depth and gene length for the reads count at the same time, and iscurrently the most commonly used method for estimating gene expression levels. | Assembly: Reads mapping to the reference genome-Reference genome and gene model annotation files were downloaded from genome website directly. Index of the reference genome was built using Hisat2 v2.0.5 and paired-end clean reads were aligned to the reference genome using Hisat2 v2.0.5. We selected Hisat2 as the mapping tool for that Hisat2 can generate a database of splice junctions based on the gene model annotation file and thus a better mapping result than other non-splice mapping tools. | Supplementary files format and content: Raw counts for each sample | Supplementary files format and content: FPKM values for each sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39510864 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23331682"
"GSE253699","GSM8026678","HCT116 cell FSTL3 rep1","tissue: Colon cancer | cell line: HCT116 | cell type: Colon cancer cell | genotype: WT | treatment: FSTL3 (300ng/mL) 24 hours","","HCT116 cells were maintained in IMEM supplemented with 10% fetal bovine serum (FBS) and antibiofics in humidfed atmosphere with 5% CO2 at 37℃","The study involved the exogenous addition of humanized FSTL3 protein (MCE) to the culture medium of HCT116 cells. We then performed gene expression profiling analysis using data obtained from RNA-seq after 24 hours. | A total amount of 1 ug RNA per sample was used as input material for the RNA sample preparations. Sequencing libraries were generated using NEBNext® UltraTMRNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer's recommendations and index codes were added to attribute sequences to each sample.","RNA-Seq","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq PE Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer's instructions. After cluster generation, the library preparations weresequenced on an Illumina Novaseq platform and 150 bp paired-end reads were generated. | Quality control-Raw data (raw reads) of fastq format were firstly processed through in-house perl scripts. In this step, clean data (clean reads) were obtained by removing reads containing adapter, reads containing ploy-N and low quality reads from raw data. At the same time, Q20, 030 and GC content the clean data were calculated. All the downstream analyses were based on the clean data with high quality. | Reads mapping to the reference genome-Reference genome and gene model annotation files were downloaded from genome website directly. Index of the reference genome was built using Hisat2 v2.0.5 and paired-end clean reads were aligned to the reference genome using Hisat2 v2.0.5. We selected Hisat2 as the mapping tool for that Hisat2 can generate a database of splice junctions based on the gene model annotation file and thus a better mapping result than other non-splice mapping tools. | Quantification of gene expression level- FeatureCounts v1.5.0-p3 was used to count the reads numbers mapped to each gene. And then FPKM of each gene was calculated based on the length of the geneand reads count mapped to this gene. FPKM, expected number of Fragments PerKilobase of transcript sequence per Millions base pairs sequenced, considers theeffect of sequencing depth and gene length for the reads count at the same time, and iscurrently the most commonly used method for estimating gene expression levels. | Assembly: Reads mapping to the reference genome-Reference genome and gene model annotation files were downloaded from genome website directly. Index of the reference genome was built using Hisat2 v2.0.5 and paired-end clean reads were aligned to the reference genome using Hisat2 v2.0.5. We selected Hisat2 as the mapping tool for that Hisat2 can generate a database of splice junctions based on the gene model annotation file and thus a better mapping result than other non-splice mapping tools. | Supplementary files format and content: Raw counts for each sample | Supplementary files format and content: FPKM values for each sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39510863 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23331683"
"GSE253699","GSM8026679","HCT116 cell FSTL3 rep2","tissue: Colon cancer | cell line: HCT116 | cell type: Colon cancer cell | genotype: WT | treatment: FSTL3 (300ng/mL) 24 hours","","HCT116 cells were maintained in IMEM supplemented with 10% fetal bovine serum (FBS) and antibiofics in humidfed atmosphere with 5% CO2 at 37℃","The study involved the exogenous addition of humanized FSTL3 protein (MCE) to the culture medium of HCT116 cells. We then performed gene expression profiling analysis using data obtained from RNA-seq after 24 hours. | A total amount of 1 ug RNA per sample was used as input material for the RNA sample preparations. Sequencing libraries were generated using NEBNext® UltraTMRNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer's recommendations and index codes were added to attribute sequences to each sample.","RNA-Seq","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq PE Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer's instructions. After cluster generation, the library preparations weresequenced on an Illumina Novaseq platform and 150 bp paired-end reads were generated. | Quality control-Raw data (raw reads) of fastq format were firstly processed through in-house perl scripts. In this step, clean data (clean reads) were obtained by removing reads containing adapter, reads containing ploy-N and low quality reads from raw data. At the same time, Q20, 030 and GC content the clean data were calculated. All the downstream analyses were based on the clean data with high quality. | Reads mapping to the reference genome-Reference genome and gene model annotation files were downloaded from genome website directly. Index of the reference genome was built using Hisat2 v2.0.5 and paired-end clean reads were aligned to the reference genome using Hisat2 v2.0.5. We selected Hisat2 as the mapping tool for that Hisat2 can generate a database of splice junctions based on the gene model annotation file and thus a better mapping result than other non-splice mapping tools. | Quantification of gene expression level- FeatureCounts v1.5.0-p3 was used to count the reads numbers mapped to each gene. And then FPKM of each gene was calculated based on the length of the geneand reads count mapped to this gene. FPKM, expected number of Fragments PerKilobase of transcript sequence per Millions base pairs sequenced, considers theeffect of sequencing depth and gene length for the reads count at the same time, and iscurrently the most commonly used method for estimating gene expression levels. | Assembly: Reads mapping to the reference genome-Reference genome and gene model annotation files were downloaded from genome website directly. Index of the reference genome was built using Hisat2 v2.0.5 and paired-end clean reads were aligned to the reference genome using Hisat2 v2.0.5. We selected Hisat2 as the mapping tool for that Hisat2 can generate a database of splice junctions based on the gene model annotation file and thus a better mapping result than other non-splice mapping tools. | Supplementary files format and content: Raw counts for each sample | Supplementary files format and content: FPKM values for each sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39510862 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23331684"
"GSE253699","GSM8026680","HCT116 cell FSTL3 rep3","tissue: Colon cancer | cell line: HCT116 | cell type: Colon cancer cell | genotype: WT | treatment: FSTL3 (300ng/mL) 24 hours","","HCT116 cells were maintained in IMEM supplemented with 10% fetal bovine serum (FBS) and antibiofics in humidfed atmosphere with 5% CO2 at 37℃","The study involved the exogenous addition of humanized FSTL3 protein (MCE) to the culture medium of HCT116 cells. We then performed gene expression profiling analysis using data obtained from RNA-seq after 24 hours. | A total amount of 1 ug RNA per sample was used as input material for the RNA sample preparations. Sequencing libraries were generated using NEBNext® UltraTMRNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer's recommendations and index codes were added to attribute sequences to each sample.","RNA-Seq","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq PE Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer's instructions. After cluster generation, the library preparations weresequenced on an Illumina Novaseq platform and 150 bp paired-end reads were generated. | Quality control-Raw data (raw reads) of fastq format were firstly processed through in-house perl scripts. In this step, clean data (clean reads) were obtained by removing reads containing adapter, reads containing ploy-N and low quality reads from raw data. At the same time, Q20, 030 and GC content the clean data were calculated. All the downstream analyses were based on the clean data with high quality. | Reads mapping to the reference genome-Reference genome and gene model annotation files were downloaded from genome website directly. Index of the reference genome was built using Hisat2 v2.0.5 and paired-end clean reads were aligned to the reference genome using Hisat2 v2.0.5. We selected Hisat2 as the mapping tool for that Hisat2 can generate a database of splice junctions based on the gene model annotation file and thus a better mapping result than other non-splice mapping tools. | Quantification of gene expression level- FeatureCounts v1.5.0-p3 was used to count the reads numbers mapped to each gene. And then FPKM of each gene was calculated based on the length of the geneand reads count mapped to this gene. FPKM, expected number of Fragments PerKilobase of transcript sequence per Millions base pairs sequenced, considers theeffect of sequencing depth and gene length for the reads count at the same time, and iscurrently the most commonly used method for estimating gene expression levels. | Assembly: Reads mapping to the reference genome-Reference genome and gene model annotation files were downloaded from genome website directly. Index of the reference genome was built using Hisat2 v2.0.5 and paired-end clean reads were aligned to the reference genome using Hisat2 v2.0.5. We selected Hisat2 as the mapping tool for that Hisat2 can generate a database of splice junctions based on the gene model annotation file and thus a better mapping result than other non-splice mapping tools. | Supplementary files format and content: Raw counts for each sample | Supplementary files format and content: FPKM values for each sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39510861 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23331685"
