"GSE","GSM","Title","Characteristics","Treatment","Growth","Extraction","Strategy","Processing","Supplement","Relation"
"GSE263971","GSM8208195","MCF7 treated with DMSO repeat 1","tissue: breast | cell line: MCF-7 | treatment: DMSO","cells were treated with DMSO or romidepsin 50nM","T47D and MCF7 were treated with RPMI, DMEM/F12 medium, repectively, each supplemented with 10% fetal bovine serum (FBS) and antibiotics in humidified atmosphere with 5% CO2 at 37C","RNA was harvested using Total RNA Isolate Kit (NovelGene). 1 ug of total RNA was used for the construction of sequencing libraries | RNA libraries for RNA-seq were prepared using KAPA mRNA HyperPrep Kit (KAPA Biosystems, Roche, Basel, Switzerland) following manufacturer's protocols.","RNA-Seq","Sequence reads were trimmed for adaptor sequence/low-quality sequence using Trimmomatic | Trimmed sequence reads were mapped to H.  sapiens, GRCh38 using HISAT2 software (v 2.1.0) (parameters- default) | Read count extraction  were performed using FeatureCounts (v 2.0.0 ) | Normalization were performed using DEGseq (v 1.40.0) | Assembly: GRCh38 | Supplementary files format and content: tab-delimited text files includes raw counts for each sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40698861 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24176195"
"GSE263971","GSM8208196","MCF7 treated with DMSO repeat 2","tissue: breast | cell line: MCF-7 | treatment: DMSO","cells were treated with DMSO or romidepsin 50nM","T47D and MCF7 were treated with RPMI, DMEM/F12 medium, repectively, each supplemented with 10% fetal bovine serum (FBS) and antibiotics in humidified atmosphere with 5% CO2 at 37C","RNA was harvested using Total RNA Isolate Kit (NovelGene). 1 ug of total RNA was used for the construction of sequencing libraries | RNA libraries for RNA-seq were prepared using KAPA mRNA HyperPrep Kit (KAPA Biosystems, Roche, Basel, Switzerland) following manufacturer's protocols.","RNA-Seq","Sequence reads were trimmed for adaptor sequence/low-quality sequence using Trimmomatic | Trimmed sequence reads were mapped to H.  sapiens, GRCh38 using HISAT2 software (v 2.1.0) (parameters- default) | Read count extraction  were performed using FeatureCounts (v 2.0.0 ) | Normalization were performed using DEGseq (v 1.40.0) | Assembly: GRCh38 | Supplementary files format and content: tab-delimited text files includes raw counts for each sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40698862 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24176196"
"GSE263971","GSM8208197","MCF7 treated with romidepsin repeat 1","tissue: breast | cell line: MCF-7 | treatment: romidepsin","cells were treated with DMSO or romidepsin 50nM","T47D and MCF7 were treated with RPMI, DMEM/F12 medium, repectively, each supplemented with 10% fetal bovine serum (FBS) and antibiotics in humidified atmosphere with 5% CO2 at 37C","RNA was harvested using Total RNA Isolate Kit (NovelGene). 1 ug of total RNA was used for the construction of sequencing libraries | RNA libraries for RNA-seq were prepared using KAPA mRNA HyperPrep Kit (KAPA Biosystems, Roche, Basel, Switzerland) following manufacturer's protocols.","RNA-Seq","Sequence reads were trimmed for adaptor sequence/low-quality sequence using Trimmomatic | Trimmed sequence reads were mapped to H.  sapiens, GRCh38 using HISAT2 software (v 2.1.0) (parameters- default) | Read count extraction  were performed using FeatureCounts (v 2.0.0 ) | Normalization were performed using DEGseq (v 1.40.0) | Assembly: GRCh38 | Supplementary files format and content: tab-delimited text files includes raw counts for each sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40698863 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24176197"
"GSE263971","GSM8208198","MCF7 treated with romidepsin repeat 2","tissue: breast | cell line: MCF-7 | treatment: romidepsin","cells were treated with DMSO or romidepsin 50nM","T47D and MCF7 were treated with RPMI, DMEM/F12 medium, repectively, each supplemented with 10% fetal bovine serum (FBS) and antibiotics in humidified atmosphere with 5% CO2 at 37C","RNA was harvested using Total RNA Isolate Kit (NovelGene). 1 ug of total RNA was used for the construction of sequencing libraries | RNA libraries for RNA-seq were prepared using KAPA mRNA HyperPrep Kit (KAPA Biosystems, Roche, Basel, Switzerland) following manufacturer's protocols.","RNA-Seq","Sequence reads were trimmed for adaptor sequence/low-quality sequence using Trimmomatic | Trimmed sequence reads were mapped to H.  sapiens, GRCh38 using HISAT2 software (v 2.1.0) (parameters- default) | Read count extraction  were performed using FeatureCounts (v 2.0.0 ) | Normalization were performed using DEGseq (v 1.40.0) | Assembly: GRCh38 | Supplementary files format and content: tab-delimited text files includes raw counts for each sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40698864 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24176198"
"GSE263971","GSM8208199","T47D treated with DMSO repeat 1","tissue: breast | cell line: T47D | treatment: DMSO","cells were treated with DMSO or romidepsin 50nM","T47D and MCF7 were treated with RPMI, DMEM/F12 medium, repectively, each supplemented with 10% fetal bovine serum (FBS) and antibiotics in humidified atmosphere with 5% CO2 at 37C","RNA was harvested using Total RNA Isolate Kit (NovelGene). 1 ug of total RNA was used for the construction of sequencing libraries | RNA libraries for RNA-seq were prepared using KAPA mRNA HyperPrep Kit (KAPA Biosystems, Roche, Basel, Switzerland) following manufacturer's protocols.","RNA-Seq","Sequence reads were trimmed for adaptor sequence/low-quality sequence using Trimmomatic | Trimmed sequence reads were mapped to H.  sapiens, GRCh38 using HISAT2 software (v 2.1.0) (parameters- default) | Read count extraction  were performed using FeatureCounts (v 2.0.0 ) | Normalization were performed using DEGseq (v 1.40.0) | Assembly: GRCh38 | Supplementary files format and content: tab-delimited text files includes raw counts for each sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40698865 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24176199"
"GSE263971","GSM8208200","T47D treated with DMSO repeat 2","tissue: breast | cell line: T47D | treatment: DMSO","cells were treated with DMSO or romidepsin 50nM","T47D and MCF7 were treated with RPMI, DMEM/F12 medium, repectively, each supplemented with 10% fetal bovine serum (FBS) and antibiotics in humidified atmosphere with 5% CO2 at 37C","RNA was harvested using Total RNA Isolate Kit (NovelGene). 1 ug of total RNA was used for the construction of sequencing libraries | RNA libraries for RNA-seq were prepared using KAPA mRNA HyperPrep Kit (KAPA Biosystems, Roche, Basel, Switzerland) following manufacturer's protocols.","RNA-Seq","Sequence reads were trimmed for adaptor sequence/low-quality sequence using Trimmomatic | Trimmed sequence reads were mapped to H.  sapiens, GRCh38 using HISAT2 software (v 2.1.0) (parameters- default) | Read count extraction  were performed using FeatureCounts (v 2.0.0 ) | Normalization were performed using DEGseq (v 1.40.0) | Assembly: GRCh38 | Supplementary files format and content: tab-delimited text files includes raw counts for each sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40698866 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24176200"
"GSE263971","GSM8208201","T47D treated with romidepsin repeat 1","tissue: breast | cell line: T47D | treatment: romidepsin","cells were treated with DMSO or romidepsin 50nM","T47D and MCF7 were treated with RPMI, DMEM/F12 medium, repectively, each supplemented with 10% fetal bovine serum (FBS) and antibiotics in humidified atmosphere with 5% CO2 at 37C","RNA was harvested using Total RNA Isolate Kit (NovelGene). 1 ug of total RNA was used for the construction of sequencing libraries | RNA libraries for RNA-seq were prepared using KAPA mRNA HyperPrep Kit (KAPA Biosystems, Roche, Basel, Switzerland) following manufacturer's protocols.","RNA-Seq","Sequence reads were trimmed for adaptor sequence/low-quality sequence using Trimmomatic | Trimmed sequence reads were mapped to H.  sapiens, GRCh38 using HISAT2 software (v 2.1.0) (parameters- default) | Read count extraction  were performed using FeatureCounts (v 2.0.0 ) | Normalization were performed using DEGseq (v 1.40.0) | Assembly: GRCh38 | Supplementary files format and content: tab-delimited text files includes raw counts for each sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40698867 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24176201"
"GSE263971","GSM8208202","T47D treated with romidepsin repeat 2","tissue: breast | cell line: T47D | treatment: romidepsin","cells were treated with DMSO or romidepsin 50nM","T47D and MCF7 were treated with RPMI, DMEM/F12 medium, repectively, each supplemented with 10% fetal bovine serum (FBS) and antibiotics in humidified atmosphere with 5% CO2 at 37C","RNA was harvested using Total RNA Isolate Kit (NovelGene). 1 ug of total RNA was used for the construction of sequencing libraries | RNA libraries for RNA-seq were prepared using KAPA mRNA HyperPrep Kit (KAPA Biosystems, Roche, Basel, Switzerland) following manufacturer's protocols.","RNA-Seq","Sequence reads were trimmed for adaptor sequence/low-quality sequence using Trimmomatic | Trimmed sequence reads were mapped to H.  sapiens, GRCh38 using HISAT2 software (v 2.1.0) (parameters- default) | Read count extraction  were performed using FeatureCounts (v 2.0.0 ) | Normalization were performed using DEGseq (v 1.40.0) | Assembly: GRCh38 | Supplementary files format and content: tab-delimited text files includes raw counts for each sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40698868 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24176202"
