"GSE","GSM","Title","Characteristics","Treatment","Growth","Extraction","Strategy","Processing","Supplement","Relation"
"GSE171750","GSM5233375","A549, Control untreated_1","cell line: A549 | cell type: Lung epithelial Adenocarcinoma (Alveolar Type II like) | treatment: untreated","A549 cells were seeded in 6 well plates @ 4 x 10^5 cells/well in 2 ml media; treated with +/- 10 ng/ml IL4 and +/- 1 uM Smartpool ALOX15 siRNA for 48 hrs before mRNA extraction.","A549 cells were grown in F12 (Ham's) media containing 10% HI FBS supplemented with 1x non-essential amino acids (Invitrogen) and 1x Pen/Strep glutamine (Invitrogen)","Qiagen RNAeasy mini prep kit | RNA libraries were prepared for sequencing using standard Illumina protocols","RNA-Seq","The reads were first mapped to the latest UCSC transcript set using Bowtie2 version 2.1.0 and the gene expression level was estimated using RSEM v1.2.15. | Genome_build: hg38 | Supplementary_files_format_and_content: tab-delimited text files include raw count values for each Sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18678214 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10560393"
"GSE171750","GSM5233376","A549, Control untreated_2","cell line: A549 | cell type: Lung epithelial Adenocarcinoma (Alveolar Type II like) | treatment: untreated","A549 cells were seeded in 6 well plates @ 4 x 10^5 cells/well in 2 ml media; treated with +/- 10 ng/ml IL4 and +/- 1 uM Smartpool ALOX15 siRNA for 48 hrs before mRNA extraction.","A549 cells were grown in F12 (Ham's) media containing 10% HI FBS supplemented with 1x non-essential amino acids (Invitrogen) and 1x Pen/Strep glutamine (Invitrogen)","Qiagen RNAeasy mini prep kit | RNA libraries were prepared for sequencing using standard Illumina protocols","RNA-Seq","The reads were first mapped to the latest UCSC transcript set using Bowtie2 version 2.1.0 and the gene expression level was estimated using RSEM v1.2.15. | Genome_build: hg38 | Supplementary_files_format_and_content: tab-delimited text files include raw count values for each Sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18678213 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10560394"
"GSE171750","GSM5233377","A549, Control untreated_3","cell line: A549 | cell type: Lung epithelial Adenocarcinoma (Alveolar Type II like) | treatment: untreated","A549 cells were seeded in 6 well plates @ 4 x 10^5 cells/well in 2 ml media; treated with +/- 10 ng/ml IL4 and +/- 1 uM Smartpool ALOX15 siRNA for 48 hrs before mRNA extraction.","A549 cells were grown in F12 (Ham's) media containing 10% HI FBS supplemented with 1x non-essential amino acids (Invitrogen) and 1x Pen/Strep glutamine (Invitrogen)","Qiagen RNAeasy mini prep kit | RNA libraries were prepared for sequencing using standard Illumina protocols","RNA-Seq","The reads were first mapped to the latest UCSC transcript set using Bowtie2 version 2.1.0 and the gene expression level was estimated using RSEM v1.2.15. | Genome_build: hg38 | Supplementary_files_format_and_content: tab-delimited text files include raw count values for each Sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18678382 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10560395"
"GSE171750","GSM5233378","A549, 10 ng/ml IL4_1","cell line: A549 | cell type: Lung epithelial Adenocarcinoma (Alveolar Type II like) | treatment: IL4 treated","A549 cells were seeded in 6 well plates @ 4 x 10^5 cells/well in 2 ml media; treated with +/- 10 ng/ml IL4 and +/- 1 uM Smartpool ALOX15 siRNA for 48 hrs before mRNA extraction.","A549 cells were grown in F12 (Ham's) media containing 10% HI FBS supplemented with 1x non-essential amino acids (Invitrogen) and 1x Pen/Strep glutamine (Invitrogen)","Qiagen RNAeasy mini prep kit | RNA libraries were prepared for sequencing using standard Illumina protocols","RNA-Seq","The reads were first mapped to the latest UCSC transcript set using Bowtie2 version 2.1.0 and the gene expression level was estimated using RSEM v1.2.15. | Genome_build: hg38 | Supplementary_files_format_and_content: tab-delimited text files include raw count values for each Sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18678381 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10560396"
"GSE171750","GSM5233379","A549, 10 ng/ml IL4_2","cell line: A549 | cell type: Lung epithelial Adenocarcinoma (Alveolar Type II like) | treatment: IL4 treated","A549 cells were seeded in 6 well plates @ 4 x 10^5 cells/well in 2 ml media; treated with +/- 10 ng/ml IL4 and +/- 1 uM Smartpool ALOX15 siRNA for 48 hrs before mRNA extraction.","A549 cells were grown in F12 (Ham's) media containing 10% HI FBS supplemented with 1x non-essential amino acids (Invitrogen) and 1x Pen/Strep glutamine (Invitrogen)","Qiagen RNAeasy mini prep kit | RNA libraries were prepared for sequencing using standard Illumina protocols","RNA-Seq","The reads were first mapped to the latest UCSC transcript set using Bowtie2 version 2.1.0 and the gene expression level was estimated using RSEM v1.2.15. | Genome_build: hg38 | Supplementary_files_format_and_content: tab-delimited text files include raw count values for each Sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18678380 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10560397"
"GSE171750","GSM5233380","A549, 10 ng/ml IL4_3","cell line: A549 | cell type: Lung epithelial Adenocarcinoma (Alveolar Type II like) | treatment: IL4 treated","A549 cells were seeded in 6 well plates @ 4 x 10^5 cells/well in 2 ml media; treated with +/- 10 ng/ml IL4 and +/- 1 uM Smartpool ALOX15 siRNA for 48 hrs before mRNA extraction.","A549 cells were grown in F12 (Ham's) media containing 10% HI FBS supplemented with 1x non-essential amino acids (Invitrogen) and 1x Pen/Strep glutamine (Invitrogen)","Qiagen RNAeasy mini prep kit | RNA libraries were prepared for sequencing using standard Illumina protocols","RNA-Seq","The reads were first mapped to the latest UCSC transcript set using Bowtie2 version 2.1.0 and the gene expression level was estimated using RSEM v1.2.15. | Genome_build: hg38 | Supplementary_files_format_and_content: tab-delimited text files include raw count values for each Sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18678379 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10560398"
"GSE171750","GSM5233381","A549, 10 ng/ml IL4 + Compound A_1","cell line: A549 | cell type: Lung epithelial Adenocarcinoma (Alveolar Type II like) | treatment: IL4+Compound treated","A549 cells were seeded in 6 well plates @ 4 x 10^5 cells/well in 2 ml media; treated with +/- 10 ng/ml IL4 and +/- 1 uM Smartpool ALOX15 siRNA for 48 hrs before mRNA extraction.","A549 cells were grown in F12 (Ham's) media containing 10% HI FBS supplemented with 1x non-essential amino acids (Invitrogen) and 1x Pen/Strep glutamine (Invitrogen)","Qiagen RNAeasy mini prep kit | RNA libraries were prepared for sequencing using standard Illumina protocols","RNA-Seq","The reads were first mapped to the latest UCSC transcript set using Bowtie2 version 2.1.0 and the gene expression level was estimated using RSEM v1.2.15. | Genome_build: hg38 | Supplementary_files_format_and_content: tab-delimited text files include raw count values for each Sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18678378 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10560399"
"GSE171750","GSM5233382","A549, 10 ng/ml IL4 + Compound A_2","cell line: A549 | cell type: Lung epithelial Adenocarcinoma (Alveolar Type II like) | treatment: IL4+Compound treated","A549 cells were seeded in 6 well plates @ 4 x 10^5 cells/well in 2 ml media; treated with +/- 10 ng/ml IL4 and +/- 1 uM Smartpool ALOX15 siRNA for 48 hrs before mRNA extraction.","A549 cells were grown in F12 (Ham's) media containing 10% HI FBS supplemented with 1x non-essential amino acids (Invitrogen) and 1x Pen/Strep glutamine (Invitrogen)","Qiagen RNAeasy mini prep kit | RNA libraries were prepared for sequencing using standard Illumina protocols","RNA-Seq","The reads were first mapped to the latest UCSC transcript set using Bowtie2 version 2.1.0 and the gene expression level was estimated using RSEM v1.2.15. | Genome_build: hg38 | Supplementary_files_format_and_content: tab-delimited text files include raw count values for each Sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18678377 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10560400"
"GSE171750","GSM5233383","A549, 10 ng/ml IL4 + Compound A_3","cell line: A549 | cell type: Lung epithelial Adenocarcinoma (Alveolar Type II like) | treatment: IL4+Compound treated","A549 cells were seeded in 6 well plates @ 4 x 10^5 cells/well in 2 ml media; treated with +/- 10 ng/ml IL4 and +/- 1 uM Smartpool ALOX15 siRNA for 48 hrs before mRNA extraction.","A549 cells were grown in F12 (Ham's) media containing 10% HI FBS supplemented with 1x non-essential amino acids (Invitrogen) and 1x Pen/Strep glutamine (Invitrogen)","Qiagen RNAeasy mini prep kit | RNA libraries were prepared for sequencing using standard Illumina protocols","RNA-Seq","The reads were first mapped to the latest UCSC transcript set using Bowtie2 version 2.1.0 and the gene expression level was estimated using RSEM v1.2.15. | Genome_build: hg38 | Supplementary_files_format_and_content: tab-delimited text files include raw count values for each Sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18678376 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10560401"
"GSE171750","GSM5233384","A549, 10 ng/ml IL4 + Control Smartpool siRNA_1","cell line: A549 | cell type: Lung epithelial Adenocarcinoma (Alveolar Type II like) | treatment: IL4+non-targeting negative control siRNA","A549 cells were seeded in 6 well plates @ 4 x 10^5 cells/well in 2 ml media; treated with +/- 10 ng/ml IL4 and +/- 1 uM Smartpool ALOX15 siRNA for 48 hrs before mRNA extraction.","A549 cells were grown in F12 (Ham's) media containing 10% HI FBS supplemented with 1x non-essential amino acids (Invitrogen) and 1x Pen/Strep glutamine (Invitrogen)","Qiagen RNAeasy mini prep kit | RNA libraries were prepared for sequencing using standard Illumina protocols","RNA-Seq","The reads were first mapped to the latest UCSC transcript set using Bowtie2 version 2.1.0 and the gene expression level was estimated using RSEM v1.2.15. | Genome_build: hg38 | Supplementary_files_format_and_content: tab-delimited text files include raw count values for each Sample","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18678316 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10560402"
