panel,accessions,with_gene_in_profile,unmapped_or_absent
kla_ddr,401,377,24
reference_ddr,836,675,161
ddr_go_universe,2719,1950,769
profile_genes,17340,
group_rows,31,
shared_reference_rows,0,
