Model,ConnGroup,N,Pos,AP,PRAUC_trap,ROC,Brier,LogLoss,Note,dropped_train
M0,5,228,8,0.0351,0.0351,0.5,0.1895,0.5714,,2
MP,5,228,8,0.258,0.208,0.769,0.2326,0.6555,,2
ME,5,228,8,0.1465,0.124,0.817,0.1651,0.5204,,2
ME2P,5,228,8,0.2531,0.2135,0.7858,0.2095,0.6014,,2
M0,6,276,5,0.0181,0.0181,0.5,0.1903,0.573,,2
MP,6,276,5,0.0411,0.0314,0.7111,0.235,0.6782,,2
ME,6,276,5,0.0695,0.0516,0.6775,0.154,0.4974,,2
ME2P,6,276,5,0.0429,0.032,0.7063,0.306,0.8473,,2
M0,7,561,257,0.4581,0.4581,0.5,0.2504,0.694,,2
MP,7,561,257,0.7984,0.8001,0.806,0.181,0.5458,,2
ME,7,561,257,0.6223,0.621,0.6431,0.2434,0.6796,,2
ME2P,7,561,257,0.8107,0.8102,0.8159,0.1807,0.5428,,2
M0,8,320,157,0.4906,0.4906,0.5,0.2561,0.7056,,2
MP,8,320,157,0.8165,0.8165,0.7908,0.1883,0.5658,,2
ME,8,320,157,0.5465,0.5411,0.558,0.2602,0.7145,,2
ME2P,8,320,157,0.822,0.8214,0.796,0.1905,0.5664,,2
M0,9,288,82,0.2847,0.2847,0.5,0.2224,0.6376,,2
MP,9,288,82,0.6139,0.6119,0.765,0.1891,0.5631,,2
ME,9,288,82,0.5341,0.5294,0.7276,0.2094,0.6104,,2
ME2P,9,288,82,0.6254,0.6175,0.7846,0.1762,0.5315,,2
M0,10,677,358,0.5288,0.5288,0.5,0.2651,0.7239,,2
MP,10,677,358,0.9198,0.9216,0.918,0.1426,0.4513,,2
ME,10,677,358,0.6095,0.6081,0.589,0.2548,0.7028,,2
ME2P,10,677,358,0.9245,0.9243,0.9209,0.1496,0.4723,,2
M0,11,1193,375,0.3143,0.3143,0.5,0.231,0.6549,,2
MP,11,1193,375,0.5471,0.5429,0.7205,0.2167,0.6248,,2
ME,11,1193,375,0.3503,0.3474,0.5161,0.2445,0.682,,2
ME2P,11,1193,375,0.5578,0.5571,0.7116,0.2224,0.6369,,2
M0,12,303,228,0.7525,0.7525,0.5,0.3111,0.8172,,2
MP,12,303,228,0.9243,0.9253,0.7959,0.2783,0.7992,,2
ME,12,303,228,0.7158,0.7123,0.417,0.3998,1.0225,,2
ME2P,12,303,228,0.9181,0.9178,0.7747,0.3745,1.0303,,2
M0,13,175,86,0.4914,0.4914,0.5,0.256,0.7053,,2
MP,13,175,86,0.8413,0.8412,0.8672,0.1542,0.4729,,2
ME,13,175,86,0.6384,0.6351,0.6441,0.2437,0.6803,,2
ME2P,13,175,86,0.8553,0.854,0.8791,0.1643,0.5002,,2
M0,14,177,28,0.1582,0.1582,0.5,0.2033,0.599,,2
MP,14,177,28,0.6591,0.655,0.9165,0.1889,0.5536,,2
ME,14,177,28,0.2926,0.2861,0.6016,0.2194,0.6311,,2
ME2P,14,177,28,0.6643,0.6555,0.9101,0.1763,0.5292,,2
M0,15,627,384,0.6124,0.6124,0.5,0.2848,0.764,,2
MP,15,627,384,0.8769,0.8785,0.8175,0.2232,0.6469,,2
ME,15,627,384,0.6693,0.6683,0.564,0.2979,0.7942,,2
ME2P,15,627,384,0.8739,0.8736,0.804,0.2546,0.7138,,2
M0,16,193,90,0.4663,0.4663,0.5,0.2516,0.6964,,2
MP,16,193,90,0.7721,0.7723,0.7698,0.1944,0.584,,2
ME,16,193,90,0.6403,0.6353,0.6519,0.2389,0.6708,,2
ME2P,16,193,90,0.7905,0.7892,0.7915,0.1876,0.5581,,2
M0,17,287,141,0.4913,0.4913,0.5,0.2562,0.7057,,2
MP,17,287,141,0.8989,0.9008,0.9067,0.147,0.4621,,2
ME,17,287,141,0.6097,0.6075,0.6037,0.2459,0.6849,,2
ME2P,17,287,141,0.9072,0.9068,0.9082,0.1548,0.4844,,2
M0,18,432,230,0.5324,0.5324,0.5,0.2646,0.7228,,2
MP,18,432,230,0.9004,0.9019,0.8868,0.1619,0.4955,,2
ME,18,432,230,0.595,0.5929,0.5579,0.2553,0.7038,,2
ME2P,18,432,230,0.8986,0.8988,0.8843,0.199,0.5778,,2
M0,19,323,172,0.5325,0.5325,0.5,0.2641,0.7217,,2
MP,19,323,172,0.8492,0.8518,0.8131,0.1938,0.5775,,2
ME,19,323,172,0.6813,0.6799,0.6236,0.2575,0.7086,,2
ME2P,19,323,172,0.859,0.8585,0.8238,0.2034,0.5952,,2
M0,1,112,22,0.1964,0.1964,0.5,0.2027,0.5975,,3
MP,1,112,22,0.7273,0.7286,0.8684,0.1852,0.5423,,3
ME,1,112,22,0.3793,0.3639,0.7146,0.1945,0.5799,,3
ME2P,1,112,22,0.7557,0.7518,0.8692,0.1643,0.4983,,3
M0,2,280,21,0.075,0.075,0.5,0.1878,0.5677,,3
MP,2,280,21,0.6377,0.6302,0.9153,0.182,0.5353,,3
ME,2,280,21,0.3525,0.3284,0.8303,0.1694,0.5288,,3
ME2P,2,280,21,0.6535,0.6398,0.9292,0.1505,0.4689,,3
M0,4,146,25,0.1712,0.1712,0.5,0.1988,0.5898,,3
MP,4,146,25,0.4921,0.445,0.7645,0.2111,0.6061,,3
ME,4,146,25,0.2704,0.248,0.6255,0.1791,0.5476,,3
ME2P,4,146,25,0.5162,0.5068,0.7716,0.1868,0.5494,,3
M0,5,228,8,0.0351,0.0351,0.5,0.1803,0.5525,,3
MP,5,228,8,0.2907,0.2377,0.7909,0.2195,0.6263,,3
ME,5,228,8,0.1465,0.124,0.817,0.1548,0.4986,,3
ME2P,5,228,8,0.2761,0.2351,0.8062,0.1977,0.5759,,3
M0,6,276,5,0.0181,0.0181,0.5,0.1804,0.5529,,3
MP,6,276,5,0.0428,0.0323,0.7185,0.2257,0.6595,,3
ME,6,276,5,0.0695,0.0516,0.6775,0.1403,0.4681,,3
ME2P,6,276,5,0.0495,0.0362,0.7218,0.309,0.8608,,3
M0,7,561,257,0.4581,0.4581,0.5,0.2517,0.6967,,3
MP,7,561,257,0.8101,0.8116,0.8149,0.1785,0.5394,,3
ME,7,561,257,0.6223,0.621,0.6431,0.244,0.6809,,3
ME2P,7,561,257,0.8268,0.8264,0.8286,0.1781,0.5363,,3
M0,8,320,157,0.4906,0.4906,0.5,0.2581,0.7097,,3
MP,8,320,157,0.8164,0.8173,0.7923,0.1866,0.562,,3
ME,8,320,157,0.5465,0.5411,0.558,0.2634,0.7216,,3
ME2P,8,320,157,0.8233,0.8227,0.7993,0.1889,0.5629,,3
M0,9,288,82,0.2847,0.2847,0.5,0.2193,0.6313,,3
MP,9,288,82,0.6428,0.6421,0.7782,0.1796,0.5421,,3
ME,9,288,82,0.5341,0.5294,0.7276,0.2054,0.602,,3
ME2P,9,288,82,0.6609,0.6533,0.802,0.1664,0.5092,,3
M0,10,677,358,0.5288,0.5288,0.5,0.2684,0.7307,,3
MP,10,677,358,0.9221,0.924,0.9199,0.1437,0.4532,,3
ME,10,677,358,0.6095,0.6081,0.589,0.2564,0.7061,,3
ME2P,10,677,358,0.9252,0.9251,0.921,0.1476,0.4671,,3
M0,11,1193,375,0.3143,0.3143,0.5,0.2276,0.6481,,3
MP,11,1193,375,0.5608,0.5507,0.7216,0.213,0.6159,,3
ME,11,1193,375,0.3503,0.3474,0.5161,0.2425,0.6779,,3
ME2P,11,1193,375,0.5728,0.5722,0.716,0.2169,0.6242,,3
M0,12,303,228,0.7525,0.7525,0.5,0.3193,0.8343,,3
MP,12,303,228,0.922,0.9228,0.7911,0.2875,0.8232,,3
ME,12,303,228,0.7158,0.7123,0.417,0.414,1.0597,,3
ME2P,12,303,228,0.9134,0.9131,0.764,0.3754,1.031,,3
M0,13,175,86,0.4914,0.4914,0.5,0.2579,0.7093,,3
MP,13,175,86,0.8448,0.8448,0.8702,0.1539,0.4723,,3
ME,13,175,86,0.6384,0.6351,0.6441,0.2436,0.6801,,3
ME2P,13,175,86,0.8591,0.8577,0.8824,0.169,0.5091,,3
M0,14,177,28,0.1582,0.1582,0.5,0.1972,0.5866,,3
MP,14,177,28,0.7173,0.714,0.9252,0.1827,0.537,,3
ME,14,177,28,0.2926,0.2861,0.6016,0.2156,0.6233,,3
ME2P,14,177,28,0.68,0.6723,0.9108,0.165,0.5035,,3
M0,15,627,384,0.6124,0.6124,0.5,0.2901,0.7752,,3
MP,15,627,384,0.8757,0.8774,0.8154,0.2303,0.6639,,3
ME,15,627,384,0.6693,0.6683,0.564,0.3045,0.8094,,3
ME2P,15,627,384,0.867,0.8667,0.7927,0.2684,0.7481,,3
M0,16,193,90,0.4663,0.4663,0.5,0.2529,0.6992,,3
MP,16,193,90,0.7784,0.7793,0.7741,0.1924,0.5794,,3
ME,16,193,90,0.6403,0.6353,0.6519,0.2384,0.6696,,3
ME2P,16,193,90,0.8027,0.8014,0.8004,0.1844,0.5503,,3
M0,17,287,141,0.4913,0.4913,0.5,0.2582,0.7098,,3
MP,17,287,141,0.9109,0.9125,0.9115,0.1473,0.4615,,3
ME,17,287,141,0.6097,0.6075,0.6037,0.2461,0.6854,,3
ME2P,17,287,141,0.9177,0.9173,0.9111,0.1566,0.4877,,3
M0,18,432,230,0.5324,0.5324,0.5,0.2677,0.7292,,3
MP,18,432,230,0.8987,0.9003,0.8873,0.1648,0.5012,,3
ME,18,432,230,0.595,0.5929,0.5579,0.2566,0.7064,,3
ME2P,18,432,230,0.8933,0.8934,0.8812,0.2155,0.6139,,3
M0,19,323,172,0.5325,0.5325,0.5,0.2671,0.7279,,3
MP,19,323,172,0.8545,0.8565,0.8176,0.1958,0.5817,,3
ME,19,323,172,0.6813,0.6799,0.6236,0.2596,0.713,,3
