Model,ConnGroup,N,Pos,AP,PRAUC_trap,ROC,Brier,LogLoss,Note,dropped_train
M0,4,146,25,0.1712,0.1712,0.5,0.2056,0.6037,,6
MP,4,146,25,0.5071,0.4983,0.7674,0.2156,0.6217,,6
ME,4,146,25,0.2704,0.248,0.6255,0.1888,0.5685,,6
ME2P,4,146,25,0.5157,0.5047,0.7722,0.2015,0.5844,,6
M0,5,228,8,0.0351,0.0351,0.5,0.1913,0.5751,,6
MP,5,228,8,0.3207,0.2685,0.7938,0.2303,0.6544,,6
ME,5,228,8,0.1465,0.124,0.817,0.1711,0.5331,,6
ME2P,5,228,8,0.3575,0.2996,0.8097,0.2335,0.6603,,6
M0,7,561,257,0.4581,0.4581,0.5,0.2502,0.6936,,6
MP,7,561,257,0.8094,0.8112,0.8098,0.1788,0.54,,6
ME,7,561,257,0.6223,0.621,0.6431,0.2445,0.6819,,6
ME2P,7,561,257,0.8177,0.8173,0.8172,0.1774,0.5352,,6
M0,8,320,157,0.4906,0.4906,0.5,0.2558,0.7049,,6
MP,8,320,157,0.8163,0.8174,0.7919,0.1869,0.561,,6
ME,8,320,157,0.5465,0.5411,0.558,0.2588,0.7115,,6
ME2P,8,320,157,0.823,0.8225,0.7977,0.1852,0.5521,,6
M0,9,288,82,0.2847,0.2847,0.5,0.2231,0.6389,,6
MP,9,288,82,0.6285,0.6265,0.772,0.1855,0.5546,,6
ME,9,288,82,0.5341,0.5294,0.7276,0.212,0.616,,6
ME2P,9,288,82,0.6446,0.6408,0.7904,0.1746,0.5274,,6
M0,10,677,358,0.5288,0.5288,0.5,0.2645,0.7226,,6
MP,10,677,358,0.9198,0.9213,0.9177,0.1414,0.4474,,6
ME,10,677,358,0.6095,0.6081,0.589,0.2563,0.7059,,6
ME2P,10,677,358,0.9159,0.9158,0.9132,0.1409,0.4537,,6
M0,11,1193,375,0.3143,0.3143,0.5,0.2317,0.6563,,6
MP,11,1193,375,0.5541,0.547,0.7213,0.2177,0.6294,,6
ME,11,1193,375,0.3503,0.3474,0.5161,0.2416,0.6762,,6
ME2P,11,1193,375,0.5751,0.5746,0.7334,0.2081,0.604,,6
M0,12,303,228,0.7525,0.7525,0.5,0.3095,0.8138,,6
MP,12,303,228,0.9214,0.9221,0.7915,0.2799,0.8018,,6
ME,12,303,228,0.7158,0.7123,0.417,0.3903,0.998,,6
ME2P,12,303,228,0.9149,0.9146,0.7692,0.2894,0.798,,6
M0,13,175,86,0.4914,0.4914,0.5,0.2556,0.7046,,6
MP,13,175,86,0.843,0.8428,0.8684,0.1532,0.4696,,6
ME,13,175,86,0.6384,0.6351,0.6441,0.2455,0.684,,6
ME2P,13,175,86,0.8557,0.8544,0.8795,0.1887,0.5478,,6
M0,14,177,28,0.1582,0.1582,0.5,0.2045,0.6014,,6
MP,14,177,28,0.6775,0.6735,0.9204,0.1906,0.559,,6
ME,14,177,28,0.2926,0.2861,0.6016,0.2164,0.6252,,6
ME2P,14,177,28,0.657,0.6479,0.9104,0.1494,0.4661,,6
M0,15,627,384,0.6124,0.6124,0.5,0.2838,0.7618,,6
MP,15,627,384,0.8756,0.8773,0.816,0.2239,0.6482,,6
ME,15,627,384,0.6693,0.6683,0.564,0.2952,0.7878,,6
ME2P,15,627,384,0.8501,0.8498,0.7689,0.2628,0.7393,,6
M0,16,193,90,0.4663,0.4663,0.5,0.2514,0.696,,6
MP,16,193,90,0.7744,0.7743,0.7737,0.1926,0.5784,,6
ME,16,193,90,0.6403,0.6353,0.6519,0.2409,0.6747,,6
ME2P,16,193,90,0.7875,0.7858,0.7936,0.1855,0.5529,,6
M0,17,287,141,0.4913,0.4913,0.5,0.2558,0.705,,6
MP,17,287,141,0.9144,0.9158,0.9132,0.1444,0.4551,,6
ME,17,287,141,0.6097,0.6075,0.6037,0.2474,0.6878,,6
ME2P,17,287,141,0.9197,0.9194,0.9134,0.1556,0.4853,,6
M0,18,432,230,0.5324,0.5324,0.5,0.264,0.7216,,6
MP,18,432,230,0.9015,0.9031,0.8881,0.1608,0.4918,,6
ME,18,432,230,0.595,0.5929,0.5579,0.2566,0.7064,,6
ME2P,18,432,230,0.899,0.8992,0.8851,0.2562,0.7117,,6
M0,19,323,172,0.5325,0.5325,0.5,0.2635,0.7205,,6
MP,19,323,172,0.8514,0.8523,0.8136,0.1928,0.5737,,6
ME,19,323,172,0.6813,0.6799,0.6236,0.2583,0.71,,6
ME2P,19,323,172,0.8611,0.8606,0.8259,0.2079,0.6054,,6
M0,1,112,22,0.1964,0.1964,0.5,0.1993,0.5906,,7
MP,1,112,22,0.7574,0.7525,0.8634,0.1697,0.5121,,7
ME,1,112,22,0.3793,0.3639,0.7146,0.191,0.5727,,7
ME2P,1,112,22,0.7538,0.75,0.8631,0.1506,0.4688,,7
M0,2,280,21,0.075,0.075,0.5,0.1827,0.5572,,7
MP,2,280,21,0.6163,0.6136,0.9025,0.1802,0.5311,,7
ME,2,280,21,0.3525,0.3284,0.8303,0.1651,0.5197,,7
ME2P,2,280,21,0.6595,0.6534,0.9197,0.1487,0.4655,,7
M0,3,146,39,0.2671,0.2671,0.5,0.2133,0.6189,,7
MP,3,146,39,0.631,0.6275,0.7876,0.2038,0.5924,,7
ME,3,146,39,0.6276,0.6232,0.7803,0.2077,0.6073,,7
ME2P,3,146,39,0.6192,0.6109,0.8047,0.1971,0.5778,,7
M0,4,146,25,0.1712,0.1712,0.5,0.1951,0.582,,7
MP,4,146,25,0.5012,0.4967,0.76,0.1996,0.5778,,7
ME,4,146,25,0.2704,0.248,0.6255,0.1766,0.5422,,7
ME2P,4,146,25,0.5256,0.5164,0.7656,0.1766,0.5271,,7
M0,5,228,8,0.0351,0.0351,0.5,0.1746,0.5408,,7
MP,5,228,8,0.3003,0.25,0.7991,0.2121,0.6062,,7
ME,5,228,8,0.1465,0.124,0.817,0.1505,0.4896,,7
ME2P,5,228,8,0.3173,0.2698,0.8142,0.188,0.5533,,7
M0,6,276,5,0.0181,0.0181,0.5,0.1746,0.5409,,7
MP,6,276,5,0.0414,0.031,0.6878,0.2182,0.6366,,7
ME,6,276,5,0.0695,0.0516,0.6775,0.1381,0.4635,,7
ME2P,6,276,5,0.0492,0.036,0.6974,0.2948,0.818,,7
M0,8,320,157,0.4906,0.4906,0.5,0.2598,0.7132,,7
MP,8,320,157,0.8154,0.8163,0.7855,0.1942,0.5842,,7
ME,8,320,157,0.5465,0.5411,0.558,0.2656,0.7265,,7
ME2P,8,320,157,0.8191,0.8186,0.7875,0.1971,0.5834,,7
M0,9,288,82,0.2847,0.2847,0.5,0.2174,0.6272,,7
MP,9,288,82,0.6087,0.608,0.7506,0.1856,0.5589,,7
ME,9,288,82,0.5341,0.5294,0.7276,0.2041,0.5991,,7
ME2P,9,288,82,0.6312,0.6235,0.7762,0.1715,0.5216,,7
M0,10,677,358,0.5288,0.5288,0.5,0.2713,0.7368,,7
MP,10,677,358,0.9229,0.9244,0.9198,0.1503,0.4674,,7
ME,10,677,358,0.6095,0.6081,0.589,0.2599,0.7135,,7
ME2P,10,677,358,0.925,0.9249,0.9211,0.1553,0.4831,,7
M0,11,1193,375,0.3143,0.3143,0.5,0.2259,0.6445,,7
MP,11,1193,375,0.552,0.5446,0.7217,0.2096,0.6067,,7
ME,11,1193,375,0.3503,0.3474,0.5161,0.2379,0.6687,,7
ME2P,11,1193,375,0.5648,0.5643,0.7177,0.2101,0.6073,,7
M0,12,303,228,0.7525,0.7525,0.5,0.3264,0.8495,,7
MP,12,303,228,0.9217,0.9224,0.7952,0.2903,0.8248,,7
ME,12,303,228,0.7158,0.7123,0.417,0.4225,1.0815,,7
ME2P,12,303,228,0.9137,0.9135,0.7668,0.3803,1.0376,,7
M0,13,175,86,0.4914,0.4914,0.5,0.2595,0.7126,,7
MP,13,175,86,0.8394,0.8388,0.8634,0.1594,0.4839,,7
ME,13,175,86,0.6384,0.6351,0.6441,0.2455,0.684,,7
ME2P,13,175,86,0.8539,0.8525,0.8777,0.179,0.5298,,7
M0,14,177,28,0.1582,0.1582,0.5,0.1933,0.5784,,7
MP,14,177,28,0.6601,0.6555,0.9069,0.178,0.5269,,7
ME,14,177,28,0.2926,0.2861,0.6016,0.2088,0.6094,,7
ME2P,14,177,28,0.6504,0.6416,0.8969,0.1568,0.4855,,7
M0,15,627,384,0.6124,0.6124,0.5,0.2952,0.7859,,7
MP,15,627,384,0.8739,0.8769,0.8161,0.2351,0.6725,,7
ME,15,627,384,0.6693,0.6683,0.564,0.3106,0.8232,,7
ME2P,15,627,384,0.8684,0.8681,0.793,0.2783,0.7724,,7
M0,16,193,90,0.4663,0.4663,0.5,0.2541,0.7016,,7
MP,16,193,90,0.7816,0.7813,0.7756,0.1945,0.588,,7
ME,16,193,90,0.6403,0.6353,0.6519,0.2399,0.6727,,7
ME2P,16,193,90,0.7969,0.7954,0.7982,0.1876,0.5581,,7
M0,17,287,141,0.4913,0.4913,0.5,0.2598,0.7133,,7
MP,17,287,141,0.9117,0.9132,0.9142,0.1515,0.4707,,7
ME,17,287,141,0.6097,0.6075,0.6037,0.248,0.6891,,7
ME2P,17,287,141,0.9163,0.916,0.913,0.1633,0.5014,,7
M0,18,432,230,0.5324,0.5324,0.5,0.2703,0.7348,,7
MP,18,432,230,0.9103,0.9126,0.8971,0.1663,0.5047,,7
ME,18,432,230,0.595,0.5929,0.5579,0.2596,0.7127,,7
ME2P,18,432,230,0.9063,0.9065,0.8923,0.2255,0.6351,,7
M0,19,323,172,0.5325,0.5325,0.5,0.2696,0.7332,,7
MP,19,323,172,0.8452,0.8476,0.8094,0.2014,0.5954,,7
ME,19,323,172,0.6813,0.6799,0.6236,0.2629,0.7198,,7
ME2P,19,323,172,0.8544,0.8539,0.819,0.2162,0.6234,,7
M0,1,112,22,0.1964,0.1964,0.5,0.1996,0.591,,8
MP,1,112,22,0.7699,0.7653,0.8745,0.1741,0.5137,,8
ME,1,112,22,0.3793,0.3639,0.7146,0.1899,0.5701,,8
ME2P,1,112,22,0.7611,0.7573,0.8727,0.155,0.4765,,8
M0,2,280,21,0.075,0.075,0.5,0.1828,0.5574,,8
MP,2,280,21,0.6192,0.6143,0.9099,0.1792,0.5282,,8
ME,2,280,21,0.3525,0.3284,0.8303,0.1621,0.5132,,8
ME2P,2,280,21,0.6672,0.6609,0.93,0.1469,0.4603,,8
M0,3,146,39,0.2671,0.2671,0.5,0.2135,0.6192,,8
MP,3,146,39,0.6324,0.6276,0.788,0.2047,0.595,,8
ME,3,146,39,0.6276,0.6232,0.7803,0.2071,0.6061,,8
ME2P,3,146,39,0.6213,0.613,0.8057,0.1988,0.5821,,8
M0,4,146,25,0.1712,0.1712,0.5,0.1953,0.5825,,8
MP,4,146,25,0.5061,0.5009,0.7607,0.2,0.5854,,8
ME,4,146,25,0.2704,0.248,0.6255,0.1742,0.5368,,8
ME2P,4,146,25,0.5314,0.5222,0.7719,0.1754,0.5246,,8
M0,5,228,8,0.0351,0.0351,0.5,0.1747,0.5411,,8
MP,5,228,8,0.2944,0.2435,0.7957,0.2137,0.6089,,8
ME,5,228,8,0.1465,0.124,0.817,0.1466,0.481,,8
ME2P,5,228,8,0.3144,0.267,0.8165,0.1886,0.5533,,8
M0,6,276,5,0.0181,0.0181,0.5,0.1746,0.5409,,8
MP,6,276,5,0.0438,0.0331,0.7255,0.2189,0.6374,,8
ME,6,276,5,0.0695,0.0516,0.6775,0.1313,0.4484,,8
ME2P,6,276,5,0.0494,0.0367,0.7284,0.289,0.8059,,8
M0,7,561,257,0.4581,0.4581,0.5,0.2527,0.6989,,8
MP,7,561,257,0.8067,0.81,0.8082,0.1831,0.5532,,8
ME,7,561,257,0.6223,0.621,0.6431,0.2451,0.6833,,8
ME2P,7,561,257,0.8227,0.8224,0.8204,0.1825,0.5473,,8
M0,9,288,82,0.2847,0.2847,0.5,0.2175,0.6274,,8
MP,9,288,82,0.6145,0.6141,0.7734,0.1799,0.5408,,8
ME,9,288,82,0.5341,0.5294,0.7276,0.2023,0.5951,,8
ME2P,9,288,82,0.6426,0.6347,0.8009,0.1665,0.5088,,8
M0,10,677,358,0.5288,0.5288,0.5,0.2708,0.7359,,8
MP,10,677,358,0.9154,0.9165,0.9152,0.1488,0.464,,8
ME,10,677,358,0.6095,0.6081,0.589,0.2585,0.7107,,8
ME2P,10,677,358,0.9164,0.9162,0.9151,0.1536,0.4797,,8
M0,11,1193,375,0.3143,0.3143,0.5,0.2259,0.6445,,8
MP,11,1193,375,0.5529,0.5447,0.7195,0.2114,0.6117,,8
ME,11,1193,375,0.3503,0.3474,0.5161,0.2394,0.6718,,8
ME2P,11,1193,375,0.5666,0.5661,0.7152,0.2127,0.6137,,8
M0,12,303,228,0.7525,0.7525,0.5,0.3254,0.8472,,8
MP,12,303,228,0.9231,0.9238,0.7934,0.29,0.8287,,8
ME,12,303,228,0.7158,0.7123,0.417,0.4329,1.1114,,8
ME2P,12,303,228,0.9132,0.913,0.762,0.3847,1.0557,,8
M0,13,175,86,0.4914,0.4914,0.5,0.2593,0.7123,,8
MP,13,175,86,0.8353,0.8339,0.8618,0.1583,0.4817,,8
ME,13,175,86,0.6384,0.6351,0.6441,0.244,0.6809,,8
ME2P,13,175,86,0.8536,0.8522,0.8794,0.175,0.5211,,8
M0,14,177,28,0.1582,0.1582,0.5,0.1935,0.5789,,8
MP,14,177,28,0.6729,0.6702,0.9185,0.1771,0.5249,,8
ME,14,177,28,0.2926,0.2861,0.6016,0.211,0.6137,,8
ME2P,14,177,28,0.6631,0.6542,0.907,0.159,0.4899,,8
M0,15,627,384,0.6124,0.6124,0.5,0.2943,0.7841,,8
MP,15,627,384,0.8749,0.8763,0.8153,0.2329,0.6702,,8
ME,15,627,384,0.6693,0.6683,0.564,0.3131,0.8301,,8
ME2P,15,627,384,0.8669,0.8667,0.7932,0.2768,0.7703,,8
M0,16,193,90,0.4663,0.4663,0.5,0.254,0.7014,,8
MP,16,193,90,0.7725,0.7724,0.7773,0.1906,0.5753,,8
ME,16,193,90,0.6403,0.6353,0.6519,0.2384,0.6695,,8
ME2P,16,193,90,0.7963,0.7948,0.8046,0.1832,0.5478,,8
M0,17,287,141,0.4913,0.4913,0.5,0.2596,0.7129,,8
MP,17,287,141,0.9068,0.9078,0.9053,0.1516,0.4732,,8
ME,17,287,141,0.6097,0.6075,0.6037,0.2468,0.6867,,8
ME2P,17,287,141,0.9125,0.9121,0.903,0.1613,0.4981,,8
M0,18,432,230,0.5324,0.5324,0.5,0.27,0.7341,,8
MP,18,432,230,0.8971,0.8986,0.8871,0.167,0.5062,,8
ME,18,432,230,0.595,0.5929,0.5579,0.2584,0.7102,,8
ME2P,18,432,230,0.8935,0.8936,0.8813,0.2204,0.6249,,8
M0,19,323,172,0.5325,0.5325,0.5,0.2693,0.7325,,8
MP,19,323,172,0.8551,0.8566,0.8195,0.1966,0.5829,,8
ME,19,323,172,0.6813,0.6799,0.6236,0.2622,0.7186,,8
ME2P,19,323,172,0.8646,0.8641,0.832,0.2119,0.6135,,8
M0,1,112,22,0.1964,0.1964,0.5,0.2037,0.5995,,9
MP,1,112,22,0.7458,0.7439,0.8576,0.182,0.5323,,9
ME,1,112,22,0.3793,0.3639,0.7146,0.1955,0.5823,,9
ME2P,1,112,22,0.7479,0.7442,0.8576,0.1617,0.4928,,9
M0,2,280,21,0.075,0.075,0.5,0.1896,0.5715,,9
MP,2,280,21,0.6023,0.5973,0.9002,0.1896,0.552,,9
ME,2,280,21,0.3525,0.3284,0.8303,0.172,0.5343,,9
ME2P,2,280,21,0.6443,0.6381,0.9184,0.1577,0.4853,,9
M0,3,146,39,0.2671,0.2671,0.5,0.2162,0.6248,,9
MP,3,146,39,0.6352,0.6318,0.7861,0.2095,0.6081,,9
ME,3,146,39,0.6276,0.6232,0.7803,0.2115,0.6152,,9
ME2P,3,146,39,0.6204,0.6121,0.8004,0.2035,0.5929,,9
M0,4,146,25,0.1712,0.1712,0.5,0.2,0.5921,,9
MP,4,146,25,0.5125,0.5049,0.7615,0.2083,0.5971,,9
ME,4,146,25,0.2704,0.248,0.6255,0.1809,0.5516,,9
ME2P,4,146,25,0.5303,0.5213,0.7679,0.1845,0.5442,,9
M0,5,228,8,0.0351,0.0351,0.5,0.1823,0.5566,,9
MP,5,228,8,0.2571,0.2154,0.7778,0.2251,0.6389,,9
ME,5,228,8,0.1465,0.124,0.817,0.158,0.5055,,9
ME2P,5,228,8,0.3019,0.2552,0.8,0.201,0.5826,,9
M0,6,276,5,0.0181,0.0181,0.5,0.1826,0.5574,,9
MP,6,276,5,0.0416,0.0314,0.7089,0.2273,0.6582,,9
ME,6,276,5,0.0695,0.0516,0.6775,0.1457,0.4797,,9
ME2P,6,276,5,0.0474,0.0351,0.7107,0.306,0.8466,,9
M0,7,561,257,0.4581,0.4581,0.5,0.2514,0.6961,,9
MP,7,561,257,0.7936,0.7957,0.8016,0.1835,0.5538,,9
ME,7,561,257,0.6223,0.621,0.6431,0.2442,0.6814,,9
ME2P,7,561,257,0.8101,0.8097,0.8141,0.1829,0.5477,,9
M0,8,320,157,0.4906,0.4906,0.5,0.2577,0.7089,,9
MP,8,320,157,0.8075,0.8083,0.7884,0.1892,0.5666,,9
ME,8,320,157,0.5465,0.5411,0.558,0.2625,0.7195,,9
ME2P,8,320,157,0.8174,0.8168,0.7967,0.1916,0.5678,,9
M0,10,677,358,0.5288,0.5288,0.5,0.2678,0.7294,,9
MP,10,677,358,0.9187,0.9205,0.9174,0.1457,0.4578,,9
ME,10,677,358,0.6095,0.6081,0.589,0.2567,0.7068,,9
ME2P,10,677,358,0.9212,0.921,0.9193,0.1505,0.4749,,9
M0,11,1193,375,0.3143,0.3143,0.5,0.2284,0.6496,,9
MP,11,1193,375,0.5616,0.5543,0.7244,0.2124,0.6136,,9
ME,11,1193,375,0.3503,0.3474,0.5161,0.2418,0.6765,,9
ME2P,11,1193,375,0.5733,0.5728,0.7211,0.2133,0.6149,,9
M0,12,303,228,0.7525,0.7525,0.5,0.3178,0.8313,,9
MP,12,303,228,0.922,0.9228,0.7946,0.2837,0.8111,,9
ME,12,303,228,0.7158,0.7123,0.417,0.4093,1.0467,,9
ME2P,12,303,228,0.9155,0.9152,0.7699,0.3576,0.9741,,9
M0,13,175,86,0.4914,0.4914,0.5,0.2575,0.7085,,9
MP,13,175,86,0.8433,0.8434,0.8692,0.1546,0.4734,,9
ME,13,175,86,0.6384,0.6351,0.6441,0.2442,0.6814,,9
ME2P,13,175,86,0.8563,0.8548,0.8822,0.1725,0.5162,,9
M0,14,177,28,0.1582,0.1582,0.5,0.1985,0.5891,,9
MP,14,177,28,0.6748,0.6703,0.9166,0.1826,0.5372,,9
ME,14,177,28,0.2926,0.2861,0.6016,0.215,0.6221,,9
ME2P,14,177,28,0.6599,0.6509,0.9077,0.1625,0.4988,,9
M0,15,627,384,0.6124,0.6124,0.5,0.2893,0.7733,,9
MP,15,627,384,0.8778,0.8795,0.8197,0.2272,0.6559,,9
ME,15,627,384,0.6693,0.6683,0.564,0.303,0.8058,,9
ME2P,15,627,384,0.87,0.8698,0.7985,0.267,0.7449,,9
M0,16,193,90,0.4663,0.4663,0.5,0.2526,0.6986,,9
MP,16,193,90,0.7682,0.7693,0.7662,0.1965,0.5908,,9
ME,16,193,90,0.6403,0.6353,0.6519,0.2391,0.6711,,9
ME2P,16,193,90,0.7872,0.7857,0.791,0.1882,0.5595,,9
M0,17,287,141,0.4913,0.4913,0.5,0.2578,0.709,,9
MP,17,287,141,0.908,0.9095,0.9079,0.1488,0.4651,,9
ME,17,287,141,0.6097,0.6075,0.6037,0.2466,0.6863,,9
ME2P,17,287,141,0.9132,0.9129,0.9077,0.159,0.4931,,9
M0,18,432,230,0.5324,0.5324,0.5,0.2671,0.728,,9
MP,18,432,230,0.9034,0.9051,0.891,0.1635,0.4983,,9
ME,18,432,230,0.595,0.5929,0.5579,0.2569,0.7071,,9
ME2P,18,432,230,0.8998,0.9,0.8862,0.2162,0.6149,,9
M0,19,323,172,0.5325,0.5325,0.5,0.2665,0.7267,,9
MP,19,323,172,0.8495,0.8509,0.8132,0.1961,0.5825,,9
ME,19,323,172,0.6813,0.6799,0.6236,0.2596,0.713,,9
ME2P,19,323,172,0.8593,0.8588,0.8262,0.2096,0.6086,,9
M0,1,112,22,0.1964,0.1964,0.5,0.1957,0.5829,,10
MP,1,112,22,0.7386,0.7462,0.8629,0.1744,0.5171,,10
ME,1,112,22,0.3793,0.3639,0.7146,0.1887,0.5678,,10
ME2P,1,112,22,0.7449,0.7411,0.8581,0.1567,0.4839,,10
M0,2,280,21,0.075,0.075,0.5,0.1766,0.5446,,10
MP,2,280,21,0.6033,0.6006,0.9063,0.1727,0.5156,,10
ME,2,280,21,0.3525,0.3284,0.8303,0.1615,0.5121,,10
ME2P,2,280,21,0.6429,0.6359,0.9215,0.1469,0.4639,,10
M0,3,146,39,0.2671,0.2671,0.5,0.2109,0.6139,,10
MP,3,146,39,0.5876,0.593,0.7957,0.201,0.5878,,10
ME,3,146,39,0.6276,0.6232,0.7803,0.2056,0.603,,10
ME2P,3,146,39,0.6294,0.6212,0.8128,0.1926,0.5688,,10
M0,4,146,25,0.1712,0.1712,0.5,0.1909,0.5734,,10
MP,4,146,25,0.503,0.5013,0.7747,0.1944,0.567,,10
ME,4,146,25,0.2704,0.248,0.6255,0.1747,0.5381,,10
ME2P,4,146,25,0.5165,0.5051,0.7798,0.1724,0.519,,10
M0,5,228,8,0.0351,0.0351,0.5,0.1678,0.5267,,10
MP,5,228,8,0.2628,0.2162,0.7858,0.2039,0.5894,,10
ME,5,228,8,0.1465,0.124,0.817,0.1469,0.4819,,10
ME2P,5,228,8,0.2885,0.2418,0.808,0.1794,0.5355,,10
M0,6,276,5,0.0181,0.0181,0.5,0.1674,0.5261,,10
MP,6,276,5,0.0444,0.0335,0.7096,0.2114,0.6212,,10
ME,6,276,5,0.0695,0.0516,0.6775,0.1357,0.4583,,10
ME2P,6,276,5,0.0494,0.0365,0.7114,0.2811,0.7819,,10
M0,7,561,257,0.4581,0.4581,0.5,0.2543,0.7023,,10
MP,7,561,257,0.8041,0.806,0.808,0.1855,0.5552,,10
ME,7,561,257,0.6223,0.621,0.6431,0.2474,0.688,,10
ME2P,7,561,257,0.8172,0.8168,0.819,0.1882,0.5589,,10
M0,8,320,157,0.4906,0.4906,0.5,0.2618,0.7175,,10
MP,8,320,157,0.8016,0.8021,0.7809,0.1951,0.5799,,10
ME,8,320,157,0.5465,0.5411,0.558,0.2671,0.7298,,10
ME2P,8,320,157,0.807,0.8064,0.7844,0.2006,0.5882,,10
M0,9,288,82,0.2847,0.2847,0.5,0.2153,0.6228,,10
MP,9,288,82,0.6131,0.6104,0.768,0.1793,0.5415,,10
ME,9,288,82,0.5341,0.5294,0.7276,0.2031,0.597,,10
ME2P,9,288,82,0.6399,0.635,0.7903,0.1681,0.5147,,10
M0,11,1193,375,0.3143,0.3143,0.5,0.2238,0.6402,,10
MP,11,1193,375,0.5591,0.5525,0.7222,0.2049,0.5968,,10
ME,11,1193,375,0.3503,0.3474,0.5161,0.2363,0.6655,,10
ME2P,11,1193,375,0.5709,0.5704,0.7157,0.2061,0.5988,,10
M0,12,303,228,0.7525,0.7525,0.5,0.334,0.8656,,10
MP,12,303,228,0.9126,0.9132,0.7763,0.3001,0.8481,,10
ME,12,303,228,0.7158,0.7123,0.417,0.4277,1.0954,,10
ME2P,12,303,228,0.9065,0.9062,0.7535,0.4077,1.1033,,10
M0,13,175,86,0.4914,0.4914,0.5,0.2614,0.7166,,10
MP,13,175,86,0.8329,0.8328,0.8602,0.1634,0.4938,,10
ME,13,175,86,0.6384,0.6351,0.6441,0.247,0.6871,,10
ME2P,13,175,86,0.8495,0.8479,0.8754,0.1824,0.5396,,10
M0,14,177,28,0.1582,0.1582,0.5,0.1889,0.5692,,10
MP,14,177,28,0.6672,0.6686,0.9165,0.1725,0.5165,,10
ME,14,177,28,0.2926,0.2861,0.6016,0.2048,0.6013,,10
ME2P,14,177,28,0.6649,0.6564,0.9058,0.1578,0.4918,,10
M0,15,627,384,0.6124,0.6124,0.5,0.3004,0.7971,,10
MP,15,627,384,0.8679,0.8695,0.8069,0.2422,0.6884,,10
ME,15,627,384,0.6693,0.6683,0.564,0.3138,0.8305,,10
ME2P,15,627,384,0.8603,0.86,0.7871,0.2794,0.7696,,10
M0,16,193,90,0.4663,0.4663,0.5,0.2555,0.7046,,10
MP,16,193,90,0.7787,0.7789,0.7725,0.1943,0.5819,,10
ME,16,193,90,0.6403,0.6353,0.6519,0.2412,0.6752,,10
ME2P,16,193,90,0.7997,0.7985,0.7945,0.1905,0.5646,,10
M0,17,287,141,0.4913,0.4913,0.5,0.2618,0.7175,,10
MP,17,287,141,0.9009,0.9038,0.9049,0.159,0.4876,,10
ME,17,287,141,0.6097,0.6075,0.6037,0.2495,0.6923,,10
ME2P,17,287,141,0.9078,0.9074,0.9041,0.1725,0.5229,,10
M0,18,432,230,0.5324,0.5324,0.5,0.2733,0.7412,,10
MP,18,432,230,0.8864,0.8882,0.8754,0.1786,0.5324,,10
ME,18,432,230,0.595,0.5929,0.5579,0.2621,0.7177,,10
ME2P,18,432,230,0.8831,0.8833,0.8714,0.2285,0.642,,10
M0,19,323,172,0.5325,0.5325,0.5,0.2725,0.7393,,10
MP,19,323,172,0.84,0.8427,0.8101,0.2042,0.5994,,10
ME,19,323,172,0.6813,0.6799,0.6236,0.2653,0.7249,,10
ME2P,19,323,172,0.8533,0.8528,0.8231,0.2186,0.6268,,10
M0,1,112,22,0.1964,0.1964,0.5,0.21,0.6127,,11
MP,1,112,22,0.7415,0.7404,0.8636,0.1985,0.5708,,11
ME,1,112,22,0.3793,0.3639,0.7146,0.2029,0.5973,,11
ME2P,1,112,22,0.7347,0.7304,0.8606,0.1897,0.5546,,11
M0,2,280,21,0.075,0.075,0.5,0.2016,0.5959,,11
MP,2,280,21,0.5524,0.5489,0.8956,0.199,0.5736,,11
ME,2,280,21,0.3525,0.3284,0.8303,0.1809,0.552,,11
ME2P,2,280,21,0.6162,0.6105,0.9176,0.1819,0.5384,,11
M0,3,146,39,0.2671,0.2671,0.5,0.2205,0.6338,,11
MP,3,146,39,0.6474,0.6543,0.8054,0.2226,0.6363,,11
ME,3,146,39,0.6276,0.6232,0.7803,0.2211,0.6343,,11
ME2P,3,146,39,0.6551,0.6457,0.8272,0.2238,0.6402,,11
M0,4,146,25,0.1712,0.1712,0.5,0.2073,0.6072,,11
MP,4,146,25,0.5466,0.5561,0.7856,0.2182,0.6194,,11
ME,4,146,25,0.2704,0.248,0.6255,0.1832,0.556,,11
ME2P,4,146,25,0.5388,0.5294,0.7878,0.1927,0.5618,,11
M0,5,228,8,0.0351,0.0351,0.5,0.1952,0.583,,11
MP,5,228,8,0.3858,0.3506,0.8134,0.2351,0.6587,,11
ME,5,228,8,0.1465,0.124,0.817,0.1642,0.5179,,11
ME2P,5,228,8,0.3859,0.3594,0.8227,0.2054,0.5896,,11
M0,6,276,5,0.0181,0.0181,0.5,0.1969,0.5865,,11
MP,6,276,5,0.0551,0.0398,0.7262,0.2443,0.7015,,11
ME,6,276,5,0.0695,0.0516,0.6775,0.1432,0.4735,,11
ME2P,6,276,5,0.07,0.0492,0.7306,0.2788,0.7843,,11
M0,7,561,257,0.4581,0.4581,0.5,0.25,0.6932,,11
MP,7,561,257,0.7979,0.7993,0.8133,0.177,0.5348,,11
ME,7,561,257,0.6223,0.621,0.6431,0.2395,0.672,,11
ME2P,7,561,257,0.8157,0.8153,0.8275,0.1745,0.5271,,11
M0,8,320,157,0.4906,0.4906,0.5,0.2555,0.7043,,11
MP,8,320,157,0.8096,0.81,0.7857,0.1899,0.5682,,11
