ConnGroup,mu_target,sd_target,imp_target,mu_mod,sd_mod,imp_mod,mu_mp,sd_mp
1,4.88992473045829,1.33111847302741,4.98408731972689,3.03665563529751,0.85771688484911,2.96353090626906,0.41269163720818,0.0438681725696916
2,4.91604071315492,1.32489672103156,4.98408731972689,3.03447173847897,0.856317049792538,2.96353090626906,0.428535248427373,0.0435673436757183
3,4.79788805681369,1.30904723062172,4.9368422285552,3.05988870127872,0.877342091017053,3.0205013850306,0.410334981475646,0.0416243939975415
4,4.94328426908765,1.30224557853179,4.98408731972689,3.05782362258231,0.862879851377393,3.07747186379213,0.414439884183448,0.0460101278066375
5,4.9354330692866,1.3105036762186,4.98408731972689,3.06679409312457,0.860502801621042,3.07747186379213,0.425130972534834,0.0441702558784401
6,4.98054586601985,1.2428053789054,4.98408731972689,3.11772409541684,0.792780466599058,3.07747186379213,0.423052154754341,0.0390676007969924
7,4.91386706471513,1.35442345909059,5.3055253259099,3.05972491148523,0.872172467485786,3.0205013850306,0.408235392346414,0.0370789226287393
8,4.98132591386698,1.31187243124223,5.3055253259099,3.08280595072615,0.873415878427788,3.08974212351101,0.399258506117803,0.0404408158263176
9,4.89977349110163,1.3305273351008,4.98408731972689,3.0536035871185,0.863058666644516,2.96353090626906,0.417636919379009,0.0385529785380561
10,4.7992482606932,1.21607824302551,4.9368422285552,3.15950311716273,0.860895962777531,3.10536014609832,0.394043449341179,0.0275592189109902
11,4.78140869098002,1.34075117206465,4.92279669084243,2.9824026426044,0.796026114882887,2.96353090626906,0.434580657748049,0.052079307162847
12,4.97868879819044,1.24660197570564,4.98408731972689,3.11821348756581,0.791639622955407,3.07747186379213,0.384924471787959,0.0487498123012663
13,4.84522160785186,1.30694676737478,4.95088776626796,3.00305691750661,0.817357932138906,2.96353090626906,0.404572993092029,0.0407758154045763
14,4.85472687731023,1.31582548916306,4.95088776626796,3.02189102253805,0.845018291080519,2.96353090626906,0.417674901231593,0.0457957106654037
15,4.97022275254405,1.28681891464424,5.28892554918044,3.04752416422921,0.856246275070857,3.0205013850306,0.380962933757459,0.0480847523155069
16,4.8528606435894,1.31424471757549,4.95088776626796,3.05269467899117,0.863018646554912,2.96353090626906,0.409767649299818,0.0434112603983785
17,4.84879419679937,1.31052607342667,4.95088776626796,3.04388060834663,0.86118490684948,2.96353090626906,0.404545224910904,0.0407233741865588
18,4.8547155882676,1.3158161639921,4.95088776626796,3.0009326522149,0.813383815911951,2.96353090626906,0.400964010651785,0.0359573273573999
19,4.89096514065924,1.33115613168259,4.98408731972689,3.04259708637849,0.860698654638427,2.96353090626906,0.409349134848836,0.0382611694995481
