ConnGroup,fallback_rate_test,n_train_prot,n_test_prot
1,0,364,112
2,0.00357142857142857,363,280
3,0,364,77
4,0,364,146
5,0,364,228
6,0.0072463768115942,362,276
7,0,364,281
8,0,364,191
9,0,364,288
10,0.00147710487444609,363,238
11,0.00167644593461861,362,337
12,0,364,303
13,0,364,175
14,0,364,177
15,0.00318979266347687,363,322
16,0,364,193
17,0,364,287
18,0,364,216
19,0.00619195046439629,362,323
