BaseAccession,EnsemblGeneID,PathwayLabel,Annotation
P53041,ENSG00000011485,NHEJ,NHEJ
P53350,ENSG00000166851,HR,HR
P54132,ENSG00000197299,HR,HR
P54252,ENSG00000066427,NHEJ,NHEJ
P54277,ENSG00000064933,MMR,MMR
P54278,ENSG00000122512,HR,HR
P54725,ENSG00000179262,BER,BER
P54727,ENSG00000119318,BER,BER
P55072,ENSG00000165280,HR,HR
P55211,ENSG00000132906,unassigned,unassigned
P60002,ENSG00000130165,NER,NER
P60900,ENSG00000100902,unassigned,unassigned
P61088,ENSG00000177889,unassigned,unassigned
P61254,ENSG00000161970,unassigned,unassigned
P62136,ENSG00000172531,NHEJ,NHEJ
P62877,ENSG00000100387,HR,HR
P63165,ENSG00000116030,HR,HR
P68400,ENSG00000101266,HR,HR
P78527,ENSG00000253729,NHEJ,NHEJ
P83916,ENSG00000108468,unassigned,unassigned
Q00526,ENSG00000250506,unassigned,unassigned
Q00534,ENSG00000105810,unassigned,unassigned
Q01804,ENSG00000164164,unassigned,unassigned
Q01831,ENSG00000154767,NER,NER
Q03468,ENSG00000225830,HR,HR
Q05BQ5,ENSG00000011258,HR,HR
Q06787,ENSG00000102081,HR,HR
Q07812,ENSG00000087088,unassigned,unassigned
Q07864,ENSG00000177084,BER,BER
Q09472,ENSG00000100393,HR,HR
Q12888,ENSG00000067369,HR,HR
Q13153,ENSG00000149269,HR,HR
Q13185,ENSG00000122565,unassigned,unassigned
Q13263,ENSG00000130726,unassigned,unassigned
Q13315,ENSG00000149311,HR,HR
Q13330,ENSG00000182979,HR,HR
Q13426,ENSG00000152422,NHEJ,NHEJ
Q13469,ENSG00000101096,unassigned,unassigned
Q13535,ENSG00000175054,HR,HR
Q13569,ENSG00000139372,BER,BER
Q13573,ENSG00000100603,unassigned,unassigned
Q13619,ENSG00000139842,unassigned,unassigned
Q13620,ENSG00000158290,NER,NER
Q13889,ENSG00000111358,NER,NER
Q14191,ENSG00000165392,HR,HR
Q14527,ENSG00000071794,HR,HR
Q14566,ENSG00000076003,unassigned,unassigned
Q14669,ENSG00000153827,BER,BER
Q14683,ENSG00000072501,HR,HR
Q14686,ENSG00000198646,unassigned,unassigned
Q14694,ENSG00000103194,HR,HR
Q14807,ENSG00000079616,unassigned,unassigned
Q14839,ENSG00000111642,HR,HR
Q14997,ENSG00000068878,unassigned,unassigned
Q15054,ENSG00000077514,HR,HR
Q15291,ENSG00000117222,unassigned,unassigned
Q15431,ENSG00000198765,HR,HR
Q15554,ENSG00000132604,HR,HR
Q15628,ENSG00000102871,unassigned,unassigned
Q15819,ENSG00000169139,unassigned,unassigned
Q16531,ENSG00000167986,NER,NER
Q16666,ENSG00000163565,HR,HR
Q2YD98,ENSG00000163945,NER,NER
Q53H47,ENSG00000170364,NHEJ,NHEJ
Q5T890,ENSG00000182150,FA,FA
Q5TBB1,ENSG00000136104,HR,HR
Q5UIP0,ENSG00000080345,HR,HR
Q6IN85,ENSG00000100796,unassigned,unassigned
Q6IQ49,ENSG00000143751,unassigned,unassigned
Q6KC79,ENSG00000164190,unassigned,unassigned
Q6NS38,ENSG00000189046,unassigned,unassigned
Q6PIW4,ENSG00000132436,HR,HR
Q6PJP8,ENSG00000198924,unassigned,unassigned
Q6SJ93,ENSG00000189057,unassigned,unassigned
Q6UWZ7,ENSG00000163322,HR,HR
Q6ZNA4,ENSG00000157450,NER,NER
Q6ZW49,ENSG00000157212,HR,HR
Q70EL2,ENSG00000123552,NER,NER
Q7L590,ENSG00000065328,HR,HR
Q7Z2E3,ENSG00000137074,BER,BER
Q7Z2Z1,ENSG00000140534,unassigned,unassigned
Q7Z333,ENSG00000107290,HR,HR
Q7Z3K3,ENSG00000143442,HR,HR
Q7Z6E9,ENSG00000122257,unassigned,unassigned
Q7Z6Z7,ENSG00000086758,HR,HR
Q7Z7L1,ENSG00000172716,unassigned,unassigned
Q86U44,ENSG00000165819,HR,HR
Q86W56,ENSG00000227345,AEJ,AEJ
Q86WJ1,ENSG00000131778,BER,BER
Q86XK3,ENSG00000156384,HR,HR
Q86Y07,ENSG00000028116,unassigned,unassigned
Q86Y97,ENSG00000133247,NHEJ,NHEJ
Q86YC2,ENSG00000083093,HR,HR
Q8IV63,ENSG00000105053,unassigned,unassigned
Q8IX21,ENSG00000119906,HR,HR
Q8IY18,ENSG00000198887,HR,HR
