Lambda,TrainingR2,TrainingMAE
100,0.0115636010810775,8.75264026507644
10,0.0986867943468476,8.36006691083144
1,0.464138117395969,6.31624892973306
0.1,0.909436591053596,2.47673605190955
0.01,0.997660683545364,0.385474989877592
0.001,0.999973133943177,0.0409982870350183
1e-04,0.99999972738601,0.00412636605616945
1e-05,0.999999997269852,0.000412904197052295
1e-06,0.999999999972695,4.12930978551821e-05
