Model,MaterialMAE_pp,MaterialRMSE_pp,ConnectedGroupMeanMAE_pp
BalancedMedianBaseline,8.63568412150872,10.1371724753598,8.74431890020686
All16_ridge,8.7297464025572,10.6400726712384,9.27111610000014
Core4_huber,8.77635636167617,11.0484129905836,9.58431780655466
MedianBaseline,8.81826881007582,10.3978300121702,8.92648144336761
GO6_knn,9.05125595998891,11.1467151821447,10.0194806311478
Mechanism10_ridge,9.11658897796684,10.6180442427559,9.88264770981659
Core4_ridge,9.53277481166993,11.5880290366791,9.77937540941452
GO6_huber,9.58686685816574,11.533268057413,10.1821356595724
SelectedWithFallback,9.88942854455337,12.0739254387808,10.3939868293079
RNA128_knn,9.95280111898364,11.7529244891144,10.7638240796096
GO6_ridge,9.99345988597868,12.4251472462218,10.2935842572005
