Model,Lambda,InnerMeanGroupMAE,OuterConnGroup
GO_metabolism_128,0.3,12.0728760120578,7
GO_metabolism_128,0.1,13.8173834076311,7
LDHA_LDHB,30,9.22011661151191,8
LDHA_LDHB,100,9.24501701391989,8
LDHA_LDHB,10,9.26141201128833,8
L_conversion_4,30,9.2850325019076,8
LDHA_LDHB,3,9.28869240535077,8
L_conversion_4,100,9.33256531140969,8
LDHA_LDHB,1,9.40759697658521,8
GO_metabolism_128,100,9.41276879314563,8
GO_metabolism_128,30,9.48869411762796,8
LDHA_LDHB,0.3,9.50373112848237,8
LDHA_LDHB,0.1,9.53401329401565,8
L_conversion_4,10,9.55710621154828,8
GO_metabolism_128,10,9.66181239144123,8
GO_metabolism_128,3,10.1434859586237,8
L_conversion_4,3,10.222746715382,8
L_conversion_4,1,10.9372748644198,8
GO_metabolism_128,1,11.4424119730128,8
L_conversion_4,0.3,11.517135754426,8
L_conversion_4,0.1,11.7624848054573,8
GO_metabolism_128,0.3,13.9822255381349,8
GO_metabolism_128,0.1,16.2083900237556,8
L_conversion_4,30,9.31387519978999,9
L_conversion_4,100,9.39180151891852,9
LDHA_LDHB,30,9.4092409331202,9
LDHA_LDHB,100,9.42907351066288,9
GO_metabolism_128,100,9.46703055782397,9
GO_metabolism_128,30,9.52780262809032,9
L_conversion_4,10,9.62991518831729,9
GO_metabolism_128,10,9.64576835160455,9
LDHA_LDHB,10,9.65352217895127,9
GO_metabolism_128,3,9.89571725182549,9
LDHA_LDHB,3,10.0000909744587,9
LDHA_LDHB,1,10.2005216601898,9
LDHA_LDHB,0.3,10.2968331932169,9
LDHA_LDHB,0.1,10.3512812847836,9
L_conversion_4,3,10.4375869838427,9
GO_metabolism_128,1,10.6539383541174,9
L_conversion_4,1,11.3797005152768,9
L_conversion_4,0.3,12.098331762982,9
L_conversion_4,0.1,12.392957571358,9
GO_metabolism_128,0.3,12.6180408873404,9
GO_metabolism_128,0.1,14.5918674616128,9
LDHA_LDHB,100,8.74479423327453,10
LDHA_LDHB,30,8.74814664379953,10
L_conversion_4,30,8.75018897539758,10
L_conversion_4,100,8.75851197816401,10
GO_metabolism_128,100,8.79207474839523,10
GO_metabolism_128,30,8.87182996948455,10
L_conversion_4,10,8.99413520964559,10
LDHA_LDHB,10,9.02306865007143,10
GO_metabolism_128,10,9.20125195122845,10
