Model,MaterialMAE_pp,MaterialRMSE_pp,ConnectedGroupMeanMAE_pp,Original31GroupMAE_pp,MaterialMeanBias_pp
Baseline,9.14807456584762,10.3369518897964,9.15932968707688,9.31454397428531,-0.16306924674723
MedianBaseline,8.81826881007581,10.3978300121702,8.92648144336759,9.01481839141183,2.14466817355678
LDHA_LDHB,9.3992841905695,10.3688523244129,9.75462124000814,9.57194584858734,-0.0734659216064512
L_conversion_4,9.41621698193884,10.5505757308229,9.6677948311797,9.79438360288221,-0.481425060431667
GO_metabolism_128,9.06244094130024,10.2114359884124,9.12028904281491,9.23491223502705,-0.309085677088026
SelectedRNA,9.64438344241306,10.5692323521374,10.1351903482678,10.0004694381492,-0.332063141210794
