ConnGroup,Materials,BaselineMAE_pp,MedianBaselineMAE_pp,SelectedRNAMAE_pp,SelectedMinusBaseline_pp,SelectedMinusMedian_pp
1,1,7.28006462176001,9.07589541840833,7.41400931344985,0.133944691689841,-1.66188610495847
2,2,17.8482179560677,20.1159840032355,16.2306491018457,-1.617568854222,-3.88533490138989
3,2,2.63230873744847,4.04371740932818,2.67945518096056,0.0471464435120907,-1.36426222836762
4,1,6.47658275122796,8.30110932896671,5.74527719178411,-0.73130555944385,-2.55583213718259
5,1,17.6647076466269,19.0896583352442,17.8445268957088,0.179819249081959,-1.2451314395354
6,2,6.12205995838636,3.90398904320556,6.49997138108802,0.377911422701658,2.59598233788245
7,2,13.0541477853797,10.3409277396994,11.8813387332646,-1.17280905211504,1.54041099356528
8,1,5.88123705909114,7.72702598297763,6.93561452087579,1.05437746178465,-0.791411462101834
9,9,8.98853422014893,8.72354785623097,8.70291156636736,-0.285622653781568,-0.0206362898636101
10,1,14.9598345738059,12.5205156267653,14.225034600273,-0.73479997353288,1.70451897350769
11,1,15.8072477181106,17.2985362613178,15.9076332910782,0.100385572967642,-1.39090297023958
12,2,7.19113433910643,4.82130398629237,11.1001742354503,3.90903989634387,6.27887024915792
13,1,1.7178753878981,0.399310409095143,6.84163618596223,5.12376079806413,6.44232577686709
14,1,6.55027242006706,4.41129497851716,13.9173132560167,7.36704083594962,9.50601827749952
15,1,5.21572013102812,3.12440527122961,6.10230976989224,0.886589638864123,2.97790449866263
