Model,Evaluation,Weighting,N,Materials,MAE,RMSE,R2,Within2,Within5
RF_mtry64,Training fit,Record,1898,28,0.676911254019947,1.10069735395601,0.99004227193078,94.4151738672276,99.2096944151728
RF_mtry64,Source held out,Record,1898,28,12.0862091366575,12.9617244805036,-0.380861078645989,0.316122233930453,2.47629083245522
RF_mtry135,Training fit,Record,1898,28,0.623557091720607,1.03453819778185,0.991203346643314,94.9420442571117,99.5258166491032
RF_mtry135,Source held out,Record,1898,28,12.1834067535597,13.0166539009511,-0.392589551642002,0.316122233930453,2.00210748155954
RF_mtry64,Within-material test,Record,374,19,1.20525800584991,1.80324868084992,0.974954494633831,84.7593582887703,97.3262032085565
RF_mtry135,Within-material test,Record,374,19,1.08748923115011,1.65708750872593,0.978850045368769,86.0962566844923,98.1283422459896
RF_mtry64,Training fit,Material,1898,28,0.124662655185288,0.443239278988321,0.998001357150571,99.183116681982,99.8805982351384
RF_mtry64,Source held out,Material,1898,28,9.56266693826308,10.8123433296521,-0.189319035165727,7.14285714285754,17.3551270026182
RF_mtry135,Training fit,Material,1898,28,0.115445434551842,0.419180171317304,0.998212441859062,99.2548222959623,99.9228426266031
RF_mtry135,Source held out,Material,1898,28,9.54813733861215,10.839806710178,-0.195368455153845,7.14285714285754,16.3511520249324
RF_mtry64,Within-material test,Material,374,19,1.71603748908316,2.226453688362,0.948177105310561,68.3292728101633,94.9947157049253
RF_mtry135,Within-material test,Material,374,19,1.59306844740617,2.0775593199696,0.954876663800021,69.1906761596049,96.8759247516384
