Model,Tuning,InnerMeanGroupMAE,OuterConnGroup
All16_ridge,0.3,11.9188467045538,3
All16_ridge,0.1,12.0124496504971,3
RNA128_knn,7,12.1804555647599,3
GO6_ridge,0.1,13.3929726743186,3
RNA128_knn,3,15.0270485442341,3
Mechanism10_ridge,30,8.72956830885275,4
All16_ridge,10,8.74147091239223,4
Core4_huber,0.01,8.83095853023371,4
BalancedMedianBaseline,0,8.85137370859156,4
All16_ridge,30,8.95395654232341,4
Mechanism10_ridge,10,8.97815737864751,4
GO6_huber,0.01,9.02761678264916,4
GO6_knn,7,9.11176250168146,4
Mechanism10_ridge,100,9.11870439685235,4
All16_ridge,100,9.20730649452139,4
GO6_ridge,3,9.25572613729674,4
Core4_huber,0.03,9.27042377056416,4
Core4_ridge,3,9.32403802633484,4
GO6_huber,1,9.3550817375603,4
GO6_huber,0.03,9.35559288604479,4
Core4_ridge,100,9.35574569501457,4
Core4_huber,1,9.35733072966596,4
GO6_ridge,100,9.36263070323425,4
Core4_ridge,10,9.37274603492156,4
GO6_ridge,10,9.37321057087233,4
Core4_ridge,30,9.38203548655866,4
Core4_huber,0.3,9.38374272279372,4
GO6_huber,0.3,9.38391545037562,4
GO6_ridge,30,9.3936755303517,4
Core4_huber,0.1,9.42106663486553,4
GO6_huber,0.1,9.43052650871141,4
GO6_ridge,1,9.6727511589896,4
MedianBaseline,0,9.68194305753148,4
Core4_ridge,1,9.73591763275015,4
All16_ridge,3,10.050767126528,4
GO6_knn,5,10.1139452776411,4
Mechanism10_ridge,3,10.2631588680576,4
Core4_ridge,0.3,10.319838351626,4
Core4_ridge,0.1,10.9326936815737,4
Mechanism10_ridge,1,11.3697349609415,4
RNA128_knn,7,11.482050251147,4
GO6_ridge,0.3,11.5681529548216,4
All16_ridge,1,11.6885330407879,4
GO6_knn,3,11.7020016530641,4
Mechanism10_ridge,0.3,11.9758044428205,4
Mechanism10_ridge,0.1,11.9992098117231,4
RNA128_knn,5,12.2165763352851,4
All16_ridge,0.3,13.6384811657069,4
GO6_ridge,0.1,13.7201446708768,4
RNA128_knn,3,13.852080715009,4
All16_ridge,0.1,15.2649688802005,4
GO6_huber,0.01,7.39172649785036,5
All16_ridge,10,7.73674503210775,5
GO6_ridge,3,7.75541614519786,5
Mechanism10_ridge,10,7.7993833825285,5
Core4_huber,0.01,7.82145980159603,5
GO6_ridge,1,7.85357559944104,5
GO6_knn,7,7.93862859157819,5
BalancedMedianBaseline,0,8.08076306528602,5
Mechanism10_ridge,30,8.09631062629564,5
GO6_huber,0.03,8.13384031477625,5
All16_ridge,30,8.19548846365556,5
Core4_ridge,3,8.19957308919053,5
GO6_ridge,10,8.21042267145591,5
Core4_ridge,10,8.32716238729408,5
Mechanism10_ridge,100,8.34092456659666,5
Core4_huber,0.03,8.37776427270878,5
All16_ridge,100,8.38118641313953,5
Core4_ridge,1,8.38256207310469,5
GO6_ridge,30,8.40087894590866,5
Core4_ridge,30,8.42826610417711,5
GO6_ridge,100,8.45281290986979,5
Core4_ridge,100,8.45740325639575,5
All16_ridge,3,8.48178442677738,5
GO6_huber,0.1,8.51549496882497,5
GO6_huber,0.3,8.56313577077078,5
GO6_huber,1,8.57029460057113,5
Core4_huber,1,8.5814134645374,5
Core4_ridge,0.3,8.58956932805782,5
Core4_huber,0.3,8.60067265097892,5
Core4_huber,0.1,8.6144717690856,5
Mechanism10_ridge,3,8.64835010674865,5
GO6_knn,5,8.79207553894619,5
Core4_ridge,0.1,8.83540713938709,5
MedianBaseline,0,8.91133241422594,5
GO6_knn,3,9.0030162678167,5
Mechanism10_ridge,1,9.1331733966496,5
GO6_ridge,0.3,9.15766765606498,5
Mechanism10_ridge,0.1,9.20653599937536,5
Mechanism10_ridge,0.3,9.32953762326122,5
All16_ridge,1,9.34702290418383,5
RNA128_knn,7,9.84067345279581,5
All16_ridge,0.3,10.1289500719087,5
RNA128_knn,5,10.2749257208824,5
All16_ridge,0.1,10.6307075232619,5
