Model,Tuning,InnerMeanGroupMAE,OuterConnGroup
GO6_knn,3,11.8218319856298,3
All16_ridge,0.3,12.1291248673962,3
All16_ridge,0.1,12.6837966692181,3
GO6_ridge,0.1,12.9115721398192,3
RNA128_knn,3,12.9588432787987,3
All16_ridge,10,8.55390005861027,4
Mechanism10_ridge,10,8.58763712037372,4
Mechanism10_ridge,30,8.79983870113993,4
BalancedMedianBaseline,0,8.85137370859156,4
GO6_huber,0.01,8.87655610431606,4
Core4_huber,0.01,8.91690333481648,4
GO6_knn,7,8.96996957738065,4
All16_ridge,30,8.99975801113996,4
Mechanism10_ridge,100,9.14259930601566,4
Core4_huber,0.03,9.21370016068731,4
All16_ridge,100,9.2221533622887,4
GO6_ridge,3,9.24656181158777,4
Core4_ridge,10,9.33253405457671,4
Core4_ridge,100,9.35110215901888,4
GO6_huber,0.03,9.35444737411876,4
GO6_huber,1,9.35603379777172,4
Core4_huber,1,9.35641739891382,4
GO6_ridge,100,9.36139117746371,4
Core4_ridge,30,9.36689010770046,4
GO6_ridge,10,9.36842866654156,4
Core4_huber,0.3,9.38045125166804,4
GO6_huber,0.3,9.38730628386245,4
GO6_ridge,30,9.39096656361668,4
Core4_huber,0.1,9.40910836758708,4
GO6_huber,0.1,9.44034083059253,4
Core4_ridge,3,9.45534704204012,4
All16_ridge,3,9.55048655294953,4
Mechanism10_ridge,3,9.5643880445787,4
GO6_ridge,1,9.60493032091648,4
MedianBaseline,0,9.68194305753148,4
Mechanism10_ridge,0.1,9.91564836188402,4
Core4_ridge,1,9.93430273011664,4
Mechanism10_ridge,1,10.2428514816324,4
Mechanism10_ridge,0.3,10.3364446929648,4
Core4_ridge,0.3,10.5457326457723,4
GO6_knn,5,10.748220010399,4
All16_ridge,1,10.8308409871611,4
Core4_ridge,0.1,11.142871979179,4
GO6_ridge,0.3,11.1648180940971,4
RNA128_knn,7,11.2270142428997,4
GO6_knn,3,11.5485816297789,4
RNA128_knn,5,11.7257933451939,4
All16_ridge,0.3,12.192107763241,4
GO6_ridge,0.1,12.9438880933266,4
All16_ridge,0.1,13.4452321073009,4
RNA128_knn,3,14.1998921500181,4
GO6_huber,0.01,7.17214097218789,5
Mechanism10_ridge,10,7.63826318510796,5
All16_ridge,10,7.77398089131783,5
GO6_ridge,3,7.80987211398475,5
Mechanism10_ridge,0.1,7.84352584923206,5
Core4_huber,0.01,7.85405355337671,5
GO6_knn,7,7.90520275562672,5
GO6_ridge,1,7.95950970811513,5
GO6_huber,0.03,8.07953670622421,5
BalancedMedianBaseline,0,8.08076306528602,5
All16_ridge,3,8.08107688070381,5
Mechanism10_ridge,0.3,8.10033563399361,5
Mechanism10_ridge,3,8.10950260609357,5
Mechanism10_ridge,30,8.11437867734935,5
GO6_ridge,10,8.19402978892494,5
Core4_huber,0.03,8.20362731923183,5
All16_ridge,30,8.20704826136457,5
Core4_ridge,10,8.26540080981142,5
Core4_ridge,3,8.31098455676652,5
Mechanism10_ridge,1,8.33305661377377,5
Mechanism10_ridge,100,8.34624306429497,5
All16_ridge,100,8.38440300576455,5
GO6_ridge,30,8.39639262554758,5
Core4_ridge,30,8.40955455298824,5
GO6_ridge,100,8.45177813601726,5
Core4_ridge,100,8.45239255291678,5
GO6_huber,0.1,8.50490561821835,5
Core4_ridge,1,8.53964843263568,5
GO6_huber,0.3,8.55936026370415,5
GO6_huber,1,8.56609841838112,5
Core4_huber,0.1,8.57004048259902,5
Core4_huber,1,8.57723020541487,5
Core4_huber,0.3,8.58665283435158,5
All16_ridge,0.1,8.68281154527973,5
All16_ridge,1,8.70450993428444,5
Core4_ridge,0.3,8.75110043524412,5
All16_ridge,0.3,8.84893347825921,5
MedianBaseline,0,8.91133241422594,5
Core4_ridge,0.1,9.00360874334432,5
GO6_ridge,0.3,9.04601079864542,5
GO6_knn,3,9.11318071210542,5
RNA128_knn,7,9.32626617019717,5
GO6_knn,5,9.46074045354748,5
RNA128_knn,5,9.91572521373767,5
GO6_ridge,0.1,10.1103113059521,5
RNA128_knn,3,13.030060437691,5
