release,release_date,filename,url,md5_hash
DepMap Public 26Q1,2026-04-01,OmicsSomaticMutationsMatrixHotspot.csv,,5a402d51d95f625ae79bcd5bb71bcf77
DepMap Public 26Q1,2026-04-01,OmicsSomaticMutationsMatrixDamaging.csv,,e3a8019fd4c52d7e4e9ca51fccdf3c31
DepMap Public 26Q1,2026-04-01,OmicsProfiles.csv,,5943032f3359af5894c30523ca32f2a8
DepMap Public 26Q1,2026-04-01,OmicsGuideMutationsBinaryKY.csv,,d042e6a80e5d55b99c9c25d3afd287f0
DepMap Public 26Q1,2026-04-01,OmicsGuideMutationsBinaryHumagne.csv,,7854c845fa8bb3de6424e5d94791e0ea
DepMap Public 26Q1,2026-04-01,OmicsGuideMutationsBinaryAvana.csv,,b43dcecd787db16a698d12cced550399
DepMap Public 26Q1,2026-04-01,OmicsGlobalSignatures.csv,,70795931333b44e188773c9097fb5c0d
DepMap Public 26Q1,2026-04-01,Model.csv,,a15d75dffcc5219111ca39598948df9a
DepMap Public 26Q1,2026-04-01,ModelCondition.csv,,ed90c04828d7beb0adc6b2e3067c2185
DepMap Public 26Q1,2026-04-01,OmicsMicrosatelliteRepeats.csv,,03eec2ab2e67a7555647d13d35cf76fc
DepMap Public 26Q1,2026-04-01,Gene.csv,,f7522367476002c85c1bdc7c092bd98a
DepMap Public 26Q1,2026-04-01,PortalCompounds.csv,,09e6566efdcb944265748c40e7425617
DepMap Public 26Q1,2026-04-01,OmicsCNGeneWGS.csv,,96a13bf6531b7140ce4b8188d7d73bc6
DepMap Public 26Q1,2026-04-01,OmicsCNGeneMC_WES.csv,,ce3a35883326194c3d955d1dca34d06e
DepMap Public 26Q1,2026-04-01,OmicsExpressionEffectiveLengthHumanAllGenes.csv,,a0985a043ed8b54625e2f072b21ba809
DepMap Public 26Q1,2026-04-01,OmicsExpressionEffectiveLengthHumanAllGenesStranded.csv,,7e4e0bde5ab1b5c9e90e52710284219f
DepMap Public 26Q1,2026-04-01,OmicsExpressionEffectiveLengthHumanProteinCodingGenes.csv,,b2ad0c56ddf933718808e3864ff358fe
DepMap Public 26Q1,2026-04-01,OmicsExpressionEffectiveLengthHumanProteinCodingGenesStranded.csv,,7e8e3f39c5c450ccaa9f778779a73fdb
DepMap Public 26Q1,2026-04-01,OmicsExpressionExpectedCountHumanAllGenes.csv,,a5396d1913abae99e89ea08234357278
DepMap Public 26Q1,2026-04-01,OmicsExpressionExpectedCountHumanAllGenesStranded.csv,,5297cc8f89ad0851d25c7a9b38068263
DepMap Public 26Q1,2026-04-01,OmicsExpressionExpectedCountHumanProteinCodingGenes.csv,,40bcad07ab8b993c932ee37a5839ed31
DepMap Public 26Q1,2026-04-01,OmicsExpressionExpectedCountHumanProteinCodingGenesStranded.csv,,5a0199f0fd53bb28f2fe9ff9b537221b
DepMap Public 26Q1,2026-04-01,OmicsExpressionRawReadCountHumanAllGenes.csv,,08427ab68f2943e9aa03fbfae3e38d86
DepMap Public 26Q1,2026-04-01,OmicsExpressionRawReadCountHumanAllGenesStranded.csv,,08427ab68f2943e9aa03fbfae3e38d86
DepMap Public 26Q1,2026-04-01,OmicsExpressionRawReadCountHumanProteinCodingGenes.csv,,9b67e6990d1a8c47a68cfd38b2002ab9
DepMap Public 26Q1,2026-04-01,OmicsExpressionRawReadCountHumanProteinCodingGenesStranded.csv,,9b67e6990d1a8c47a68cfd38b2002ab9
DepMap Public 26Q1,2026-04-01,OmicsExpressionTPMLogp1HumanAllGenes.csv,,ad6bf5a8651d93b6882e0a20a503b37e
DepMap Public 26Q1,2026-04-01,OmicsExpressionTPMLogp1HumanAllGenesStranded.csv,,dc25ade6ffa04a0ed013e22b94847ffd
DepMap Public 26Q1,2026-04-01,OmicsExpressionTPMLogp1HumanProteinCodingGenes.csv,,559245dfb8dc496a8e30bba4c97d9b25
DepMap Public 26Q1,2026-04-01,OmicsExpressionTPMLogp1HumanProteinCodingGenesStranded.csv,,08ad8fcfb9602b46aa338145d27c2dd1
DepMap Public 26Q1,2026-04-01,OmicsExpressionTranscriptEffectiveLengthHumanAllGenes.csv,,79833fd9e12733697e3b45e7f77eaa0e
DepMap Public 26Q1,2026-04-01,OmicsExpressionTranscriptEffectiveLengthHumanAllGenesStranded.csv,,ad59ad1bace606aaa3ee6ee42c8e91e8
DepMap Public 26Q1,2026-04-01,OmicsExpressionTranscriptExpectedCountHumanAllGenes.csv,,0c2746ace503f904c15529fc3108d2a2
DepMap Public 26Q1,2026-04-01,OmicsExpressionTranscriptExpectedCountHumanAllGenesStranded.csv,,eb88a34f4c0bb4f0c4eca5d1743e98ca
DepMap Public 26Q1,2026-04-01,OmicsExpressionTranscriptTPMLogp1HumanAllGenes.csv,,57a385576d7e79e1ac97605f0e773684
DepMap Public 26Q1,2026-04-01,OmicsExpressionTranscriptTPMLogp1HumanAllGenesStranded.csv,,da4b4c34a5e25fc19e2413872c32c917
DepMap Public 26Q1,2026-04-01,OmicsFusionFiltered.csv,,f00a75ba9404aa3546fad51064c43f77
DepMap Public 26Q1,2026-04-01,OmicsFusionFilteredSupplementary.csv,,f4fbecd5990e4f204d99eac1ad6420ab
DepMap Public 26Q1,2026-04-01,OmicsInferredMolecularSubtypes.csv,,9acb7b0974fc5b2007b04e4351a1fd73
DepMap Public 26Q1,2026-04-01,BrunelloGuideMap.csv,,054f875a2076a3b2090630162582ccdb
DepMap Public 26Q1,2026-04-01,BrunelloLogfoldChange.csv,,b6d4de4e37b8d29f39bc8cf67f334f68
DepMap Public 26Q1,2026-04-01,BrunelloRawReadcounts.csv,,911594ecaa6d4c65f3271c8caba60fa8
DepMap Public 26Q1,2026-04-01,OmicsGuideMutationsBinaryBrunello.csv,,b4916da4dc273ebf0ce30da630f8aa89
DepMap Public 26Q1,2026-04-01,OmicsGuideMutationsBinaryTKOv3.csv,,7a1e5d9e490d60efcc2dbac838afba5d
DepMap Public 26Q1,2026-04-01,TKOv3GuideMap.csv,,049ce98f2813875b95980727946124bb
DepMap Public 26Q1,2026-04-01,TKOv3LogfoldChange.csv,,e57a4587d844d880aa8c9e0a5af9cefe
DepMap Public 26Q1,2026-04-01,TKOv3RawReadcounts.csv,,0319797f01bb8982d49d2bd06474424b
DepMap Public 26Q1,2026-04-01,CRISPRConfounders.csv,,8990a4c12ebb254f5237f020d8ff2e08
DepMap Public 25Q3,2025-09-25,ScreenSequenceMap.csv,,89d80c3c894672e80bdb8eb165c298dd
DepMap Public 25Q3,2025-09-25,README.txt,,cb60b69f708e3afe7bf82f32c0183417
DepMap Public 25Q3,2025-09-25,SubtypeMatrix.csv,,f8559717a257ed3d69559e133ccb0397
DepMap Public 25Q3,2025-09-25,SubtypeTree.csv,,f0cf2ed6630fc0f4ad27a1a83c6332a4
DepMap Public 25Q3,2025-09-25,ScreenGeneEffect.csv,,2a8d9149bc2623cb0dd53361f2d7c5bc
