Path,Part,Field
data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv,table header,[5] XB08700B1DA_NAT5_Slot2-24_1_15629.htrms.PG.Quantity
data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv,table header,[6] XB08700B1DA_PCa1_Slot2-25_1_15631.htrms.PG.Quantity
data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv,table header,[7] XB08700B1DA_PCa2_Slot2-26_1_15633.htrms.PG.Quantity
data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv,table header,[8] XB08700B1DA_PCa3_Slot2-27_1_15635.htrms.PG.Quantity
data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv,table header,[9] XB08700B1DA_PCa4_Slot2-28_1_15637.htrms.PG.Quantity
data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv,table header,[10] XB08700B1DA_PCa5_Slot2-29_1_15639.htrms.PG.Quantity
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,N
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,Unused
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,Total
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,%Cov
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,%Cov(50)
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,%Cov(95)
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,Accession
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,Entry
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,Name
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,Species
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,Peptides(95%)
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,Non-rec1
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,Non-rec2
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,Non-rec3
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,Non-rec4
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,Rec1
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,Rec2
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,Rec3
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,Rec4
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,FC
data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,DNTs,p
