ReferenceKey,Ensembl,MedianLog2TPM
tendon_nondiabetic,ENSG00000100804,6.21498312843067
tendon_nondiabetic,ENSG00000094916,6.19699798186953
tendon_nondiabetic,ENSG00000004700,6.12840112635017
tendon_nondiabetic,ENSG00000119318,6.03204441107716
tendon_nondiabetic,ENSG00000130726,6.75811127442359
tendon_nondiabetic,ENSG00000111642,6.1481774423144
tendon_nondiabetic,ENSG00000163565,6.73223409506341
tendon_nondiabetic,ENSG00000086758,6.62709325355306
tendon_nondiabetic,ENSG00000104419,6.96379567073987
tendon_nondiabetic,ENSG00000136930,6.15762619527382
tendon_nondiabetic,ENSG00000116288,6.07704542937332
tendon_nondiabetic,ENSG00000060237,6.41029723850776
tendon_nondiabetic,ENSG00000029363,6.08900762631839
tendon_nondiabetic,ENSG00000160789,8.62385444290098
tendon_nondiabetic,ENSG00000196419,7.08716812358617
tendon_nondiabetic,ENSG00000130985,7.23817033105706
tendon_nondiabetic,ENSG00000149273,7.65272501698698
tendon_nondiabetic,ENSG00000159377,7.42180675391633
tendon_nondiabetic,ENSG00000110108,7.41959202659164
GTEx_v8_Lung,ENSG00000134333,7.50400545699023
GTEx_v8_Lung,ENSG00000288299,
GTEx_v8_Lung,ENSG00000111716,7.86914175703268
GTEx_v8_Lung,ENSG00000166796,-0.799183841885107
GTEx_v8_Lung,ENSG00000171989,-0.170981972604204
GTEx_v8_Lung,ENSG00000166816,3.5671774857627
GTEx_v8_Lung,ENSG00000171848,0.798769722418033
GTEx_v8_Lung,ENSG00000012048,0.793713866539527
GTEx_v8_Lung,ENSG00000166851,1.45986281564546
GTEx_v8_Lung,ENSG00000122512,1.34419192871608
GTEx_v8_Lung,ENSG00000225830,1.36650915196672
GTEx_v8_Lung,ENSG00000189057,0.141871337476777
GTEx_v8_Lung,ENSG00000163322,1.38784340778091
GTEx_v8_Lung,ENSG00000254598,-0.218803318223826
GTEx_v8_Lung,ENSG00000111247,1.34669275847407
GTEx_v8_Lung,ENSG00000100749,0.139976660340883
GTEx_v8_Lung,ENSG00000140525,1.13857347321569
GTEx_v8_Lung,ENSG00000143476,0.767563554525776
GTEx_v8_Lung,ENSG00000090061,1.85426374059094
GTEx_v8_Lung,ENSG00000170312,1.67877434069761
GTEx_v8_Lung,ENSG00000131747,1.67214989784449
GTEx_v8_Lung,ENSG00000095002,1.74253739877705
GTEx_v8_Lung,ENSG00000005156,2.52764947348022
GTEx_v8_Lung,ENSG00000175054,2.07503776851505
GTEx_v8_Lung,ENSG00000165392,2.57384512073661
GTEx_v8_Lung,ENSG00000136104,1.6571939350096
GTEx_v8_Lung,ENSG00000137074,2.34405000228765
GTEx_v8_Lung,ENSG00000083093,2.16927546014681
GTEx_v8_Lung,ENSG00000164053,2.57192502325593
GTEx_v8_Lung,ENSG00000167394,1.70731394516638
GTEx_v8_Lung,ENSG00000198890,2.57003077433169
GTEx_v8_Lung,ENSG00000138376,2.19933177111186
GTEx_v8_Lung,ENSG00000167034,1.63526321196485
GTEx_v8_Lung,ENSG00000137692,1.92426884892078
GTEx_v8_Lung,ENSG00000075131,1.94389778393464
GTEx_v8_Lung,ENSG00000178966,2.42388699131039
GTEx_v8_Lung,ENSG00000187736,2.12060113224157
GTEx_v8_Lung,ENSG00000042088,2.27191145982674
GTEx_v8_Lung,ENSG00000111877,2.16899897407304
GTEx_v8_Lung,ENSG00000138375,2.28320817267867
GTEx_v8_Lung,ENSG00000122008,2.37585096720105
GTEx_v8_Lung,ENSG00000151657,2.87472987521307
GTEx_v8_Lung,ENSG00000104320,2.92300587713204
GTEx_v8_Lung,ENSG00000070501,3.30965330029429
GTEx_v8_Lung,ENSG00000105486,2.9189086012569
GTEx_v8_Lung,ENSG00000113318,2.71018701046298
GTEx_v8_Lung,ENSG00000134982,3.07422902057411
GTEx_v8_Lung,ENSG00000163918,3.04097954367902
GTEx_v8_Lung,ENSG00000132740,3.19853050028734
GTEx_v8_Lung,ENSG00000111445,3.04261264170908
GTEx_v8_Lung,ENSG00000133119,3.1826607128751
GTEx_v8_Lung,ENSG00000073111,2.72495945673274
GTEx_v8_Lung,ENSG00000020426,3.15411276622886
GTEx_v8_Lung,ENSG00000114904,2.84661777432905
GTEx_v8_Lung,ENSG00000116062,3.00238284328934
GTEx_v8_Lung,ENSG00000101266,2.94259632324098
GTEx_v8_Lung,ENSG00000105810,3.22959523557903
GTEx_v8_Lung,ENSG00000149311,2.73675990211313
GTEx_v8_Lung,ENSG00000152422,2.67235967739054
GTEx_v8_Lung,ENSG00000101096,2.62943571729378
GTEx_v8_Lung,ENSG00000158290,2.70481867249982
GTEx_v8_Lung,ENSG00000079616,2.78616849360853
GTEx_v8_Lung,ENSG00000163945,3.30460968956508
GTEx_v8_Lung,ENSG00000227345,3.23244893244921
GTEx_v8_Lung,ENSG00000156384,3.06150262512278
GTEx_v8_Lung,ENSG00000028116,3.21027572735084
GTEx_v8_Lung,ENSG00000112249,3.25294805965865
GTEx_v8_Lung,ENSG00000164430,2.64561872355255
GTEx_v8_Lung,ENSG00000166439,3.33302144300812
GTEx_v8_Lung,ENSG00000013573,3.33765719749298
GTEx_v8_Lung,ENSG00000120539,2.91703265263963
GTEx_v8_Lung,ENSG00000175073,3.20444387460821
GTEx_v8_Lung,ENSG00000120616,3.32028700470119
GTEx_v8_Lung,ENSG00000145388,3.24558107814132
GTEx_v8_Lung,ENSG00000134215,2.839159544718
GTEx_v8_Lung,ENSG00000004487,3.42790565753254
GTEx_v8_Lung,ENSG00000104889,3.38086540778043
GTEx_v8_Lung,ENSG00000108469,3.37576470593366
GTEx_v8_Lung,ENSG00000109685,3.51639399599991
GTEx_v8_Lung,ENSG00000141510,3.67329167088239
GTEx_v8_Lung,ENSG00000143799,3.83592688918758
GTEx_v8_Lung,ENSG00000076242,3.77227492155649
GTEx_v8_Lung,ENSG00000085224,3.58239985064047
GTEx_v8_Lung,ENSG00000185515,3.66824716744586
GTEx_v8_Lung,ENSG00000020922,3.66478703913434
GTEx_v8_Lung,ENSG00000064933,3.38940449434118
GTEx_v8_Lung,ENSG00000132906,3.61896057468943
GTEx_v8_Lung,ENSG00000253729,3.65340695989955
GTEx_v8_Lung,ENSG00000011258,3.61103400442246
GTEx_v8_Lung,ENSG00000177084,3.65043755609909
GTEx_v8_Lung,ENSG00000067369,3.47361560289181
GTEx_v8_Lung,ENSG00000139372,3.86077044801389
GTEx_v8_Lung,ENSG00000111358,3.82324906914415
GTEx_v8_Lung,ENSG00000071794,3.38623400530713
GTEx_v8_Lung,ENSG00000077514,3.63913439524351
GTEx_v8_Lung,ENSG00000117222,3.7117594474605
GTEx_v8_Lung,ENSG00000132604,3.86979053642163
GTEx_v8_Lung,ENSG00000170364,3.72895472555763
GTEx_v8_Lung,ENSG00000080345,3.45465827972211
GTEx_v8_Lung,ENSG00000189046,3.5925472123426
GTEx_v8_Lung,ENSG00000105053,3.50510178665044
GTEx_v8_Lung,ENSG00000141564,3.56081834075641
GTEx_v8_Lung,ENSG00000138303,3.54459114442459
GTEx_v8_Lung,ENSG00000038219,3.85141117156044
GTEx_v8_Lung,ENSG00000163781,3.83110462962643
GTEx_v8_Lung,ENSG00000113522,3.82872117386696
GTEx_v8_Lung,ENSG00000183495,3.91745216601192
GTEx_v8_Lung,ENSG00000156831,3.74351211130157
GTEx_v8_Lung,ENSG00000048028,3.6257197229584
GTEx_v8_Lung,ENSG00000116918,3.84804408757944
GTEx_v8_Lung,ENSG00000101773,3.80627516511689
GTEx_v8_Lung,ENSG00000159685,3.40186890367783
GTEx_v8_Lung,ENSG00000182919,3.6951560107088
GTEx_v8_Lung,ENSG00000113812,3.78932596772455
GTEx_v8_Lung,ENSG00000148153,3.6785870749001
GTEx_v8_Lung,ENSG00000083642,3.55024535920272
GTEx_v8_Lung,ENSG00000081177,3.70481421144468
GTEx_v8_Lung,ENSG00000168564,3.89003039846775
GTEx_v8_Lung,ENSG00000100109,3.75669178556047
GTEx_v8_Lung,ENSG00000101751,3.39872421366071
GTEx_v8_Lung,ENSG00000111602,3.43130163965384
GTEx_v8_Lung,ENSG00000196367,3.65313811930299
GTEx_v8_Lung,ENSG00000133422,3.45036400416643
GTEx_v8_Lung,ENSG00000033178,3.96253155928279
GTEx_v8_Lung,ENSG00000101596,3.95270159992637
GTEx_v8_Lung,ENSG00000135341,4.13887734580585
GTEx_v8_Lung,ENSG00000128731,3.97053462592549
GTEx_v8_Lung,ENSG00000239672,4.23405921579213
GTEx_v8_Lung,ENSG00000163161,4.41422468292257
GTEx_v8_Lung,ENSG00000147133,3.99743526119662
GTEx_v8_Lung,ENSG00000110395,4.21379336591693
GTEx_v8_Lung,ENSG00000062822,4.33919825842067
GTEx_v8_Lung,ENSG00000106628,4.27323039561434
GTEx_v8_Lung,ENSG00000134480,4.10264407625371
GTEx_v8_Lung,ENSG00000102081,4.12753090234998
GTEx_v8_Lung,ENSG00000149269,4.17919285892219
GTEx_v8_Lung,ENSG00000076003,4.30205731118306
GTEx_v8_Lung,ENSG00000198646,4.19570232810124
GTEx_v8_Lung,ENSG00000163961,4.34087123816617
GTEx_v8_Lung,ENSG00000105229,4.39940700514573
GTEx_v8_Lung,ENSG00000077463,4.0404898151313
GTEx_v8_Lung,ENSG00000128191,3.9939963869914
GTEx_v8_Lung,ENSG00000134574,4.36485497815858
GTEx_v8_Lung,ENSG00000157106,4.29483193245595
GTEx_v8_Lung,ENSG00000166199,4.17559805442014
GTEx_v8_Lung,ENSG00000096401,4.25418054658625
GTEx_v8_Lung,ENSG00000158161,4.05252720000884
GTEx_v8_Lung,ENSG00000133315,4.08866036425615
GTEx_v8_Lung,ENSG00000136709,4.07032269221545
GTEx_v8_Lung,ENSG00000135090,3.95204755314155
GTEx_v8_Lung,ENSG00000163104,3.93628651022924
GTEx_v8_Lung,ENSG00000028310,3.9352509180051
GTEx_v8_Lung,ENSG00000174579,4.38954511526979
GTEx_v8_Lung,ENSG00000197579,4.14112226905544
GTEx_v8_Lung,ENSG00000107949,4.34379632373818
GTEx_v8_Lung,ENSG00000129691,4.23733192033168
GTEx_v8_Lung,ENSG00000101040,4.35596868469408
GTEx_v8_Lung,ENSG00000140455,4.01551034015747
GTEx_v8_Lung,ENSG00000133895,4.64677652482747
GTEx_v8_Lung,ENSG00000156273,4.77022862078227
GTEx_v8_Lung,ENSG00000113648,4.81761346870603
GTEx_v8_Lung,ENSG00000105176,4.76381013114377
GTEx_v8_Lung,ENSG00000014123,4.63815843898424
GTEx_v8_Lung,ENSG00000178951,4.85816736961921
GTEx_v8_Lung,ENSG00000012061,4.73380008331374
GTEx_v8_Lung,ENSG00000115966,4.64010539276078
GTEx_v8_Lung,ENSG00000070770,4.50914637898115
GTEx_v8_Lung,ENSG00000136936,4.51944476165083
GTEx_v8_Lung,ENSG00000067066,4.64397365355419
GTEx_v8_Lung,ENSG00000167325,4.48232869847608
GTEx_v8_Lung,ENSG00000035928,4.71010202443324
GTEx_v8_Lung,ENSG00000039123,4.74135460585881
GTEx_v8_Lung,ENSG00000004700,4.45433148737981
GTEx_v8_Lung,ENSG00000011485,4.62494673167205
GTEx_v8_Lung,ENSG00000130165,4.59639114762236
GTEx_v8_Lung,ENSG00000164164,4.75211671010115
GTEx_v8_Lung,ENSG00000182979,4.69133656812454
GTEx_v8_Lung,ENSG00000068878,4.66889388194242
GTEx_v8_Lung,ENSG00000143751,4.57253933042631
GTEx_v8_Lung,ENSG00000164190,4.62359281591429
GTEx_v8_Lung,ENSG00000177311,4.52727481193902
GTEx_v8_Lung,ENSG00000104885,4.62543633162062
GTEx_v8_Lung,ENSG00000169189,4.88448845068794
GTEx_v8_Lung,ENSG00000170242,4.86640762028993
GTEx_v8_Lung,ENSG00000182247,4.82146670242355
GTEx_v8_Lung,ENSG00000087206,4.81405413150571
GTEx_v8_Lung,ENSG00000039650,4.8323473061734
GTEx_v8_Lung,ENSG00000139579,4.74004665477596
GTEx_v8_Lung,ENSG00000168005,4.69221398988896
GTEx_v8_Lung,ENSG00000181555,4.51795163912843
GTEx_v8_Lung,ENSG00000146476,4.57598179316478
GTEx_v8_Lung,ENSG00000184677,4.5810125603221
GTEx_v8_Lung,ENSG00000056050,4.80562738963083
GTEx_v8_Lung,ENSG00000107672,4.86891787863811
GTEx_v8_Lung,ENSG00000258366,4.45928432771924
GTEx_v8_Lung,ENSG00000126804,4.51556353481571
GTEx_v8_Lung,ENSG00000166313,5.30413863363356
GTEx_v8_Lung,ENSG00000164754,5.09176965714316
GTEx_v8_Lung,ENSG00000153147,5.25573276026339
GTEx_v8_Lung,ENSG00000188486,5.19439524457237
GTEx_v8_Lung,ENSG00000123374,4.98004065879047
GTEx_v8_Lung,ENSG00000100811,5.20019393679302
GTEx_v8_Lung,ENSG00000041357,5.13883783352517
GTEx_v8_Lung,ENSG00000132383,5.06875359858602
GTEx_v8_Lung,ENSG00000142627,5.30533373796473
GTEx_v8_Lung,ENSG00000103152,5.42327808271187
GTEx_v8_Lung,ENSG00000100387,5.29936232301374
GTEx_v8_Lung,ENSG00000250506,5.11183101054863
GTEx_v8_Lung,ENSG00000100393,5.05439485891539
GTEx_v8_Lung,ENSG00000139842,5.23696294883136
GTEx_v8_Lung,ENSG00000153827,5.39715224094806
GTEx_v8_Lung,ENSG00000103194,5.04628659077196
GTEx_v8_Lung,ENSG00000102871,5.38344530705819
GTEx_v8_Lung,ENSG00000167986,5.10089466066128
GTEx_v8_Lung,ENSG00000107290,5.00537853227418
GTEx_v8_Lung,ENSG00000143442,5.07248491022503
GTEx_v8_Lung,ENSG00000122257,4.95114696039332
GTEx_v8_Lung,ENSG00000165819,5.11680727779889
GTEx_v8_Lung,ENSG00000131778,5.21097484082826
GTEx_v8_Lung,ENSG00000198887,4.94716712758418
GTEx_v8_Lung,ENSG00000163840,5.33328459017005
GTEx_v8_Lung,ENSG00000161642,5.2441988133339
GTEx_v8_Lung,ENSG00000124535,5.33991023129099
GTEx_v8_Lung,ENSG00000137831,5.21094369775511
GTEx_v8_Lung,ENSG00000100325,5.2402407973646
GTEx_v8_Lung,ENSG00000060237,5.36289266285887
GTEx_v8_Lung,ENSG00000178028,5.01644953917606
GTEx_v8_Lung,ENSG00000009954,5.3507604395035
GTEx_v8_Lung,ENSG00000196586,4.99329800521605
GTEx_v8_Lung,ENSG00000183207,5.27172942120339
GTEx_v8_Lung,ENSG00000102241,5.70810162468614
GTEx_v8_Lung,ENSG00000129071,5.54401941653031
GTEx_v8_Lung,ENSG00000117748,5.67720625762959
GTEx_v8_Lung,ENSG00000100567,5.77465563731191
GTEx_v8_Lung,ENSG00000140464,5.43659535569194
GTEx_v8_Lung,ENSG00000172531,6.02056163870797
GTEx_v8_Lung,ENSG00000087088,5.84215510327816
GTEx_v8_Lung,ENSG00000111642,5.66543329196405
GTEx_v8_Lung,ENSG00000100796,5.59205836801267
GTEx_v8_Lung,ENSG00000086758,5.42820804323822
GTEx_v8_Lung,ENSG00000172716,5.70444043971527
GTEx_v8_Lung,ENSG00000005007,5.61064702966439
GTEx_v8_Lung,ENSG00000187555,5.48378464062036
GTEx_v8_Lung,ENSG00000167770,5.54815148080637
GTEx_v8_Lung,ENSG00000183624,5.61699238563308
GTEx_v8_Lung,ENSG00000166801,5.46683483323082
GTEx_v8_Lung,ENSG00000126457,5.95758836552037
GTEx_v8_Lung,ENSG00000095787,5.4510608977876
GTEx_v8_Lung,ENSG00000076924,5.54044599307538
GTEx_v8_Lung,ENSG00000175482,5.93330163023924
GTEx_v8_Lung,ENSG00000148229,5.61201188929045
GTEx_v8_Lung,ENSG00000160803,5.44297388520635
GTEx_v8_Lung,ENSG00000166848,5.99776025006625
GTEx_v8_Lung,ENSG00000029363,5.56321880326485
