ConnGroup,mu_target,sd_target,imp_target,mu_mod,sd_mod,imp_mod,mu_mp,sd_mp
1,4.94372577677661,2.0302535191518,4.9394383543879,3.27624983830973,1.28144466405902,3.33487686580429,0.421834729999095,0.24154286484148
2,4.96610807552615,2.02320465678892,4.97031597537316,3.28170899383743,1.28319301013044,3.33487686580429,0.430752666919785,0.244403789477359
3,4.85057366864604,2.01725160575123,4.91300513452746,3.29249170192804,1.30889763184974,3.37603173803181,0.417484890834807,0.24027503808632
4,4.99030454271609,2.01107538166842,4.96043273412681,3.31080306236731,1.28111273701543,3.41718661025932,0.423242990498609,0.243970274091307
5,4.98424237341373,2.01952014284761,4.99044230052117,3.30631267107039,1.28268686348087,3.41718661025932,0.431056016292345,0.247873406369106
6,5.02624486446778,1.97788495946817,5.01382365489731,3.36327028248357,1.22768121640399,3.41718661025932,0.435060201858534,0.250165930501826
7,4.95913575143465,2.04652028397282,4.96056457118842,3.34503503017112,1.28519374868044,3.45841652190161,0.413132386245961,0.238506098313611
8,5.02943411034817,2.00578248966188,4.99435624143805,3.41766914970117,1.2207592320955,3.45841652190161,0.414721454205741,0.239950377376355
9,4.94500665558967,2.0230994469755,4.94718093493233,3.29505085279821,1.28462016170581,3.41718661025932,0.419350204025732,0.242053455564821
10,4.85444195898967,1.95394096764916,4.86597711451729,3.42304787936278,1.26021229173134,3.45841652190161,0.411125509166958,0.231098061492861
11,4.82704687639245,2.01983835282391,4.71010202443324,3.16992116896541,1.21819963950515,3.24051515794208,0.443412550878333,0.253920089502694
12,5.02524957240391,1.97545796896885,5.01602971669297,3.36425931386801,1.22602487544367,3.41718661025932,0.414650344076915,0.247679177507596
13,4.89620853621417,2.0144843110465,4.89928975607615,3.22834043689266,1.23628660676837,3.33487686580429,0.426040099490023,0.24381405143516
14,4.90144077240751,2.00790436914769,4.92209839426531,3.23715856438102,1.24874113000451,3.33487686580429,0.435808142927446,0.248840590435279
15,5.01168197382402,1.99761317975245,5.02347269849239,3.26358571898025,1.28451871690672,3.37603173803181,0.410607452148021,0.243950042908764
16,4.90231912784299,2.01261295605788,4.90545437236293,3.28850746567535,1.28442405418873,3.33487686580429,0.422865825338029,0.247409924863932
17,4.89826031845389,2.01092154025171,4.86703812762502,3.25370810885908,1.26697781154585,3.33487686580429,0.420604996729977,0.243003386797931
18,4.90266736616648,2.01872851878097,4.84421155102939,3.19911310130877,1.18046176179503,3.33487686580429,0.417172237663084,0.241436845311978
19,4.94262666303497,2.02918065253435,4.94287968896999,3.26346128421341,1.2746807882268,3.33487686580429,0.41850809351399,0.24653375347134
