ReferenceKey,Model,n_group_ids,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
GSE266884_MES28_vector_control,MP,1,320,220,0.6875,0.372209860341831,-0.315290139658169,0.315290139658169
GSE119834_NSC,MP,1,307,164,0.534201954397394,0.373106793133775,-0.16109516126362,0.16109516126362
RKO_DMSO,MP,1,193,90,0.466321243523316,0.428456860498219,-0.0378643830250973,0.0378643830250973
GSE275256_HMC3_vehicle,MP,1,287,141,0.491289198606272,0.404839327411746,-0.0864498711945263,0.0864498711945263
HK2_untreated,MP,2,432,230,0.532407407407407,0.404976122949524,-0.127431284457883,0.127431284457883
HUVEC_untreated,MP,1,323,172,0.532507739938081,0.392227156332446,-0.140280583605635,0.140280583605635
tendon_nondiabetic,MP_cal,1,112,22,0.196428571428571,0.432168011056427,0.235739439627855,0.235739439627855
GTEx_v8_Lung,MP_cal,1,280,21,0.075,0.397818743295239,0.322818743295239,0.322818743295239
GSE181540_HS_input,MP_cal,1,70,14,0.2,0.467424871838635,0.267424871838635,0.267424871838635
GSE181540_adjacent_NS_input,MP_cal,1,76,25,0.328947368421053,0.459140696650405,0.130193328229353,0.130193328229353
GTEx_v8_Hippocampus,MP_cal,1,146,25,0.171232876712329,0.419888489645836,0.248655612933507,0.248655612933507
GSE114691_control_placenta,MP_cal,1,228,8,0.0350877192982456,0.405183060605488,0.370095341307243,0.370095341307243
sperm_GroupI,MP_cal,1,276,5,0.0181159420289855,0.398744834936306,0.38062889290732,0.38062889290732
GSE132714_BPH,MP_cal,1,280,128,0.457142857142857,0.380907041808449,-0.0762358153344079,0.0762358153344079
TCGA_PRAD_primary,MP_cal,1,281,129,0.459074733096086,0.381505949363294,-0.0775687837327915,0.0775687837327915
TCGA_LIHC_normal,MP_cal,1,134,69,0.514925373134328,0.409414074564889,-0.105511298569439,0.105511298569439
TCGA_LIHC_primary,MP_cal,1,186,88,0.473118279569893,0.40348522200036,-0.0696330575695324,0.0696330575695324
TCGA_ESCA_ESCC,MP_cal,1,288,82,0.284722222222222,0.401532790835293,0.116810568613071,0.116810568613071
MCF7_DMSO7d,MP_cal,1,167,87,0.520958083832335,0.423381048495306,-0.0975770353370294,0.0975770353370294
MDAMB468_DMSO7d,MP_cal,1,175,106,0.605714285714286,0.408393812362004,-0.197320473352282,0.197320473352282
GSE283812_T47D_vehicle,MP_cal,1,180,103,0.572222222222222,0.414204329191688,-0.158017893030534,0.158017893030534
GSE103520_MCF10A_control,MP_cal,1,155,62,0.4,0.386313328210064,-0.0136866717899357,0.0136866717899357
HCT116_control,MP_cal,3,733,303,0.413369713506139,0.42762793063154,0.0142582171254005,0.0142582171254005
GSE163787_TALL104,MP_cal,1,192,34,0.177083333333333,0.448007820700903,0.270924487367569,0.270924487367569
GSE203529_HEK293T_WT,MP_cal,1,268,38,0.141791044776119,0.425294208538466,0.283503163762347,0.283503163762347
HepG2_DMSO24h,MP_cal,1,303,228,0.752475247524752,0.365328327059495,-0.387146920465258,0.387146920465258
GSE171750_A549_untreated,MP_cal,1,175,86,0.491428571428572,0.415519358976053,-0.0759092124525181,0.0759092124525181
PC3M_DMSO,MP_cal,1,177,28,0.15819209039548,0.426784242424087,0.268592152028606,0.268592152028606
GSE266884_MES28_vector_control,MP_cal,1,320,220,0.6875,0.351700265382433,-0.335799734617567,0.335799734617567
GSE119834_NSC,MP_cal,1,307,164,0.534201954397394,0.3526900715739,-0.181511882823494,0.181511882823494
RKO_DMSO,MP_cal,1,193,90,0.466321243523316,0.413782943713756,-0.0525382998095605,0.0525382998095605
GSE275256_HMC3_vehicle,MP_cal,1,287,141,0.491289198606272,0.390966324137385,-0.100322874468887,0.100322874468887
HK2_untreated,MP_cal,2,432,230,0.532407407407407,0.390034456517766,-0.142372950889641,0.142372950889641
HUVEC_untreated,MP_cal,1,323,172,0.532507739938081,0.378377566727378,-0.154130173210702,0.154130173210702
tendon_nondiabetic,ME,1,112,22,0.196428571428571,0.402195498967737,0.205766927539166,0.205766927539166
GTEx_v8_Lung,ME,1,280,21,0.075,0.39557687356411,0.32057687356411,0.32057687356411
GSE181540_HS_input,ME,1,70,14,0.2,0.439202948054107,0.239202948054107,0.239202948054107
GSE181540_adjacent_NS_input,ME,1,76,25,0.328947368421053,0.444886525680991,0.115939157259938,0.115939157259938
GTEx_v8_Hippocampus,ME,1,146,25,0.171232876712329,0.366494540891761,0.195261664179432,0.195261664179432
GSE114691_control_placenta,ME,1,228,8,0.0350877192982456,0.38082854057097,0.345740821272725,0.345740821272725
sperm_GroupI,ME,1,276,5,0.0181159420289855,0.363037575952331,0.344921633923346,0.344921633923346
GSE132714_BPH,ME,1,280,128,0.457142857142857,0.391414653553839,-0.0657282035890177,0.0657282035890177
TCGA_PRAD_primary,ME,1,281,129,0.459074733096086,0.385795106858487,-0.0732796262375989,0.0732796262375989
TCGA_LIHC_normal,ME,1,134,69,0.514925373134328,0.350482676133186,-0.164442697001143,0.164442697001143
TCGA_LIHC_primary,ME,1,186,88,0.473118279569893,0.365616534632937,-0.107501744936956,0.107501744936956
TCGA_ESCA_ESCC,ME,1,288,82,0.284722222222222,0.40329002743097,0.118567805208747,0.118567805208747
MCF7_DMSO7d,ME,1,167,87,0.520958083832335,0.422932696299595,-0.0980253875327405,0.0980253875327405
MDAMB468_DMSO7d,ME,1,175,106,0.605714285714286,0.423280020551897,-0.182434265162389,0.182434265162389
GSE283812_T47D_vehicle,ME,1,180,103,0.572222222222222,0.442840040301447,-0.129382181920775,0.129382181920775
GSE103520_MCF10A_control,ME,1,155,62,0.4,0.329754314516944,-0.0702456854830564,0.0702456854830564
HCT116_control,ME,3,733,303,0.413369713506139,0.460295927883005,0.0469262143768657,0.0469262143768657
GSE163787_TALL104,ME,1,192,34,0.177083333333333,0.473057744336447,0.295974411003113,0.295974411003113
GSE203529_HEK293T_WT,ME,1,268,38,0.141791044776119,0.469620011294235,0.327828966518116,0.327828966518116
HepG2_DMSO24h,ME,1,303,228,0.752475247524752,0.281941869107147,-0.470533378417605,0.470533378417605
GSE171750_A549_untreated,ME,1,175,86,0.491428571428572,0.436498605599475,-0.0549299658290962,0.0549299658290962
PC3M_DMSO,ME,1,177,28,0.15819209039548,0.445015518983794,0.286823428588314,0.286823428588314
GSE266884_MES28_vector_control,ME,1,320,220,0.6875,0.385150719260211,-0.302349280739789,0.302349280739789
GSE119834_NSC,ME,1,307,164,0.534201954397394,0.301230544039268,-0.232971410358127,0.232971410358127
RKO_DMSO,ME,1,193,90,0.466321243523316,0.431882192041443,-0.0344390514818732,0.0344390514818732
GSE275256_HMC3_vehicle,ME,1,287,141,0.491289198606272,0.43359681157582,-0.0576923870304515,0.0576923870304515
HK2_untreated,ME,2,432,230,0.532407407407407,0.424538332291658,-0.107869075115749,0.107869075115749
HUVEC_untreated,ME,1,323,172,0.532507739938081,0.393005885311994,-0.139501854626086,0.139501854626086
