Comparison,ConnGroup,delta_LogLoss,delta_AP,delta_Brier
ME2P vs ME_P (with MP background),1,-0.00708909285181603,-0.00118539963063902,-0.00303444574235301
ME2P vs ME_P (with MP background),2,-0.00900904020162502,0.00326311879169405,-0.003932118989532
ME2P vs ME_P (with MP background),3,0.0034449183065639,0.012469662283957,0.001399115727793
ME2P vs ME_P (with MP background),4,0.00644370491227098,0.0103755536322629,0.00247927745694199
ME2P vs ME_P (with MP background),5,0.00852425481131591,-0.000347359072053965,0.003361709986201
ME2P vs ME_P (with MP background),6,0.126360132785726,0.0020212956721985,0.05035220402635
ME2P vs ME_P (with MP background),7,-0.00582513004446494,0.00079668074853001,-0.00259347140904898
ME2P vs ME_P (with MP background),8,-0.010160441335321,-0.000631260991987959,-0.00386272041419403
ME2P vs ME_P (with MP background),9,-0.00178246376608204,0.00474145856060693,-0.000696652424184013
ME2P vs ME_P (with MP background),10,-0.00582885856545001,-0.00246297879204804,-0.002895086849629
ME2P vs ME_P (with MP background),11,-0.00140627322332099,0.00143621495844204,-0.000605899097058993
ME2P vs ME_P (with MP background),12,0.033671529919696,0.00018655797995204,0.011449600370778
ME2P vs ME_P (with MP background),13,0.00741257489786901,0.00218294727551194,0.00419130578351301
ME2P vs ME_P (with MP background),14,-0.013593445374347,0.00235631613589704,-0.005807801986602
ME2P vs ME_P (with MP background),15,0.030070954455538,-0.00618385008135403,0.01136633850527
ME2P vs ME_P (with MP background),16,-0.00376933663927304,0.001492758850133,-0.001373825573245
ME2P vs ME_P (with MP background),17,0.005578903629118,0.000592033070155984,0.00297541876011501
ME2P vs ME_P (with MP background),18,0.081065763239747,-0.0030091728301449,0.038348094602623
ME2P vs ME_P (with MP background),19,0.00930894402444093,0.000973530257131983,0.004208739817955
ME2 vs ME (without MP background),1,-0.00946586028255392,0,-0.00436352419630698
ME2 vs ME (without MP background),2,-0.0118534884578201,0,-0.005420529675567
ME2 vs ME (without MP background),3,0.00100777790458095,0.013512030348694,0.000559190515697
ME2 vs ME (without MP background),4,0.00683277769058699,0,0.00327716486451699
ME2 vs ME (without MP background),5,0.00904113660092404,0,0.004438919991549
ME2 vs ME (without MP background),6,0.116747501525004,0,0.05597026314923
ME2 vs ME (without MP background),7,-0.00684750055927197,-0.00835973705640591,-0.00337156733499699
ME2 vs ME (without MP background),8,-0.016095790077294,0.001036478396511,-0.00750940096942604
ME2 vs ME (without MP background),9,-0.0023843324950189,0,-0.00106401011611901
ME2 vs ME (without MP background),10,-0.010597885213253,-0.013292220787507,-0.00523788926935098
ME2 vs ME (without MP background),11,-0.00612138724657596,0.00932154764375504,-0.00296650162149101
ME2 vs ME (without MP background),12,-0.01472697332939,0,-0.00581172600505997
ME2 vs ME (without MP background),13,0.00978317456953093,0,0.00483884608292498
ME2 vs ME (without MP background),14,-0.027508763861235,0,-0.013197494575556
ME2 vs ME (without MP background),15,0.032036603824391,-0.017168265369075,0.013630564206097
ME2 vs ME (without MP background),16,-0.00400762262577503,0,-0.00197798105330602
ME2 vs ME (without MP background),17,0.00412077130071897,0,0.00194950620266501
ME2 vs ME (without MP background),18,0.07793273067188,0,0.035517316713227
ME2 vs ME (without MP background),19,0.010942894652803,0,0.00499965623590104
