ConnGroup,ME_P,ME2P,delta,Version
1,0.508862951014907,0.49158537338009,-0.0172775776348175,v3
2,0.491659150396886,0.46765464740917,-0.0240045029877163,v3
3,0.591494652945118,0.602599537877383,0.0111048849322655,v3
4,0.546116454535335,0.542275066862308,-0.00384138767302689,v3
5,0.555375279516176,0.570063811692635,0.014688532176459,v3
6,0.568377411539884,0.837213590922828,0.268836179382944,v3
7,0.545021957546932,0.541655543754828,-0.00336641379210412,v3
8,0.575740355172383,0.571504422505245,-0.00423593266713829,v3
9,0.515205835639023,0.510822465365798,-0.00438337027322544,v3
10,0.485354187957101,0.477140656414924,-0.00821353154217747,v3
11,0.617602649693974,0.610782485739556,-0.00682016395441742,v3
12,0.992882047418664,1.062026365068,0.0691443176493338,v3
13,0.486345049964339,0.500973035768053,0.0146279858037133,v3
14,0.523539779084723,0.503947727278529,-0.0195920518061946,v3
15,0.714422671215809,0.742242873269687,0.0278202020538781,v3
16,0.559700332174447,0.553979561609776,-0.00572077056467046,v3
17,0.488718009321256,0.488885357210821,0.000167347889564795,v3
18,0.530053269908332,0.600100011216948,0.0700467413086161,v3
19,0.593684127782039,0.600109836163424,0.00642570838138479,v3
1,0.508862951014907,0.49158537338009,-0.0172775776348175,weight_only
2,0.491659150396886,0.46765464740917,-0.0240045029877163,weight_only
3,0.591494652945118,0.602599537877383,0.0111048849322655,weight_only
4,0.546116454535335,0.542275066862308,-0.00384138767302689,weight_only
5,0.555375279516176,0.570063811692635,0.014688532176459,weight_only
6,0.568377411539884,0.837213590922828,0.268836179382944,weight_only
7,0.545021957546932,0.541655543754828,-0.00336641379210412,weight_only
8,0.575740355172383,0.571504422505245,-0.00423593266713829,weight_only
9,0.515205835639023,0.510822465365798,-0.00438337027322544,weight_only
10,0.485491686549352,0.477140656414924,-0.00835103013442828,weight_only
11,0.61750899150165,0.610699743953655,-0.00680924754799517,weight_only
12,0.992882047418664,1.062026365068,0.0691443176493338,weight_only
13,0.486437488152638,0.500973035768053,0.0145355476154145,weight_only
14,0.523539779084723,0.503947727278529,-0.0195920518061946,weight_only
15,0.714422671215809,0.742242873269687,0.0278202020538781,weight_only
16,0.559700332174447,0.553979561609776,-0.00572077056467046,weight_only
17,0.488718009321256,0.488885357210821,0.000167347889564795,weight_only
18,0.530053269908332,0.600100011216948,0.0700467413086161,weight_only
19,0.593684127782039,0.600109836163424,0.00642570838138479,weight_only
1,0.508862951014907,0.501773858163091,-0.00708909285181636,corrected_L
2,0.491659150396886,0.482650110195261,-0.00900904020162518,corrected_L
3,0.591494652945118,0.594939571251682,0.00344491830656379,corrected_L
4,0.546116454535335,0.552560159447606,0.0064437049122712,corrected_L
5,0.555375279516176,0.563899534327492,0.00852425481131602,corrected_L
6,0.568377411539884,0.69473754432561,0.126360132785726,corrected_L
7,0.545021957546932,0.539196827502467,-0.00582513004446583,corrected_L
8,0.575740355172383,0.565579913837062,-0.0101604413353203,corrected_L
9,0.515205835639023,0.513423371872941,-0.00178246376608182,corrected_L
10,0.485491686549352,0.479662827983902,-0.00582885856545024,corrected_L
11,0.61750899150165,0.616102718278329,-0.00140627322332099,corrected_L
12,0.992882047418664,1.02655357733836,0.0336715299196959,corrected_L
13,0.486437488152638,0.493850063050507,0.00741257489786879,corrected_L
14,0.523539779084723,0.509946333710377,-0.0135934453743469,corrected_L
15,0.714422671215809,0.744493625671346,0.0300709544555379,corrected_L
16,0.559700332174447,0.555930995535173,-0.00376933663927326,corrected_L
17,0.488718009321256,0.494296912950374,0.00557890362911773,corrected_L
18,0.530053269908332,0.611119033148079,0.0810657632397466,corrected_L
19,0.593684127782039,0.60299307180648,0.00930894402444049,corrected_L
