ConnGroup,Model,N,Pos,PosRate,AP,PRAUC_trap,ROC,Brier,LogLoss,Note
1,ME_P,112,22,0.196428571428571,0.756541260671696,0.752776298248951,0.867676767676768,0.168929663480133,0.508862951014907,""
2,ME_P,280,21,0.075,0.662189103945433,0.656014031188811,0.92388306674021,0.160622837328073,0.491659150396886,""
3,ME_P,146,39,0.267123287671233,0.637367803369133,0.630638993358488,0.806853582554517,0.203226191025108,0.591494652945118,""
4,ME_P,146,25,0.171232876712329,0.522462982469667,0.511625529997475,0.775206611570248,0.185514465042654,0.546116454535335,""
5,ME_P,228,8,0.0350877192982456,0.310782340757036,0.263622175484523,0.805681818181818,0.189584020516142,0.555375279516176,""
6,ME_P,276,5,0.0181159420289855,0.0486234180549762,0.0362694143338619,0.719557195571956,0.194662216158458,0.568377411539884,""
7,ME_P,561,257,0.458110516934046,0.822408560812974,0.822017146669619,0.824352344869957,0.181782846085472,0.545021957546932,""
8,ME_P,320,157,0.490625,0.821638018584694,0.821054171651609,0.796569106326443,0.194339120457988,0.575740355172383,""
9,ME_P,288,82,0.284722222222222,0.646098737686954,0.6383675520557,0.794873312810798,0.16870867908056,0.515205835639023,""
10,ME_P,677,358,0.528803545051699,0.926077463006704,0.925931602649776,0.922251799443092,0.15626385550896,0.485491686549352,""
11,ME_P,1193,375,0.314333612740989,0.565178305084781,0.56461753030477,0.71320782396088,0.214220617422439,0.61750899150165,""
12,ME_P,303,228,0.752475247524752,0.914536113686531,0.914274676049318,0.767076023391813,0.359573026389496,0.992882047418664,""
13,ME_P,175,86,0.491428571428572,0.853248456413857,0.851865693097129,0.877711000783904,0.158104087453918,0.486437488152638,""
14,ME_P,177,28,0.15819209039548,0.664776908094356,0.655890970001644,0.912032598274209,0.174492126200586,0.523539779084723,""
15,ME_P,627,384,0.61244019138756,0.880395830327317,0.880182983442633,0.815554269547325,0.254759841038867,0.714422671215809,""
16,ME_P,193,90,0.466321243523316,0.791053707368294,0.78968006594831,0.789859762675297,0.187891187690379,0.559700332174447,""
17,ME_P,287,141,0.491289198606272,0.915368394369211,0.915025697686388,0.911007480812203,0.156924670941088,0.488718009321256,""
18,ME_P,432,230,0.532407407407407,0.901664370465652,0.901880709914655,0.887171760654326,0.175932241519331,0.530053269908332,""
19,ME_P,323,172,0.532507739938081,0.862206266999923,0.861757088657162,0.825773910365009,0.202973256543068,0.593684127782039,""
