Model,ConnGroup,AP,LogLoss,Brier,ROC
M0,1,0.196428571428571,0.59476012459852,0.201348944547837,0.5
M0,2,0.075,0.562856131045747,0.185442551013687,0.5
M0,3,0.267123287671233,0.621673150969817,0.214645337188004,0.5
M0,4,0.171232876712329,0.586656681377199,0.19732792739409,0.5
M0,5,0.0350877192982456,0.547196568051153,0.177707554500243,0.5
M0,6,0.0181159420289855,0.547122442672379,0.17761786620828,0.5
M0,7,0.458110516934046,0.697471039960059,0.252052285471729,0.5
M0,8,0.490625,0.710869082160444,0.258658173147009,0.5
M0,9,0.284722222222222,0.629600156384745,0.21854708861997,0.5
M0,10,0.528803545051699,0.732404609655295,0.269181907043285,0.5
M0,11,0.314333612740989,0.646309322118626,0.226753611420743,0.5
M0,12,0.752475247524752,0.838524762619821,0.321269775463568,0.5
M0,13,0.491428571428572,0.710409150802034,0.258442324719295,0.5
M0,14,0.15819209039548,0.583238574015162,0.195621871820536,0.5
M0,15,0.61244019138756,0.777929016289496,0.291420610714475,0.5
M0,16,0.466321243523316,0.700004150686475,0.253312977329909,0.5
M0,17,0.491289198606272,0.710970454130806,0.258710588767755,0.5
M0,18,0.532407407407407,0.730916804952054,0.268499911381838,0.5
M0,19,0.532507739938081,0.729584045754148,0.267864262533819,0.5
MP,1,0.760214831257374,0.526578558308318,0.179012648370709,0.869444444444445
MP,2,0.618967467720808,0.530761573324404,0.180152846459861,0.909450266593124
MP,3,0.634921249570518,0.60885899698863,0.209979844859851,0.790678169182842
MP,4,0.507072153692925,0.590105149151892,0.204734924557639,0.768595041322314
MP,5,0.292081554191196,0.614748611284955,0.215313284783294,0.790056818181818
MP,6,0.0445351791264003,0.645505496730541,0.221390882791666,0.721033210332103
MP,7,0.809641730255759,0.543535576692664,0.180027778653934,0.812634394839238
MP,8,0.816005108355322,0.567939233434807,0.188962877424044,0.791430581063655
MP,9,0.630780549548471,0.542515776736445,0.179919264453227,0.775455837082643
MP,10,0.921148186153207,0.457852184983101,0.145889675587365,0.918928740302271
MP,11,0.556786508886677,0.612091531791435,0.211281295622712,0.721066014669927
MP,12,0.921265319834541,0.827472610090691,0.289478325240095,0.791023391812866
MP,13,0.842616443006938,0.474984934236286,0.155333547580898,0.868630781290828
MP,14,0.675545566033652,0.533620992501976,0.180645434912642,0.919103547459252
MP,15,0.875118076715491,0.668298079394011,0.232117472868872,0.815725737311385
MP,16,0.778268195285482,0.579335039004122,0.192355742983181,0.775728155339806
MP,17,0.91014612933295,0.466104700375446,0.149272002347979,0.909963081706014
MP,18,0.901948090038083,0.5031924618743,0.165606420245448,0.888570813603099
MP,19,0.854340229869587,0.583236574485018,0.196421938838919,0.817476513168027
MP_cal,1,0.760214831257374,0.513081440426412,0.170751436523486,0.869444444444445
MP_cal,2,0.618967467720808,0.511659930340831,0.169566951147742,0.909450266593124
MP_cal,3,0.634921249570518,0.587019380130822,0.201735708366176,0.790678169182842
MP_cal,4,0.507072153692925,0.570156210442944,0.196126580101381,0.768595041322314
MP_cal,5,0.292081554191196,0.582746160580953,0.201722997449551,0.790056818181818
MP_cal,6,0.0445351791264003,0.596898020146422,0.206419238727888,0.721033210332103
MP_cal,7,0.809641730255759,0.551470493160351,0.184188321873093,0.812634394839238
MP_cal,8,0.816005108355322,0.568814984527702,0.191254512960473,0.791430581063655
MP_cal,9,0.630780549548471,0.530644716146234,0.175303372839258,0.775455837082643
MP_cal,10,0.921148186153207,0.492782856236411,0.159491018648133,0.918928740302271
MP_cal,11,0.556786508886677,0.597020094355765,0.206021295327685,0.721066014669927
MP_cal,12,0.921265319834541,0.841754791973352,0.304909991105865,0.791023391812866
MP_cal,13,0.842616443006938,0.497069748390844,0.163249890341954,0.868630781290828
MP_cal,14,0.675545566033652,0.502499111494608,0.165933775225944,0.919103547459252
MP_cal,15,0.875118076715491,0.692843965352445,0.24572017418633,0.815725737311385
MP_cal,16,0.778268195285482,0.572867249787231,0.192620975843339,0.775728155339806
MP_cal,17,0.91014612933295,0.495486239147011,0.16045109145637,0.909963081706014
MP_cal,18,0.901948090038083,0.536129899104109,0.178809491974435,0.888570813603099
MP_cal,19,0.854340229869587,0.59776293728645,0.204427678047874,0.817476513168027
ME,1,0.379349309363493,0.576402401085563,0.19279129716684,0.714646464646465
ME,2,0.352545471617468,0.52291730782217,0.166655053545391,0.830299687442545
ME,3,0.627640986501488,0.610935013062588,0.209442921752146,0.780254013898874
ME,4,0.270445997467497,0.544038083938858,0.177471926458478,0.625454545454546
ME,5,0.14653932334428,0.492204016654421,0.151805923534161,0.817045454545455
ME,6,0.0694705677464298,0.461096203356855,0.137101733540443,0.677490774907749
ME,7,0.622320050323158,0.681918513715047,0.244466259296513,0.643124104034405
ME,8,0.546521562334421,0.723934665119574,0.264410764209395,0.558047751162518
