Model,mean_abs_error,max_abs_error,weighted_mae
M0,0.177518099588464,0.399787583017397,0.171109779629748
MP,0.179308146142295,0.389762510804158,0.171522364999926
MP_cal,0.18339028201749,0.387146920465258,0.175918007113103
ME,0.183387751676801,0.470533378417605,0.178487024596002
ME2,0.185320917380361,0.463859836777845,0.185555655979037
ME_P,0.187865528050212,0.444849052724325,0.181290215208368
ME2P,0.192274910667649,0.457847678897119,0.189538483731001
XEN,0.192590772691545,0.497801724682865,0.192748079347589
