ConnGroup,Model,N,Pos,PosRate,AP,PRAUC_trap,ROC,Brier,LogLoss,Note
1,ME2P,112,22,0.196428571428571,0.755355861041057,0.751596003513954,0.866161616161616,0.16589521773778,0.501773858163091,""
2,ME2P,280,21,0.075,0.665452222737127,0.659170720935861,0.92719249862107,0.156690718338541,0.482650110195261,""
3,ME2P,146,39,0.267123287671233,0.64983746565309,0.643885372593626,0.812604840642224,0.204625306752901,0.594939571251682,""
4,ME2P,146,25,0.171232876712329,0.53283853610193,0.523587659419608,0.778842975206612,0.187993742499596,0.552560159447606,""
5,ME2P,228,8,0.0350877192982456,0.310434981684982,0.263298078081317,0.809090909090909,0.192945730502343,0.563899534327492,""
6,ME2P,276,5,0.0181159420289855,0.0506447137271747,0.0375809854095833,0.719557195571956,0.245014420184808,0.69473754432561,""
7,ME2P,561,257,0.458110516934046,0.823205241561504,0.822814473309541,0.825376305549867,0.179189374676423,0.539196827502467,""
8,ME2P,320,157,0.490625,0.821006757592706,0.820421560589738,0.795904810284866,0.190476400043794,0.565579913837062,""
9,ME2P,288,82,0.284722222222222,0.650840196247561,0.643132972291817,0.800201278711816,0.168012026656376,0.513423371872941,""
10,ME2P,677,358,0.528803545051699,0.923614484214656,0.923462238378175,0.920202798549938,0.153368768659331,0.479662827983902,""
11,ME2P,1193,375,0.314333612740989,0.566614520043223,0.566068270573342,0.714081499592502,0.21361471832538,0.616102718278329,""
12,ME2P,303,228,0.752475247524752,0.914722671666483,0.914460156250679,0.768245614035088,0.371022626760274,1.02655357733836,""
13,ME2P,175,86,0.491428571428572,0.855431403689369,0.854102430064179,0.879148157825973,0.162295393237431,0.493850063050507,""
14,ME2P,177,28,0.15819209039548,0.667133224230253,0.658433310402967,0.911073825503356,0.168684324213984,0.509946333710376,""
15,ME2P,627,384,0.61244019138756,0.874211980245963,0.873983765847265,0.805062585733882,0.266126179544137,0.744493625671347,""
16,ME2P,193,90,0.466321243523316,0.792546466218427,0.791166163816654,0.792880258899676,0.186517362117134,0.555930995535174,""
17,ME2P,287,141,0.491289198606272,0.915960427439367,0.915624137571582,0.910958904109589,0.159900089701203,0.494296912950374,""
18,ME2P,432,230,0.532407407407407,0.898655197635507,0.898856451203442,0.884761084804133,0.214280336121954,0.611119033148079,""
19,ME2P,323,172,0.532507739938081,0.863179797257055,0.862728126946666,0.828161096565532,0.207181996361023,0.60299307180648,""
