DonorKey,Materials,Blocks,BlockIDs
TCGA-EP-A3RK,2,1,7
TCGA-DD-A114,2,1,7
TCGA-DD-A1EB,2,1,7
TCGA-DD-A1EL,2,1,7
TCGA-BC-A10W,2,1,7
TCGA-DD-A11D,2,1,7
TCGA-BC-A10R,2,1,7
TCGA-DD-A3A2,2,1,7
TCGA-DD-A1EI,2,1,7
TCGA-DD-A39Z,2,1,7
TCGA-DD-A11C,2,1,7
TCGA-BC-A10U,2,1,7
TCGA-BD-A2L6,2,1,7
TCGA-DD-A11B,2,1,7
