Model,MaterialMAE_pp,MaterialRMSE_pp,ConnectedGroupMeanMAE_pp
All16_ridge,8.59670248555058,10.5476704954639,9.1497602863109
BalancedMedianBaseline,8.63568412150872,10.1371724753598,8.74431890020686
MedianBaseline,8.81826881007582,10.3978300121702,8.92648144336761
Core4_huber,9.01310793733415,11.2159759953958,9.9361060305755
Mechanism10_ridge,9.37437638510047,10.7545012303758,10.0578498181134
GO6_knn,9.42561534950188,11.3178686423472,10.6679734315279
GO6_huber,9.90863097394123,11.7082459332171,10.5995739461665
GO6_ridge,10.0853057180491,12.3780435882099,10.3768798100607
RNA128_knn,10.1239001377782,11.8462148773154,11.258696163856
SelectedWithFallback,10.1737308279063,12.4195663616932,9.71207172066222
Core4_ridge,10.7551204537941,13.0242785858246,10.3736616472456
