Model,Tuning,InnerMeanGroupMAE,OuterConnGroup
All16_ridge,0.3,11.9188467045538,3
All16_ridge,0.1,12.0124496504971,3
RNA128_knn,7,12.1804555647599,3
GO6_ridge,0.1,13.3929726743186,3
RNA128_knn,3,15.0270485442341,3
All16_ridge,10,8.61099923807765,4
Mechanism10_ridge,30,8.6965369282234,4
Mechanism10_ridge,10,8.76851364493335,4
BalancedMedianBaseline,0,8.85137370859156,4
All16_ridge,30,8.9353980529087,4
Core4_huber,0.01,8.99731213063394,4
Mechanism10_ridge,100,9.10517250142961,4
GO6_knn,7,9.15528662199493,4
GO6_huber,0.01,9.18818373447493,4
All16_ridge,100,9.19932854155803,4
GO6_ridge,3,9.30851912851234,4
GO6_huber,1,9.3563093143616,4
Core4_huber,1,9.36165736373686,4
GO6_ridge,100,9.36391691663775,4
Core4_ridge,100,9.36439281908344,4
GO6_huber,0.3,9.38838702894749,4
GO6_ridge,10,9.39339928578982,4
Core4_huber,0.3,9.39776918363709,4
GO6_ridge,30,9.39955963007292,4
Core4_huber,0.03,9.40560469713156,4
GO6_huber,0.03,9.40617244611561,4
Core4_ridge,30,9.40713531861857,4
Core4_ridge,3,9.4167432095156,4
Core4_ridge,10,9.42921958468449,4
GO6_huber,0.1,9.44540837162661,4
Core4_huber,0.1,9.46093777876658,4
MedianBaseline,0,9.68194305753148,4
All16_ridge,3,9.78786274063317,4
GO6_ridge,1,9.81705641544304,4
Mechanism10_ridge,3,9.85795485994509,4
Core4_ridge,1,9.88832574531329,4
Mechanism10_ridge,0.1,9.97459648939113,4
Mechanism10_ridge,0.3,10.4168276303565,4
Mechanism10_ridge,1,10.5179804325007,4
GO6_knn,5,10.5256741190872,4
Core4_ridge,0.3,10.5513949454336,4
All16_ridge,1,11.0421473085454,4
Core4_ridge,0.1,11.1997773555241,4
GO6_knn,3,11.346563360785,4
RNA128_knn,7,11.4065451781413,4
GO6_ridge,0.3,11.5874927988707,4
RNA128_knn,5,11.9366936970238,4
All16_ridge,0.3,12.2168879830043,4
All16_ridge,0.1,13.32769806656,4
GO6_ridge,0.1,13.3789974271476,4
RNA128_knn,3,14.639007997341,4
Mechanism10_ridge,0.1,7.191834632147,5
GO6_huber,0.01,7.51673908058902,5
Mechanism10_ridge,10,7.62545395593017,5
All16_ridge,10,7.70987406191412,5
Mechanism10_ridge,0.3,7.73584874289625,5
GO6_ridge,3,7.80123094218958,5
Core4_huber,0.01,7.86052921102125,5
GO6_knn,7,7.94510375580814,5
GO6_ridge,1,7.96182055115072,5
Mechanism10_ridge,30,8.04920494735968,5
BalancedMedianBaseline,0,8.08076306528602,5
All16_ridge,30,8.17127848347253,5
GO6_huber,0.03,8.17351172087537,5
All16_ridge,0.1,8.21049515648371,5
All16_ridge,3,8.22206153890505,5
GO6_ridge,10,8.24004809741865,5
Core4_ridge,3,8.24245196355601,5
Mechanism10_ridge,3,8.25773852744868,5
Mechanism10_ridge,1,8.31905557183903,5
Mechanism10_ridge,100,8.32207114313731,5
All16_ridge,100,8.37138780961272,5
Core4_ridge,10,8.3740279433063,5
GO6_ridge,30,8.41548613931143,5
Core4_huber,0.03,8.43706437936863,5
Core4_ridge,30,8.45424179411687,5
Core4_ridge,1,8.45490034315323,5
GO6_ridge,100,8.45813438487551,5
Core4_ridge,100,8.46694973223596,5
GO6_huber,0.1,8.52559786116172,5
All16_ridge,0.3,8.54888028136259,5
GO6_huber,0.3,8.56596256826142,5
GO6_huber,1,8.5688077874073,5
Core4_huber,1,8.58428408065599,5
Core4_huber,0.3,8.60993763188693,5
Core4_huber,0.1,8.63975071538234,5
Core4_ridge,0.3,8.67451059938271,5
All16_ridge,1,8.71168889351415,5
MedianBaseline,0,8.91133241422594,5
GO6_knn,5,8.94019538883168,5
Core4_ridge,0.1,8.94035856231529,5
GO6_knn,3,9.05502423929683,5
GO6_ridge,0.3,9.19209837472763,5
RNA128_knn,5,9.70955839746731,5
RNA128_knn,7,9.98798615785721,5
