PXD,Included,PublicationYear,DOI,ArticleTitle,Organism,CellOrTissueSummary,ExperimentalTreatment,PrimaryEvidence,Notes
PXD014870,Yes,2019/2022,10.1038/s41592-022-01523-1,Cyclic immonium ion of lactyllysine reveals widespread lactylation in the human proteome,Homo sapiens,MCF7 breast cancer cells,"DCA, hypoxia, rotenone, and U-13C6 glucose SILAC Kla enrichment",MaxQuant Lactyl (K)Sites plus modificationSpecificPeptides,Original data were reported in the 2019 histone lactylation study and reanalyzed in the 2022 cyclic-immonium article.
PXD028488,Yes,2022,10.1038/s41592-022-01523-1,Cyclic immonium ion of lactyllysine reveals widespread lactylation in the human proteome,Homo sapiens,"HCT116, T-ALL, and HEK293T human cells; BV2 and RAW mouse directories excluded","Kla enrichment/non-enrichment and HCD 24/28/32/36/40 diagnostic-ion comparison",PEAKS PSM plus protein-peptide mapping,This is a separate repository deposit from PXD014870; all directories are audited and only human analyzable directories enter primary analysis.
PXD050470,Yes,2025,10.1002/prca.202400061,Global Profiling of Protein Lactylation in Human Hippocampi,Homo sapiens,Human physiological hippocampus tissue,Three biological hippocampus samples with Kla enrichment,Author Supplementary Tables S3 and S12,The 27 repository raw files are not present locally and are not re-searched.
PXD053474,Yes,2024,10.1021/jasms.4c00366,Subcellular Proteomic Mapping of Lysine Lactylation,Homo sapiens,HCT116 colorectal cancer cells,"Subcellular/whole-cell fractions, enriched/unenriched, DDA/DIA",Four DDA/DIA search suites plus author Supplementary Table S3,Primary rule retains all author S3 sites plus search-only sites independently supported by both DDA and DIA.
PXD060185,Yes,2025,10.1186/s13046-025-03512-6,H4K79 and H4K91 histone lactylation newly identified lactylation sites enriched in breast cancer,Homo sapiens,"MCF7, MDA-MB-468, MCF10A, and T-47D cells",Four breast cell-line models labeled A/B/C/D with Kla enrichment,MaxQuant La (K)Sites with supporting tables,Experiment labels A/B/C/D map to MCF7/MDA-MB-468/MCF10A/T-47D.
PXD078013,Yes,2026,,4D label-free quantitative lactylproteomics analysis of GSK3B WT and KO CRC cells,Homo sapiens,RKO colorectal cancer cells,GSK3B WT versus KO with two replicates each,proteinGroups plus Kla-positive evidence,No standalone La(K)Sites table was deposited; publication is pending.
PXD078736,Yes,2026,,HK-2 cells 4D label quantitative lactylproteomic analysis,Homo sapiens,HK-2 immortalized renal epithelial cells,ctrl versus man with three replicates each,MaxQuant La(K)Sites with supporting tables,The biological meaning of man remains pending publication.
PXD038880,No,2024,10.1038/s41586-024-07620-9,Systematic profiling of lysine lactylation between parental and cisplatin-resistant AGS cells,Homo sapiens,AGS gastric cancer cells,Parental versus cisplatin-resistant,Excluded,Teacher requested exclusion pending clarification; linked to PXD050906.
PXD050906,No,2024,10.1038/s41586-024-07620-9,NBS1 lactylation is required for efficient DNA repair and chemotherapy resistance,Homo sapiens,AGS gastric cancer cells,Control versus treatment/cisplatin-resistance study,Excluded,Teacher requested exclusion pending clarification; no rows may enter Kla or Venn outputs.
