Entry	Gene Names (primary)	Gene Names	Protein names
A0A087X1C5	CYP2D7	CYP2D7	Cytochrome P450 2D7 (EC 1.14.14.1)
A0A096LP01	SMIM26	SMIM26 LINC00493	Small integral membrane protein 26
A0A0B4J2F0	PIGBOS1	PIGBOS1	Protein PIGBOS1 (PIGB opposite strand protein 1)
A0A0C5B5G6	MT-RNR1	MT-RNR1	Mitochondrial-derived peptide MOTS-c (Mitochondrial open reading frame of the 12S rRNA-c)
A0A0K2S4Q6	CD300H	CD300H	Protein CD300H (CD300 antigen-like family member H)
A0A0U1RRE5	NBDY	NBDY LINC01420	Negative regulator of P-body association (P-body dissociating protein) (Protein NoBody)
A0A1B0GTW7	CIROP	CIROP LMLN2	Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2)
A0A2R8Y7D0	TINCR	TINCR LINC00036 NCRNA00036 PLAC2	Ubiquitin domain-containing protein TINCR (Placenta-specific protein 2) (Terminal differentiation-induced cornification regulator) (pTINCR microprotein)
A0A8I5KQE6	RPSA2	RPSA2 RPSA RPSAP58	Small ribosomal subunit protein uS2B (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (40S ribosomal protein SA) (40S ribosomal protein SA2) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40)
A0AV02	SLC12A8	SLC12A8 CCC9	Solute carrier family 12 member 8 (Cation-chloride cotransporter 9)
A0AV96	RBM47	RBM47	RNA-binding protein 47 (RNA-binding motif protein 47)
A0AVF1	IFT56	IFT56 TTC26	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)
A0AVI4	TMEM129	TMEM129	E3 ubiquitin-protein ligase TM129 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TM129)
A0AVK6	E2F8	E2F8	Transcription factor E2F8 (E2F-8)
A0AVT1	UBA6	UBA6 MOP4 UBE1L2	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)
A0FGR8	ESYT2	ESYT2 FAM62B KIAA1228	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)
A0FGR9	ESYT3	ESYT3 FAM62C	Extended synaptotagmin-3 (E-Syt3) (Chr3Syt)
A0JLT2	MED19	MED19 LCMR1	Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19)
A0JNW5	BLTP3B	BLTP3B KIAA0701 SHIP164 UHRF1BP1L	Bridge-like lipid transfer protein family member 3B (Syntaxin-6 Habc-interacting protein of 164 kDa) (UHRF1-binding protein 1-like)
A0JP26	POTEB3	POTEB3	POTE ankyrin domain family member B3
A0MZ66	SHTN1	SHTN1 KIAA1598	Shootin-1 (Shootin1)
A0PJK1	SLC5A10	SLC5A10 SGLT5	Sodium/mannose cotransporter SLC5A10 (Sodium/glucose cotransporter 5) (Na(+)/glucose cotransporter 5) (Solute carrier family 5 member 10)
A0PJY2	FEZF1	FEZF1 FEZ ZNF312B	Fez family zinc finger protein 1 (Zinc finger protein 312B)
A0PK00	TMEM120B	TMEM120B	Transmembrane protein 120B
A0PK05	TMEM72	TMEM72 C10orf127 KSP37	Transmembrane protein 72 (Kidney-specific secretory protein of 37 kDa)
A0PK11	CLRN2	CLRN2	Clarin-2
A1A4S6	ARHGAP10	ARHGAP10 GRAF2	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)
A1A4Y4	IRGM	IRGM IFI1 IRGM1 LRG47	Immunity-related GTPase family M protein (EC 3.6.5.-) (Immunity-related GTPase family M protein 1) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47 homolog) (LRG-47)
A1A519	FAM170A	FAM170A ZNFD	Protein FAM170A (Zinc finger domain-containing protein) (Zinc finger protein ZNFD)
A1A5B4	ANO9	ANO9 PIG5 TMEM16J TP53I5	Anoctamin-9 (Transmembrane protein 16J) (Tumor protein p53-inducible protein 5) (p53-induced gene 5 protein)
A1A5C7	SLC22A23	SLC22A23 C6orf85	Solute carrier family 22 member 23
A1E959	ODAM	ODAM APIN	Odontogenic ameloblast-associated protein (Apin)
A1KXE4	FAM168B	FAM168B KIAA0280L MANI	Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)
A1KZ92	PXDNL	PXDNL VPO2	Probable oxidoreductase PXDNL (EC 1.-.-.-) (Cardiac peroxidase) (Inactive peroxidasin-like protein) (Polysomal ribonuclease 1) (PRM1) (Vascular peroxidase 2)
A1L0T0	HACL2	HACL2 AHAS ILVBL	2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein)
A1L167	UBE2QL1	UBE2QL1	Ubiquitin-conjugating enzyme E2Q-like protein 1 (EC 2.3.2.23) (E2Q-like ubiquitin-conjugating enzyme 1)
A1L190	SYCE3	SYCE3 C22orf41 THEG2	Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2)
A1L390	PLEKHG3	PLEKHG3 KIAA0599	Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3)
A1L3X0	ELOVL7	ELOVL7	Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)
A1L4H1	SSC5D	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D)
A1L4K1	FSD2	FSD2 SPRYD1	Fibronectin type III and SPRY domain-containing protein 2 (SPRY domain-containing protein 1)
A1X283	SH3PXD2B	SH3PXD2B FAD49 KIAA1295 TKS4	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)
A1XBS5	CIBAR1	CIBAR1 FAM92A FAM92A1	CBY1-interacting BAR domain-containing protein 1
A1Z1Q3	MACROD2	MACROD2 C20orf133	ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-)
A2A288	ZC3H12D	ZC3H12D C6orf95 MCPIP4 TFL	Probable ribonuclease ZC3H12D (EC 3.1.-.-) (MCP-induced protein 4) (Transformed follicular lymphoma) (Zinc finger CCCH domain-containing protein 12D) (p34)
A2A2Y4	FRMD3	FRMD3 EPB41L4O	FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O)
A2IDD5	CCDC78	CCDC78 C16orf25 JFP10	Coiled-coil domain-containing protein 78 (hsCCDC78)
A2PYH4	HFM1	HFM1 SEC3D1	Probable ATP-dependent DNA helicase HFM1 (EC 5.6.2.4) (DNA 3'-5' helicase HFM1) (SEC63 domain-containing protein 1)
A2RRP1	NBAS	NBAS NAG	NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)
A2RTX5	TARS3	TARS3 TARSL2	Threonine--tRNA ligase 2, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase protein 3)
A2RU14	TMEM218	TMEM218	Transmembrane protein 218
A2RU30	TESPA1	TESPA1 KIAA0748 HSPC257	Protein TESPA1 (Thymocyte-expressed positive selection-associated protein 1)
A2RU49	HYKK	HYKK AGPHD1	Hydroxylysine kinase (5-hydroxy-L-lysine kinase) (EC 2.7.1.81) (Aminoglycoside phosphotransferase domain-containing protein 1)
A2RUB1	MEIOC	MEIOC C17orf104	Meiosis-specific coiled-coil domain-containing protein MEIOC (Meiosis-specific with coiled-coil domain protein)
A2RUB6	CCDC66	CCDC66	Coiled-coil domain-containing protein 66
A2RUC4	TYW5	TYW5 C2orf60	tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)
A2RUH7	MYBPHL	MYBPHL	Myosin-binding protein H-like
A2VDJ0	TMEM131L	TMEM131L KIAA0922	Transmembrane protein 131-like
A2VEC9	SSPOP	SSPOP KIAA2036 SSPO	SCO-spondin (SCO-spondin pseudogene)
A3KMH1	VWA8	VWA8 KIAA0564	von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2)
A3KN83	SBNO1	SBNO1 MOP3	Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3)
A4D0S4	LAMB4	LAMB4	Laminin subunit beta-4 (Laminin beta-1-related protein)
A4D126	CRPPA	CRPPA ISPD	D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein) (hISPD)
A4D161	FAM221A	FAM221A C7orf46	Protein FAM221A
A4D1B5	GSAP	GSAP PION	Gamma-secretase-activating protein (GSAP) (Protein pigeon homolog) [Cleaved into: Gamma-secretase-activating protein 16 kDa C-terminal form (GSAP-16K)]
A4D1E9	GTPBP10	GTPBP10 OBGH2 UG0751c10	GTP-binding protein 10 (Protein obg homolog 2) (ObgH2)
A4D1P6	WDR91	WDR91 HSPC049	WD repeat-containing protein 91
A4D1S5	RAB19	RAB19 RAB19B	Ras-related protein Rab-19 (EC 3.6.5.2)
A4D1T9	PRSS37	PRSS37 TRYX2	Probable inactive serine protease 37 (Probable inactive trypsin-X2)
A4D256	CDC14C	CDC14C CDC14B2 CDC14Bretro	Dual specificity protein phosphatase CDC14C (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog C)
A4D2B0	MBLAC1	MBLAC1	Metallo-beta-lactamase domain-containing protein 1 (EC 3.1.27.-) (Endoribonuclease MBLAC1)
A4D2B8	PMS2P1	PMS2P1 PMS2L1 PMS2L13 PMS2L6 PMS2L8 PMS3 PMS8 PMSR2	Putative postmeiotic segregation increased 2-like protein 1 (PMS2-related protein 2) (Postmeiotic segregation increased 2-like protein 13) (Postmeiotic segregation increased 2-like protein 6) (Postmeiotic segregation increased 2-like protein 8) (Postmeiotic segregation increased protein 3) (hPMS3) (Postmeiotic segregation increased protein 8) (Putative postmeiotic segregation increased 2 pseudogene 1)
A4D2P6	GRID2IP	GRID2IP	Delphilin (Glutamate receptor, ionotropic, delta 2-interacting protein 1)
A4GXA9	EME2	EME2	Structure-specific endonuclease subunit EME2 (Essential meiotic structure-specific endonuclease subunit 2)
A4UGR9	XIRP2	XIRP2 CMYA3	Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin)
A5A3E0	POTEF	POTEF A26C1B	POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein)
A5D8T8	CLEC18A	CLEC18A MRLP2	C-type lectin domain family 18 member A (Mannose receptor-like protein 2)
A5D8V6	VPS37C	VPS37C PML39	Vacuolar protein sorting-associated protein 37C (hVps37C) (ESCRT-I complex subunit VPS37C)
A5D8V7	ODAD3	ODAD3 CCDC151	Outer dynein arm-docking complex subunit 3 (Coiled-coil domain-containing protein 151)
A5D8W1	CFAP69	CFAP69 C7orf63	Cilia- and flagella-associated protein 69
A5LHX3	PSMB11	PSMB11	Proteasome subunit beta type-11 (EC 3.4.25.1) (Proteasome subunit beta-5t)
A5PKW4	PSD	PSD EFA6 EFA6A KIAA2011 PSD1 TYL	PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1)
A5PLL7	PEDS1	PEDS1 KUA PEDS TMEM189	Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189)
A5PLN9	TRAPPC13	TRAPPC13 C5orf44	Trafficking protein particle complex subunit 13
A5X5Y0	HTR3E	HTR3E	5-hydroxytryptamine receptor 3E (5-HT3-E) (5-HT3E) (Serotonin receptor 3E)
A5YKK6	CNOT1	CNOT1 CDC39 KIAA1007 NOT1 AD-005	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)
A5YM72	CARNS1	CARNS1 ATPGD1 KIAA1394	Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1)
A6BM72	MEGF11	MEGF11 KIAA1781 UNQ1949/PRO4432	Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11)
A6H8Y1	BDP1	BDP1 KIAA1241 KIAA1689 TFNR	Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator)
A6H8Z2	FAM221B	FAM221B C9orf128	Protein FAM221B
A6NC98	CCDC88B	CCDC88B BRLZ	Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3) (HkRP3)
A6NCS4	NKX2-6	NKX2-6 NKX2F	Homeobox protein Nkx-2.6 (Homeobox protein NK-2 homolog F)
A6ND01	IZUMO1R	IZUMO1R FOLR4 JUNO	Sperm-egg fusion protein Juno (Folate receptor 4) (Folate receptor delta) (FR-delta) (IZUMO1 receptor protein JUNO)
A6ND36	FAM83G	FAM83G PAWS1	Protein FAM83G (Protein associated with SMAD1)
A6NDB9	PALM3	PALM3	Paralemmin-3
A6NDG6	PGP	PGP	Phosphoglycolate phosphatase (EC 3.1.3.18) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Glycerol-3-phosphate phosphatase) (G3PP) (EC 3.1.3.21)
A6NDV4	TMEM8B	TMEM8B C9orf127 NGX6	Transmembrane protein 8B (Nasopharyngeal carcinoma-associated gene 6 protein) (Protein NAG-5) (Protein NGX6)
A6NED2	RCCD1	RCCD1	RCC1 domain-containing protein 1
A6NEM1	GOLGA6L9	GOLGA6L9 GOLGA6L20	Golgin subfamily A member 6-like protein 9
A6NER3	GAGE12J	GAGE12J	G antigen 12J (GAGE-12J)
A6NFA1	TRABD2B	TRABD2B HKAT TIKI2	Metalloprotease TIKI2 (EC 3.4.-.-) (Heart, kidney and adipose-enriched transmembrane protein homolog) (TRAB domain-containing protein 2B)
A6NFQ2	TCAF2	TCAF2 FAM115C FAM139A	TRPM8 channel-associated factor 2 (TRP channel-associated factor 2)
A6NFX1	MFSD2B	MFSD2B	Sphingosine-1-phosphate transporter MFSD2B (Major facilitator superfamily domain-containing protein 2B) (hMfsd2b)
A6NFY7	SDHAF1	SDHAF1 LYRM8	Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1) (LYR motif-containing protein 8)
A6NGG8	PCARE	PCARE C2orf71	Photoreceptor cilium actin regulator
A6NGQ2	OOEP	OOEP C6orf156 KHDC2 OEP19	Oocyte-expressed protein homolog (KH homology domain-containing protein 2) (Oocyte- and embryo-specific protein 19) (hOEP19)
A6NGU5	GGT3P	GGT3P GGT3	Putative glutathione hydrolase 3 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 3) (Putative gamma-glutamyltranspeptidase 3) (GGT 3) (EC 2.3.2.2) [Cleaved into: Putative glutathione hydrolase 3 heavy chain; Putative glutathione hydrolase 3 light chain]
A6NHL2	TUBAL3	TUBAL3	Tubulin alpha chain-like 3 (EC 3.6.5.-)
A6NHQ2	FBLL1	FBLL1	RNA 2'-O-methyltransferase FBLL1 (EC 2.1.1.-) (Fibrillarin like 1)
A6NHR9	SMCHD1	SMCHD1 KIAA0650	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)
A6NHX0	CASTOR2	CASTOR2 GATSL1 GATSL2	Cytosolic arginine sensor for mTORC1 subunit 2 (Cellular arginine sensor for mTORC1 protein 2) (GATS-like protein 2)
A6NI15	MSGN1	MSGN1	Mesogenin-1 (Paraxial mesoderm-specific mesogenin1) (pMesogenin1) (pMsgn1)
A6NI61	MYMK	MYMK TMEM226 TMEM8C	Protein myomaker (Myoblast fusion maker) (Transmembrane protein 226) (Transmembrane protein 8C)
A6NI73	LILRA5	LILRA5 ILT11 LILRB7 LIR9	Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f)
A6NIH7	UNC119B	UNC119B	Protein unc-119 homolog B
A6NIM6	SLC15A5	SLC15A5	Solute carrier family 15 member 5
A6NIX2	WTIP	WTIP	Wilms tumor protein 1-interacting protein (WT1-interacting protein)
A6NJ78	METTL15	METTL15 METT5D1	12S rRNA N(4)-cytidine methyltransferase METTL15 (12S rRNA m4C methyltransferase) (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15)
A6NK06	ACOD1	ACOD1 IRG1	Cis-aconitate decarboxylase (CAD) (EC 4.1.1.6) (Aconitate decarboxylase) (Aconitate decarboxylase 1) (Cis-aconitic acid decarboxylase) (Immune-responsive gene 1 protein)
A6NK58	LIPT2	LIPT2	Octanoyl-[acyl-carrier-protein]:protein N-octanoyltransferase LIPT2, mitochondrial (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Lipoyltransferase 2) (EC 2.3.1.181) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)
A6NK89	RASSF10	RASSF10	Ras association domain-containing protein 10
A6NKB5	PCNX2	PCNX2 KIAA0435 PCNXL2	Pecanex-like protein 2 (Pecanex homolog protein 2)
A6NKF2	ARID3C	ARID3C	AT-rich interactive domain-containing protein 3C (ARID domain-containing protein 3C)
A6NMB9	FIGNL2	FIGNL2	Fidgetin-like protein 2 (EC 3.6.4.-)
A6NMY6	ANXA2P2	ANXA2P2 ANX2L2 ANX2P2 LPC2B	Putative annexin A2-like protein (Annexin A2 pseudogene 2) (Lipocortin II pseudogene)
A6NMZ7	COL6A6	COL6A6	Collagen alpha-6(VI) chain
A6NNB3	IFITM5	IFITM5	Interferon-induced transmembrane protein 5 (Bone-restricted interferon-induced transmembrane protein-like protein) (BRIL) (Dispanin subfamily A member 1) (DSPA1)
A6NNM8	TTLL13	TTLL13 TTLL13P	Tubulin polyglutamylase TTLL13 (EC 6.3.2.-) (Tubulin tyrosine ligase like 13) (Tubulin tyrosine ligase-like family member 13 pseudogene) (Tubulin--tyrosine ligase-like protein 13)
A6NNN8	SLC38A8	SLC38A8	Solute carrier family 38 member 8 (Amino acid transporter SLC38A8)
A6NNY8	USP27X	USP27X USP22L USP27	Ubiquitin carboxyl-terminal hydrolase 27 (EC 3.4.19.12) (Deubiquitinating enzyme 27) (Ubiquitin carboxyl-terminal hydrolase 22-like) (Ubiquitin thioesterase 27) (Ubiquitin-specific-processing protease 27) (X-linked ubiquitin carboxyl-terminal hydrolase 27)
A6NNZ2	TUBB8B	TUBB8B	Tubulin beta 8B
A6PVC2	TTLL8	TTLL8	Protein monoglycylase TTLL8 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 8)
A6PVI3	NCBP2L	NCBP2L	Nuclear cap-binding protein subunit 2-like
A6QL63	ABTB3	ABTB3 BTBD11	Ankyrin repeat- and BTB/POZ domain-containing protein 3 (BTB/POZ domain-containing protein 11)
A7E2V4	ZSWIM8	ZSWIM8 KIAA0913	Zinc finger SWIM domain-containing protein 8
A7E2Y1	MYH7B	MYH7B KIAA1512	Myosin-7B (Antigen MLAA-21) (Myosin cardiac muscle beta chain) (Myosin heavy chain 7B, cardiac muscle beta isoform) (Slow A MYH14)
A7KAX9	ARHGAP32	ARHGAP32 GRIT KIAA0712 RICS	Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP)
A7MCY6	TBKBP1	TBKBP1 KIAA0775 SINTBAD	TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1)
A7MD48	SRRM4	SRRM4 KIAA1853	Serine/arginine repetitive matrix protein 4 (Medulloblastoma antigen MU-MB-2.76) (Neural-specific serine/arginine repetitive splicing factor of 100 kDa) (Neural-specific SR-related protein of 100 kDa) (nSR100)
A8CG34	POM121C	POM121C	Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C)
A8K0Z3	WASHC1	WASHC1 FAM39E WASH1	WASH complex subunit 1 (CXYorf1-like protein on chromosome 9) (Protein FAM39E) (WAS protein family homolog 1)
A8K2U0	A2ML1	A2ML1 CPAMD9	Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)
A8K4G0	CD300LB	CD300LB CD300B CLM7 CMRF35A2 IREM3 LMIR5 TREM5 UNQ2530/PRO6029	CMRF35-like molecule 7 (CLM-7) (CD300 antigen-like family member B) (CMRF35-A2) (Immune receptor expressed on myeloid cells 3) (IREM-3) (Leukocyte mono-Ig-like receptor 5) (Triggering receptor expressed on myeloid cells 5) (TREM-5) (CD antigen CD300b)
A8K7I4	CLCA1	CLCA1 CACC1	Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1)
A8K830	POU2AF3	POU2AF3 C11orf93 CASC13 COLCA2	POU class 2 homeobox associating factor 3 (Cancer susceptibility candidate protein 13) (Colorectal cancer-associated protein 2) (Protein OCA-T2)
A8K8P3	SFI1	SFI1 KIAA0542	Protein SFI1 homolog (hSFI1)
A8K8V0	ZNF785	ZNF785	Zinc finger protein 785
A8MPY1	GABRR3	GABRR3	Gamma-aminobutyric acid receptor subunit rho-3 (GABA(A) receptor subunit rho-3) (GABAAR subunit rho-3) (GABA(C) receptor)
A8MQ03	CYSRT1	CYSRT1 C9orf169	Cysteine-rich tail protein 1
A8MQ27	NEURL1B	NEURL1B NEURL3	E3 ubiquitin-protein ligase NEURL1B (EC 2.3.2.27) (Neuralized-2) (NEUR2) (Neuralized-like protein 1B) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL1B)
A8MT69	CENPX	CENPX FAAP10 MHF2 STRA13	Centromere protein X (CENP-X) (FANCM-associated histone fold protein 2) (FANCM-interacting histone fold protein 2) (Fanconi anemia-associated polypeptide of 10 kDa) (Retinoic acid-inducible gene D9 protein homolog) (Stimulated by retinoic acid gene 13 protein homolog)
A8MTA8	CIMIP2B	CIMIP2B FAM166B	Ciliary microtubule inner protein 2B
A8MTJ3	GNAT3	GNAT3	Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain)
A8MTJ6	FOXI3	FOXI3	Forkhead box protein I3
A8MTQ0	NOTO	NOTO	Homeobox protein notochord
A8MTZ0	BBIP1	BBIP1 BBIP10 NCRNA00081	BBSome-interacting protein 1 (BBSome-interacting protein of 10 kDa)
A8MUP2	CSKMT	CSKMT METTL12	Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial (CS-KMT) (EC 2.1.1.-) (Methyltransferase-like protein 12, mitochondrial)
A8MV65	VGLL3	VGLL3	Transcription cofactor vestigial-like protein 3 (Vgl-3)
A8MVW5	HEPACAM2	HEPACAM2 MIKI UNQ305/PRO346	HEPACAM family member 2 (Mitotic kinetics regulator)
A8MW92	PHF20L1	PHF20L1 CGI-72	PHD finger protein 20-like protein 1
A8MW95	BECN2	BECN2 BECN1L1 BECN1P1	Beclin-2 (Beclin-1 autophagy-related pseudogene 1) (Beclin-1-like protein 1)
A8MW99	MEI4	MEI4	Meiosis-specific protein MEI4
A8MXD5	GRXCR1	GRXCR1 DFNB25	Glutaredoxin domain-containing cysteine-rich protein 1
A8MXV4	NUDT19	NUDT19	Acyl-coenzyme A diphosphatase NUDT19 (EC 3.6.1.-) (EC 3.6.1.77) (Nucleoside diphosphate-linked moiety X motif 19) (Nudix motif 19)
A8MYU2	KCNU1	KCNU1 KCNMA3 KCNMC1 SLO3	Potassium channel subfamily U member 1 (Calcium-activated potassium channel subunit alpha-3) (Calcium-activated potassium channel, subfamily M subunit alpha-3) (KCa5) (Slowpoke homolog 3)
A8MZ59	LEUTX	LEUTX	Paired-like homeodomain transcription factor LEUTX (Leucine-twenty homeobox) (Paired-like homeobox transcription factor LEUTX) (PRD-LIKE homeobox transcription factor LEUTX)
A8TX70	COL6A5	COL6A5 COL29A1 VWA4	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)
A9QM74	KPNA7	KPNA7	Importin subunit alpha-8 (Karyopherin subunit alpha-7)
A9UHW6	MIF4GD	MIF4GD SLIP1	MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1)
A9YTQ3	AHRR	AHRR BHLHE77 KIAA1234	Aryl hydrocarbon receptor repressor (AhR repressor) (AhRR) (Class E basic helix-loop-helix protein 77) (bHLHe77)
B0I1T2	MYO1G	MYO1G HA2	Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2 (mHag HA-2)]
B0L3A2	FBXW7-AS1	FBXW7-AS1 DEAR DEspR	Dual endothelin-1/VEGF signal peptide receptor (DEspR protein) (Dual endothelin-1/VEGFsp receptor) (FBXW7 antisense RNA 1)
B0YJ81	HACD1	HACD1 PTPLA	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 1) (HACD1) (Cementum-attachment protein) (CAP) (Protein-tyrosine phosphatase-like member A)
B1AK53	ESPN	ESPN DFNB36 LP2654	Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein)
B1AL88	NALF1	NALF1 FAM155A NLF-1	NALCN channel auxiliary factor 1 (Transmembrane protein FAM155A)
B2RPK0	HMGB1P1	HMGB1P1 HMG1L1 HMGB1L1	High mobility group protein B1-like 1 (High mobility group protein 1-like 1) (HMG-1L1)
B2RTY4	MYO9A	MYO9A MYR7	Unconventional myosin-IXa (Unconventional myosin-9a)
B2RUY7	VWC2L	VWC2L	von Willebrand factor C domain-containing protein 2-like (VWC2-like protein) (Brorin-like)
B2RUZ4	SMIM1	SMIM1	Small integral membrane protein 1 (Vel blood group antigen)
B2RXF5	ZBTB42	ZBTB42	Zinc finger and BTB domain-containing protein 42
B2RXH2	KDM4E	KDM4E KDM4DL KDM5E	Lysine-specific demethylase 4E (EC 1.14.11.-) (EC 1.14.11.66) (KDM4D-like protein) (Lysine-specific demethylase 4D-like) ([histone H3]-trimethyl-L-lysine(9) demethylase 4E)
B3KU38	IQCJ-SCHIP1	IQCJ-SCHIP1	IQCJ-SCHIP1 readthrough transcript protein
B6A8C7	TARM1	TARM1	T-cell-interacting, activating receptor on myeloid cells protein 1 (OSCAR-like transcript-2 protein) (OLT-2)
B7U540	KCNJ18	KCNJ18	Inward rectifier potassium channel 18 (Inward rectifier K(+) channel Kir2.6) (Potassium channel, inwardly rectifying subfamily J member 18)
