Entry	Gene Names (primary)	Gene Names	Protein names
A8MYB1	TMCO5B	TMCO5B	Transmembrane and coiled-coil domain-containing protein 5B
A8MYZ0	MINDY4B	MINDY4B C3orf76 FAM188B2	Inactive ubiquitin carboxyl-terminal hydrolase MINDY-4B (Protein FAM188B2)
A8MZ36	EVPLL	EVPLL	Envoplakin-like protein
A8MZ97	C2orf74	C2orf74	Uncharacterized protein C2orf74
A8MZA4	GOLGA6L6	GOLGA6L6	Golgin subfamily A member 6-like protein 6
A8MZH6	OOSP1	OOSP1	Putative oocyte-secreted protein 1 homolog
B0FP48	UPK3BL1	UPK3BL1 UPLP	Uroplakin-3b-like protein 1
B1AH88	TSPO	TSPO PBRS	Putative peripheral benzodiazepine receptor-related protein
B1AK76	SNURFL	SNURFL CXorf19	Putative SNURF-like protein
B1AL46	NUTM2E	NUTM2E FAM22E	NUT family member 2E
B1ANH7	IBA57-DT	IBA57-DT C1orf148 IBA57-AS1	Putative uncharacterized protein IBA57-DT (IBA57 antisense RNA 1) (IBA57 antisense gene protein 1) (IBA57 divergent transcripte)
B1ANY3	FAM220BP	FAM220BP C9orf51	Putative protein FAM220BP (Protein FAM220B pseudogene)
B1ATL7	PRR32	PRR32 CXorf64	Proline-rich protein 32
B2RBV5	MRFAP1L2	MRFAP1L2	MORF4 family associated protein 1 like 2 (MORF4 family-associated protein 1-like protein UPP) (Unnamed protein product) (UPP)
B2RD01	CENPBD1P	CENPBD1P CENPBD1	Putative CENPB DNA-binding domain-containing protein 1
B2RV13	CFAP97D1	CFAP97D1 C17orf105	Sperm axonemal maintenance protein CFAP97D1 (CFAP97 domain-containing protein 1)
B2RXF0	TMEM229A	TMEM229A	Transmembrane protein 229A
B3GLJ2	PATE3	PATE3	Prostate and testis expressed protein 3 (Acrosomal vesicle protein HEL-127) (PATE-like protein DJ) (PATE-DJ)
B3KS81	SRRM5	SRRM5 ZNF576	Serine/arginine repetitive matrix protein 5
B4DYI2	SPATA31C2	SPATA31C2 FAM75C2	Spermatogenesis-associated protein 31C2 (Protein FAM75C2)
B4DZS4	TCP11X1	TCP11X1	T-complex protein 11-like X-linked protein 1
B4E2M5	ANKRD66	ANKRD66	Ankyrin repeat domain-containing protein 66
B5MCY1	TDRD15	TDRD15	Tudor domain-containing protein 15
