"BaseAccession"	"Reviewed"	"Entry Name"	"Protein names"	"Gene Names (primary)"	"Gene Ontology IDs"	"Gene Ontology (biological process)"	"Gene Ontology (cellular component)"	"Gene Ontology (molecular function)"	"Protein families"	"Domain [FT]"
"Q13490"	"reviewed"	"BIRC2_HUMAN"	"Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2)"	"BIRC2"	"GO:0000209; GO:0001666; GO:0001741; GO:0003713; GO:0004842; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0006351; GO:0006954; GO:0007166; GO:0007249; GO:0008270; GO:0008625; GO:0008630; GO:0009898; GO:0016740; GO:0031398; GO:0033209; GO:0034121; GO:0035631; GO:0038061; GO:0039535; GO:0042127; GO:0042802; GO:0042981; GO:0043027; GO:0043066; GO:0043123; GO:0043130; GO:0043161; GO:0044877; GO:0045088; GO:0045471; GO:0045595; GO:0050727; GO:0051087; GO:0051591; GO:0051726; GO:0060544; GO:0060546; GO:0061630; GO:0070266; GO:0070424; GO:0098770; GO:1902523; GO:1902524; GO:1902527; GO:1904975"	"canonical NF-kappaB signal transduction [GO:0007249]; cell surface receptor signaling pathway [GO:0007166]; DNA-templated transcription [GO:0006351]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; inflammatory response [GO:0006954]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; necroptotic process [GO:0070266]; negative regulation of apoptotic process [GO:0043066]; negative regulation of necroptotic process [GO:0060546]; non-canonical NF-kappaB signal transduction [GO:0038061]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of protein K48-linked ubiquitination [GO:1902524]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of protein monoubiquitination [GO:1902527]; positive regulation of protein ubiquitination [GO:0031398]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of cell differentiation [GO:0045595]; regulation of cell population proliferation [GO:0042127]; regulation of inflammatory response [GO:0050727]; regulation of innate immune response [GO:0045088]; regulation of necroptotic process [GO:0060544]; regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway [GO:0070424]; regulation of RIG-I signaling pathway [GO:0039535]; regulation of toll-like receptor signaling pathway [GO:0034121]; response to bleomycin [GO:1904975]; response to cAMP [GO:0051591]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; tumor necrosis factor-mediated signaling pathway [GO:0033209]"	"CD40 receptor complex [GO:0035631]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; XY body [GO:0001741]"	"cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; FBXO family protein binding [GO:0098770]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; protein-folding chaperone binding [GO:0051087]; transcription coactivator activity [GO:0003713]; transferase activity [GO:0016740]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]"	"IAP family"	"DOMAIN 453..543; /note=""CARD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00046"""
"Q13535"	"reviewed"	"ATR_HUMAN"	"Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1)"	"ATR"	"GO:0000077; GO:0000723; GO:0003677; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005635; GO:0005654; GO:0005694; GO:0006139; GO:0006260; GO:0006281; GO:0006302; GO:0006974; GO:0008156; GO:0009410; GO:0009612; GO:0016605; GO:0031297; GO:0032212; GO:0032405; GO:0032407; GO:0034644; GO:0035979; GO:0036297; GO:0043517; GO:0044818; GO:0046685; GO:0051081; GO:0070198; GO:0070310; GO:0071480; GO:0090399; GO:0090734; GO:0097694; GO:0097695; GO:0106310; GO:1900034; GO:1904884; GO:2000779"	"cellular response to gamma radiation [GO:0071480]; cellular response to UV [GO:0034644]; DNA damage checkpoint signaling [GO:0000077]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; double-strand break repair [GO:0006302]; establishment of protein-containing complex localization to telomere [GO:0097695]; establishment of RNA localization to telomere [GO:0097694]; interstrand cross-link repair [GO:0036297]; mitotic G2/M transition checkpoint [GO:0044818]; negative regulation of DNA replication [GO:0008156]; nuclear membrane disassembly [GO:0051081]; nucleobase-containing compound metabolic process [GO:0006139]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]; positive regulation of telomerase catalytic core complex assembly [GO:1904884]; positive regulation of telomere maintenance via telomerase [GO:0032212]; protein localization to chromosome, telomeric region [GO:0070198]; regulation of cellular response to heat [GO:1900034]; regulation of double-strand break repair [GO:2000779]; replication fork processing [GO:0031297]; replicative senescence [GO:0090399]; response to arsenic-containing substance [GO:0046685]; response to mechanical stimulus [GO:0009612]; response to xenobiotic stimulus [GO:0009410]; telomere maintenance [GO:0000723]"	"ATR-ATRIP complex [GO:0070310]; chromosome [GO:0005694]; nuclear envelope [GO:0005635]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; site of DNA damage [GO:0090734]"	"ATP binding [GO:0005524]; DNA binding [GO:0003677]; histone H2AXS139 kinase activity [GO:0035979]; MutLalpha complex binding [GO:0032405]; MutSalpha complex binding [GO:0032407]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]"	"PI3/PI4-kinase family, ATM subfamily"	"DOMAIN 1640..2185; /note=""FAT""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00534""; DOMAIN 2296..2604; /note=""PI3K/PI4K catalytic""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00269""; DOMAIN 2612..2644; /note=""FATC""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00534, ECO:0000255|PROSITE-ProRule:PRU00535"""
"Q13546"	"reviewed"	"RIPK1_HUMAN"	"Receptor-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (Cell death protein RIP) (Receptor-interacting protein 1) (RIP-1)"	"RIPK1"	"GO:0004672; GO:0004674; GO:0004706; GO:0004722; GO:0005123; GO:0005524; GO:0005737; GO:0005739; GO:0005829; GO:0005886; GO:0006915; GO:0006954; GO:0006979; GO:0007249; GO:0008625; GO:0008630; GO:0010008; GO:0010628; GO:0031264; GO:0031625; GO:0032147; GO:0032757; GO:0032760; GO:0032991; GO:0033209; GO:0034612; GO:0035556; GO:0035591; GO:0042802; GO:0042803; GO:0043065; GO:0043066; GO:0043068; GO:0043123; GO:0043124; GO:0043235; GO:0043525; GO:0044877; GO:0045651; GO:0045944; GO:0046330; GO:0050729; GO:0060545; GO:0060546; GO:0062100; GO:0070105; GO:0070231; GO:0070266; GO:0070301; GO:0070513; GO:0071356; GO:0071363; GO:0097191; GO:0097300; GO:0097342; GO:0097343; GO:0097527; GO:0106310; GO:0120283; GO:1900119; GO:1901026; GO:1901224; GO:1903265; GO:1903800; GO:1990000; GO:2000379; GO:2001237; GO:2001238; GO:2001240"	"activation of protein kinase activity [GO:0032147]; amyloid fibril formation [GO:1990000]; apoptotic process [GO:0006915]; canonical NF-kappaB signal transduction [GO:0007249]; cellular response to growth factor stimulus [GO:0071363]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to tumor necrosis factor [GO:0071356]; extrinsic apoptotic signaling pathway [GO:0097191]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; inflammatory response [GO:0006954]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; necroptotic process [GO:0070266]; necroptotic signaling pathway [GO:0097527]; negative regulation of apoptotic process [GO:0043066]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of necroptotic process [GO:0060546]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of gene expression [GO:0010628]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-6-mediated signaling pathway [GO:0070105]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JNK cascade [GO:0046330]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of miRNA processing [GO:1903800]; positive regulation of necroptotic process [GO:0060545]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of programmed cell death [GO:0043068]; positive regulation of programmed necrotic cell death [GO:0062100]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; programmed necrotic cell death [GO:0097300]; response to oxidative stress [GO:0006979]; response to tumor necrosis factor [GO:0034612]; ripoptosome assembly [GO:0097343]; ripoptosome assembly involved in necroptotic process [GO:1901026]; T cell apoptotic process [GO:0070231]; tumor necrosis factor-mediated signaling pathway [GO:0033209]"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; death-inducing signaling complex [GO:0031264]; endosome membrane [GO:0010008]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; receptor complex [GO:0043235]; ripoptosome [GO:0097342]"	"ATP binding [GO:0005524]; death domain binding [GO:0070513]; death receptor binding [GO:0005123]; identical protein binding [GO:0042802]; JUN kinase kinase kinase activity [GO:0004706]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine kinase binding [GO:0120283]; protein serine/threonine phosphatase activity [GO:0004722]; protein-containing complex binding [GO:0044877]; signaling adaptor activity [GO:0035591]; ubiquitin protein ligase binding [GO:0031625]"	"Protein kinase superfamily, TKL Ser/Thr protein kinase family"	"DOMAIN 17..289; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 583..669; /note=""Death""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00064"""
"Q13569"	"reviewed"	"TDG_HUMAN"	"G/T mismatch-specific thymine DNA glycosylase (EC 3.2.2.29) (Thymine-DNA glycosylase) (hTDG)"	"TDG"	"GO:0000287; GO:0003676; GO:0003677; GO:0003684; GO:0003690; GO:0003712; GO:0004844; GO:0005080; GO:0005524; GO:0005634; GO:0005654; GO:0006284; GO:0006285; GO:0006351; GO:0008263; GO:0016605; GO:0019104; GO:0030983; GO:0031402; GO:0031404; GO:0032183; GO:0040029; GO:0043739; GO:0045008; GO:0045995; GO:0141016; GO:0141167"	"base-excision repair [GO:0006284]; base-excision repair, AP site formation [GO:0006285]; chromosomal 5-methylcytosine DNA demethylation, oxidation pathway [GO:0141167]; depyrimidination [GO:0045008]; DNA-templated transcription [GO:0006351]; epigenetic regulation of gene expression [GO:0040029]; regulation of embryonic development [GO:0045995]"	"nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]"	"ATP binding [GO:0005524]; chloride ion binding [GO:0031404]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; DNA N-glycosylase activity [GO:0019104]; double-stranded DNA binding [GO:0003690]; G/T mismatch-specific thymine-DNA glycosylase activity [GO:0141016]; G/U mismatch-specific uracil-DNA glycosylase activity [GO:0043739]; magnesium ion binding [GO:0000287]; mismatched DNA binding [GO:0030983]; nucleic acid binding [GO:0003676]; protein kinase C binding [GO:0005080]; pyrimidine-specific mismatch base pair DNA N-glycosylase activity [GO:0008263]; sodium ion binding [GO:0031402]; SUMO binding [GO:0032183]; transcription coregulator activity [GO:0003712]; uracil DNA N-glycosylase activity [GO:0004844]"	"Uracil-DNA glycosylase (UDG) superfamily, TDG/mug family"	""
"Q13573"	"reviewed"	"SNW1_HUMAN"	"SNW domain-containing protein 1 (Nuclear protein SkiP) (Nuclear receptor coactivator NCoA-62) (Ski-interacting protein)"	"SNW1"	"GO:0000122; GO:0000398; GO:0003713; GO:0003714; GO:0003723; GO:0005112; GO:0005634; GO:0005654; GO:0005681; GO:0006351; GO:0006357; GO:0016363; GO:0016607; GO:0016922; GO:0019899; GO:0030511; GO:0042771; GO:0042809; GO:0042974; GO:0043923; GO:0045892; GO:0045944; GO:0046332; GO:0048026; GO:0048255; GO:0048384; GO:0048385; GO:0050681; GO:0050769; GO:0070562; GO:0070564; GO:0071007; GO:0071013; GO:0071300"	"cellular response to retinoic acid [GO:0071300]; DNA-templated transcription [GO:0006351]; host-mediated activation of viral transcription [GO:0043923]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; mRNA splicing, via spliceosome [GO:0000398]; mRNA stabilization [GO:0048255]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of neurogenesis [GO:0050769]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; positive regulation of vitamin D receptor signaling pathway [GO:0070564]; regulation of retinoic acid receptor signaling pathway [GO:0048385]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of vitamin D receptor signaling pathway [GO:0070562]; retinoic acid receptor signaling pathway [GO:0048384]"	"catalytic step 2 spliceosome [GO:0071013]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U2-type catalytic step 2 spliceosome [GO:0071007]"	"enzyme binding [GO:0019899]; Notch binding [GO:0005112]; nuclear androgen receptor binding [GO:0050681]; nuclear receptor binding [GO:0016922]; nuclear retinoic acid receptor binding [GO:0042974]; nuclear vitamin D receptor binding [GO:0042809]; RNA binding [GO:0003723]; SMAD binding [GO:0046332]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]"	"SNW family"	""
"Q13619"	"reviewed"	"CUL4A_HUMAN"	"Cullin-4A (CUL-4A)"	"CUL4A"	"GO:0000082; GO:0001701; GO:0005634; GO:0005654; GO:0005737; GO:0006289; GO:0006974; GO:0007283; GO:0008283; GO:0010506; GO:0016567; GO:0030174; GO:0031297; GO:0031464; GO:0031625; GO:0032814; GO:0034644; GO:0040029; GO:0042110; GO:0042127; GO:0042254; GO:0042981; GO:0043161; GO:0045732; GO:0045995; GO:0048511; GO:0060964; GO:0061630; GO:0080008; GO:0080135; GO:0097193; GO:0140627; GO:0160072; GO:1901987; GO:1902412; GO:1904178; GO:2000036"	"cell population proliferation [GO:0008283]; cellular response to UV [GO:0034644]; DNA damage response [GO:0006974]; epigenetic regulation of gene expression [GO:0040029]; G1/S transition of mitotic cell cycle [GO:0000082]; in utero embryonic development [GO:0001701]; intrinsic apoptotic signaling pathway [GO:0097193]; negative regulation of adipose tissue development [GO:1904178]; nucleotide-excision repair [GO:0006289]; positive regulation of protein catabolic process [GO:0045732]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; regulation of autophagy [GO:0010506]; regulation of cell cycle phase transition [GO:1901987]; regulation of cell population proliferation [GO:0042127]; regulation of cellular response to stress [GO:0080135]; regulation of DNA-templated DNA replication initiation [GO:0030174]; regulation of embryonic development [GO:0045995]; regulation of miRNA-mediated gene silencing [GO:0060964]; regulation of mitotic cytokinesis [GO:1902412]; regulation of natural killer cell activation [GO:0032814]; regulation of stem cell population maintenance [GO:2000036]; replication fork processing [GO:0031297]; rhythmic process [GO:0048511]; ribosome biogenesis [GO:0042254]; spermatogenesis [GO:0007283]; T cell activation [GO:0042110]; ubiquitin-dependent protein catabolic process via the C-end degron rule pathway [GO:0140627]"	"Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"ubiquitin ligase complex scaffold activity [GO:0160072]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]"	"Cullin family"	"DOMAIN 691..751; /note=""Cullin neddylation""; /evidence=""ECO:0000255"""
"Q13620"	"reviewed"	"CUL4B_HUMAN"	"Cullin-4B (CUL-4B)"	"CUL4B"	"GO:0000082; GO:0000209; GO:0005634; GO:0005654; GO:0005737; GO:0006289; GO:0006974; GO:0007283; GO:0008283; GO:0010467; GO:0010498; GO:0010506; GO:0016567; GO:0030174; GO:0031297; GO:0031464; GO:0031465; GO:0031625; GO:0032814; GO:0032991; GO:0034644; GO:0040029; GO:0042127; GO:0042254; GO:0042981; GO:0043161; GO:0045995; GO:0048708; GO:0060964; GO:0070062; GO:0070914; GO:0080008; GO:0080135; GO:0160072; GO:1901987; GO:1902412; GO:1904178; GO:2000036"	"astrocyte differentiation [GO:0048708]; cell population proliferation [GO:0008283]; cellular response to UV [GO:0034644]; DNA damage response [GO:0006974]; epigenetic regulation of gene expression [GO:0040029]; G1/S transition of mitotic cell cycle [GO:0000082]; gene expression [GO:0010467]; negative regulation of adipose tissue development [GO:1904178]; nucleotide-excision repair [GO:0006289]; proteasomal protein catabolic process [GO:0010498]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; regulation of autophagy [GO:0010506]; regulation of cell cycle phase transition [GO:1901987]; regulation of cell population proliferation [GO:0042127]; regulation of cellular response to stress [GO:0080135]; regulation of DNA-templated DNA replication initiation [GO:0030174]; regulation of embryonic development [GO:0045995]; regulation of miRNA-mediated gene silencing [GO:0060964]; regulation of mitotic cytokinesis [GO:1902412]; regulation of natural killer cell activation [GO:0032814]; regulation of stem cell population maintenance [GO:2000036]; replication fork processing [GO:0031297]; ribosome biogenesis [GO:0042254]; spermatogenesis [GO:0007283]; UV-damage excision repair [GO:0070914]"	"Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; Cul4B-RING E3 ubiquitin ligase complex [GO:0031465]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]"	"ubiquitin ligase complex scaffold activity [GO:0160072]; ubiquitin protein ligase binding [GO:0031625]"	"Cullin family"	"DOMAIN 845..905; /note=""Cullin neddylation""; /evidence=""ECO:0000255"""
"Q13888"	"reviewed"	"TF2H2_HUMAN"	"General transcription factor IIH subunit 2 (Basic transcription factor 2 44 kDa subunit) (BTF2 p44) (General transcription factor IIH polypeptide 2) (TFIIH basal transcription factor complex p44 subunit)"	"GTF2H2"	"GO:0000438; GO:0000439; GO:0002031; GO:0005634; GO:0005654; GO:0005669; GO:0005675; GO:0006289; GO:0006357; GO:0006366; GO:0006367; GO:0008270; GO:0009411; GO:0016251; GO:0016607"	"G protein-coupled receptor internalization [GO:0002031]; nucleotide-excision repair [GO:0006289]; regulation of transcription by RNA polymerase II [GO:0006357]; response to UV [GO:0009411]; transcription by RNA polymerase II [GO:0006366]; transcription initiation at RNA polymerase II promoter [GO:0006367]"	"core TFIIH complex portion of holo TFIIH complex [GO:0000438]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor TFIID complex [GO:0005669]; transcription factor TFIIH core complex [GO:0000439]; transcription factor TFIIH holo complex [GO:0005675]"	"RNA polymerase II general transcription initiation factor activity [GO:0016251]; zinc ion binding [GO:0008270]"	"GTF2H2 family"	"DOMAIN 60..236; /note=""VWFA""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00219"""
"Q13889"	"reviewed"	"TF2H3_HUMAN"	"General transcription factor IIH subunit 3 (Basic transcription factor 2 34 kDa subunit) (BTF2 p34) (General transcription factor IIH polypeptide 3) (TFIIH basal transcription factor complex p34 subunit)"	"GTF2H3"	"GO:0000438; GO:0000439; GO:0005634; GO:0005654; GO:0005669; GO:0005675; GO:0006281; GO:0006289; GO:0006355; GO:0006366; GO:0006367; GO:0008270; GO:0016251; GO:0097550"	"DNA repair [GO:0006281]; nucleotide-excision repair [GO:0006289]; regulation of DNA-templated transcription [GO:0006355]; transcription by RNA polymerase II [GO:0006366]; transcription initiation at RNA polymerase II promoter [GO:0006367]"	"core TFIIH complex portion of holo TFIIH complex [GO:0000438]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor TFIID complex [GO:0005669]; transcription factor TFIIH core complex [GO:0000439]; transcription factor TFIIH holo complex [GO:0005675]; transcription preinitiation complex [GO:0097550]"	"RNA polymerase II general transcription initiation factor activity [GO:0016251]; zinc ion binding [GO:0008270]"	"TFB4 family"	""
"Q14191"	"reviewed"	"WRN_HUMAN"	"Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN (DNA helicase, RecQ-like type 3) (RecQ protein-like 2) (Werner syndrome protein) [Includes: 3'-5' exonuclease (EC 3.1.-.-); ATP-dependent helicase (EC 5.6.2.4) (DNA 3'-5' helicase WRN)]"	"WRN"	"GO:0000287; GO:0000400; GO:0000403; GO:0000405; GO:0000723; GO:0000724; GO:0000731; GO:0000781; GO:0003677; GO:0003678; GO:0004527; GO:0005524; GO:0005634; GO:0005654; GO:0005657; GO:0005694; GO:0005730; GO:0005737; GO:0005813; GO:0006259; GO:0006260; GO:0006284; GO:0006298; GO:0006302; GO:0006974; GO:0008408; GO:0009267; GO:0009378; GO:0010225; GO:0016607; GO:0016887; GO:0030145; GO:0031297; GO:0032201; GO:0032392; GO:0032405; GO:0042803; GO:0043138; GO:0044877; GO:0051880; GO:0061749; GO:0061820; GO:0061821; GO:0061849; GO:0070337; GO:0071480; GO:0090398; GO:0090656; GO:0098530; GO:1902570; GO:1905773"	"base-excision repair [GO:0006284]; cellular response to gamma radiation [GO:0071480]; cellular response to starvation [GO:0009267]; cellular senescence [GO:0090398]; DNA damage response [GO:0006974]; DNA geometric change [GO:0032392]; DNA metabolic process [GO:0006259]; DNA replication [GO:0006260]; DNA synthesis involved in DNA repair [GO:0000731]; double-strand break repair [GO:0006302]; double-strand break repair via homologous recombination [GO:0000724]; mismatch repair [GO:0006298]; positive regulation of strand invasion [GO:0098530]; protein localization to nucleolus [GO:1902570]; replication fork processing [GO:0031297]; response to UV-C [GO:0010225]; t-circle formation [GO:0090656]; telomere maintenance [GO:0000723]; telomere maintenance via semi-conservative replication [GO:0032201]; telomeric D-loop disassembly [GO:0061820]"	"centrosome [GO:0005813]; chromosome [GO:0005694]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; replication fork [GO:0005657]"	"3'-5' DNA helicase activity [GO:0043138]; 3'-5' exonuclease activity [GO:0008408]; 3'-flap-structured DNA binding [GO:0070337]; 8-hydroxy-2'-deoxyguanosine DNA binding [GO:1905773]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; bubble DNA binding [GO:0000405]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; exonuclease activity [GO:0004527]; forked DNA-dependent helicase activity [GO:0061749]; four-way junction DNA binding [GO:0000400]; four-way junction helicase activity [GO:0009378]; G-quadruplex DNA binding [GO:0051880]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; MutLalpha complex binding [GO:0032405]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; telomeric D-loop binding [GO:0061821]; telomeric G-quadruplex DNA binding [GO:0061849]; Y-form DNA binding [GO:0000403]"	"Helicase family, RecQ subfamily"	"DOMAIN 60..228; /note=""3'-5' exonuclease""; /evidence=""ECO:0000255, ECO:0000269|PubMed:11863428""; DOMAIN 558..724; /note=""Helicase ATP-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00541""; DOMAIN 749..899; /note=""Helicase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00542""; DOMAIN 1150..1229; /note=""HRDC""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00328"""
"Q14249"	"reviewed"	"NUCG_HUMAN"	"Endonuclease G, mitochondrial (Endo G) (EC 3.1.30.-)"	"ENDOG"	"GO:0000014; GO:0000287; GO:0003676; GO:0004520; GO:0004521; GO:0005634; GO:0005739; GO:0005743; GO:0006309; GO:0006310; GO:0006974; GO:0009612; GO:0010508; GO:0032007; GO:0032043; GO:0032355; GO:0034599; GO:0042803; GO:0043204; GO:0048471; GO:0071277; GO:0071333; GO:0071456; GO:0090297; GO:1901300; GO:1902512"	"apoptotic DNA fragmentation [GO:0006309]; cellular response to calcium ion [GO:0071277]; cellular response to glucose stimulus [GO:0071333]; cellular response to hypoxia [GO:0071456]; cellular response to oxidative stress [GO:0034599]; DNA damage response [GO:0006974]; DNA recombination [GO:0006310]; mitochondrial DNA catabolic process [GO:0032043]; negative regulation of TOR signaling [GO:0032007]; positive regulation of apoptotic DNA fragmentation [GO:1902512]; positive regulation of autophagy [GO:0010508]; positive regulation of hydrogen peroxide-mediated programmed cell death [GO:1901300]; positive regulation of mitochondrial DNA replication [GO:0090297]; response to estradiol [GO:0032355]; response to mechanical stimulus [GO:0009612]"	"mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]"	"DNA endonuclease activity [GO:0004520]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]; protein homodimerization activity [GO:0042803]; RNA endonuclease activity [GO:0004521]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]"	"DNA/RNA non-specific endonuclease family"	""
