Pathway,PathwayOrder,Color,ColorName
BER,1,#4DBBD5,Shakespeare
NER,2,#F39B7F,Apricot
MMR,3,#8491B4,WildBlueYonder
FA,4,#91D1C2,MonteCarlo
HR,5,#3C5488,Chambray
NHEJ,6,#E64B35,Cinnabar
AEJ,7,#00A087,PersianGreen
